
[00:00:00.000 --> 00:00:06.000]  大家打開聖經,我們剛才讀過的二創下書第一章
[00:00:06.000 --> 00:00:11.000]  大家知道今天是社關主日,我們都思想一個題目就是
[00:00:11.000 --> 00:00:14.000]  向眾人行善
[00:00:14.000 --> 00:00:17.000]  當我們提到社關主日的時候
[00:00:17.000 --> 00:00:22.000]  我們都很盼望神激勵我們北村家弟兄姊妹
[00:00:22.000 --> 00:00:26.000]  不單單關心家的事,關心自己的事情
[00:00:26.000 --> 00:00:30.000]  正如聖經所說,各人不要單顧自己的事情
[00:00:30.000 --> 00:00:34.000]  求神給我們有力量,有開廣的胸襟
[00:00:34.000 --> 00:00:38.000]  能夠關心到社會上其他人的需要
[00:00:38.000 --> 00:00:43.000]  我們的福音不可以單單停留在教會裡面
[00:00:43.000 --> 00:00:46.000]  福音透過傳揚主耶穌的救贖
[00:00:46.000 --> 00:00:50.000]  以及透過福音的見證,生活的見證
[00:00:50.000 --> 00:00:53.000]  在整個的社會來延伸
[00:00:53.000 --> 00:00:56.000]  這正是你和我的應有的方向
[00:00:56.000 --> 00:01:00.000]  聖經提到,驕度是炎和光
[00:01:00.000 --> 00:01:05.000]  在世上有防護和照明的作用
[00:01:05.000 --> 00:01:08.000]  因此你和我放膽發揮出來
[00:01:08.000 --> 00:01:12.000]  不要擔心,因為在你裡面有寶貝
[00:01:12.000 --> 00:01:19.000]  神能夠透過你的生命,將光和明亮的生命照耀出去
[00:01:19.000 --> 00:01:21.000]  叫你身邊的人得著祝福
[00:01:21.000 --> 00:01:26.000]  這正是我們今天在思想的,如何能夠向眾人行善
[00:01:26.000 --> 00:01:30.000]  在看二再書之前,我想和大家先思想一件事情
[00:01:30.000 --> 00:01:33.000]  就是什麼叫做行善呢?
[00:01:33.000 --> 00:01:38.000]  大家很多時候會讀提摩太后書三章十六節
[00:01:38.000 --> 00:01:42.000]  都會識念,聖經都是神所默示的
[00:01:42.000 --> 00:01:48.000]  與教訓督責使人歸正,教導人學義,都是有益的
[00:01:48.000 --> 00:01:57.000]  叫屬神的人得以完全預備行各樣的善事
[00:01:57.000 --> 00:02:01.000]  原來神將祂的真理賜給我們有一個目的
[00:02:01.000 --> 00:02:07.000]  就是要幫助我們,裝備我們,準備我們能夠行善事
[00:02:07.000 --> 00:02:13.000]  這是驕度人生的方向,也是神對我們的心意
[00:02:13.000 --> 00:02:15.000]  不單止這樣,你會發覺聖經很多次提及善事
[00:02:15.000 --> 00:02:19.000]  譬如提多書,就提到這位主耶穌
[00:02:19.000 --> 00:02:24.000]  祂拯救我們,將我們從罪惡中釋放出來
[00:02:24.000 --> 00:02:30.000]  然後叫我們特作他的子民熱心行善
[00:02:30.000 --> 00:02:35.000]  神的子民有一個特徵,就是熱心行善
[00:02:35.000 --> 00:02:39.000]  當你的內心將自己開闖
[00:02:39.000 --> 00:02:43.000]  神就用你在不同的處境來行善
[00:02:43.000 --> 00:02:48.000]  例如,我星期六早上一定會買一支旗
[00:02:48.000 --> 00:02:52.000]  放在我口中,做善事
[00:02:52.000 --> 00:02:57.000]  金錢的捐贈是一種善行
[00:02:57.000 --> 00:03:03.000]  但聖經所說的良善和善行是更大的期望
[00:03:03.000 --> 00:03:09.000]  有些聖經亦稱為Right Way,是正確的路
[00:03:09.000 --> 00:03:11.000]  這個標準在哪裏呢?
[00:03:11.000 --> 00:03:14.000]  標準就是神自己的說話和真理裏面
[00:03:14.000 --> 00:03:18.000]  按他的真理而行,在生活行為上
[00:03:18.000 --> 00:03:22.000]  按他要我們所行的來生活工作
[00:03:22.000 --> 00:03:25.000]  這就是善行
[00:03:25.000 --> 00:03:28.000]  因此驕度人生裏面,常常留心
[00:03:28.000 --> 00:03:30.000]  究竟神對我的心意如何?
[00:03:30.000 --> 00:03:32.000]  甚麼是正確的事?甚麼是Right?
[00:03:32.000 --> 00:03:34.000]  是正當的事情?
[00:03:34.000 --> 00:03:36.000]  要留心行善在其中
[00:03:36.000 --> 00:03:40.000]  不單止個人如是,在社會層面
[00:03:40.000 --> 00:03:44.000]  在整個政治層面都學習這樣做
[00:03:44.000 --> 00:03:49.000]  這正是神對我們的心意和方向
[00:03:49.000 --> 00:03:51.000]  在今天的聖經二十二課第一章
[00:03:51.000 --> 00:03:56.000]  其中特別十六至二十三節是我們集中看的
[00:03:56.000 --> 00:03:59.000]  而我會再集中多一點在十六及十七兩節
[00:03:59.000 --> 00:04:04.000]  所以我想大家再讀讀這兩節經文
[00:04:04.000 --> 00:04:08.000]  這裏有八行,我會試試從四個方面
[00:04:08.000 --> 00:04:14.000]  兩行一個重點,來跟大家分享這兩節經文
[00:04:14.000 --> 00:04:16.000]  大家再讀十六、十七節
[00:04:16.000 --> 00:04:20.000]  你們要洗滌自己,潔淨自己
[00:04:20.000 --> 00:04:24.000]  從我眼前除掉你們的惡行
