
[00:00:00.000 --> 00:00:03.400]  今天是長者日,不知道大家知不知道
[00:00:03.400 --> 00:00:06.300]  所有交通工具都免費的
[00:00:06.300 --> 00:00:13.300]  不過大陸人的錢都包了,他們又包了,所以應該不用給錢的
[00:00:13.300 --> 00:00:17.800]  說到長者日,有個經歷就是
[00:00:17.800 --> 00:00:21.300]  前陣子我去買外賣
[00:00:21.300 --> 00:00:27.300]  我說,喂,麻煩大姐,海南雞飯,外賣,酒餐具
[00:00:27.300 --> 00:00:32.300]  大姐看著我,其實我比較年輕
[00:00:32.300 --> 00:00:36.300]  有沒有路由卡?有路由卡,八五折
[00:00:36.300 --> 00:00:44.300]  我站在那裡,心裡說,不是的,張開眼睛,我怎麼超過二十歲
[00:00:44.300 --> 00:00:51.300]  我是這樣想的,但我就很客氣,不好意思,外賣快點
[00:00:51.300 --> 00:01:03.300]  這個笑話,看著一個人的外貌形象,就有一定的意義所在
[00:01:03.300 --> 00:01:09.300]  今天這段經文就說,image,人的形象,神的形象
[00:01:09.300 --> 00:01:16.300]  希望透過這段經文讓我們明白,整本聖經其實有一個很中心的思想
[00:01:16.300 --> 00:01:19.300]  整本聖經說的是一樣東西,我們一起去思考
[00:01:19.300 --> 00:01:24.300]  經文上文背景是這樣的,背景是上文十一章十五節
[00:01:24.300 --> 00:01:29.300]  耶穌在聖殿當中把很多買賣的人趕走
[00:01:29.300 --> 00:01:33.300]  引起很多法利塞人和宗教人士的不滿
[00:01:33.300 --> 00:01:39.300]  因為聖殿本身是一個敬拜神的地方,尊崇神,但這個地方被用作商業用途
[00:01:39.300 --> 00:01:42.300]  所以耶穌就很不滿
[00:01:42.300 --> 00:01:51.300]  宗教人士就說,憑什麼誰被權柄趕走這些人呢?
[00:01:51.300 --> 00:01:57.300]  耶穌沒有直接回答他們,反而就說下文,十二章頭就說
[00:01:57.300 --> 00:02:04.300]  預言到他們將會殺死神所差來的獨生兒子耶穌基督他自己
[00:02:04.300 --> 00:02:13.300]  接著到今天的經文,有幾個法利塞人和希臘黨的人來到耶穌的庚前
[00:02:13.300 --> 00:02:17.300]  法利塞人就是宗教人士領袖,很熟悉聖經
[00:02:17.300 --> 00:02:22.300]  希臘黨就是政治領袖,屬於政府的
[00:02:22.300 --> 00:02:29.300]  他們也是從宗教政治混合,一起來質疑耶穌
[00:02:29.300 --> 00:02:34.300]  希望他們用一些東西來陷害耶穌
[00:02:34.300 --> 00:02:42.300]  陷害的意思就是,好像獵物,出其不意捕捉耶穌,讓祂被殺
[00:02:42.300 --> 00:02:46.300]  這是一個局,本身整個對話是一個局
[00:02:46.300 --> 00:02:51.300]  希望耶穌跌入一個陷阱
[00:02:51.300 --> 00:02:58.300]  這是什麼陷阱呢?經文有說,他們不是問耶穌問題,而是稱讚耶穌
[00:02:58.300 --> 00:03:04.300]  這是一個技巧,想讓人容易跌入陷阱,首先稱讚耶穌
[00:03:04.300 --> 00:03:08.300]  讓祂飄飄然地進入陷阱
[00:03:08.300 --> 00:03:12.300]  怎樣稱讚耶穌呢?說,耶穌,夫子,老師,你是誠實的
[00:03:12.300 --> 00:03:20.300]  你是不會看別人的外貌的,你是會按照上帝的心意去說話的
[00:03:20.300 --> 00:03:27.300]  然後問祂兩條問題,這是真正的動機
[00:03:27.300 --> 00:03:33.300]  第一條問題是納粹被凱撒,當時羅馬帝國的君王納粹被凱撒行不行?
[00:03:33.300 --> 00:03:37.300]  第二條問題是我們應不應該納粹?
[00:03:37.300 --> 00:03:44.300]  在第一世紀,聖經的故事是2000年前
[00:03:44.300 --> 00:03:48.300]  第一世紀整個羅馬帝國的版圖是很廣闊的
[00:03:48.300 --> 00:03:52.300]  包括現在的以色列,整個土地在外
[00:03:52.300 --> 00:04:01.300]  這個土地每一個地方都要服從羅馬帝國的政權和律法
[00:04:01.300 --> 00:04:07.300]  包括納粹在內,我們知道當時有不同的稅項
[00:04:07.300 --> 00:04:12.300]  例如在路加坊第二章頭就有一個人頭稅,要報名上冊
