
[00:00:00.000 --> 00:00:01.200]  在新一年開始的時候
[00:00:01.200 --> 00:00:03.200]  我們大家都會有很多的目標
[00:00:03.200 --> 00:00:05.000]  有很多新的安排
[00:00:05.000 --> 00:00:06.200]  新的計劃
[00:00:06.200 --> 00:00:09.800]  但很多時候當我們定一些新目標的時候
[00:00:09.800 --> 00:00:11.000]  我們都有一些怕
[00:00:11.000 --> 00:00:13.800]  我們怕就是這些目標達不到
[00:00:13.800 --> 00:00:15.800]  我們會怕失敗
[00:00:15.800 --> 00:00:19.600]  所以很多時候我們有一種很矛盾的心情
[00:00:19.600 --> 00:00:21.800]  一方面很希望有新的開展
[00:00:21.800 --> 00:00:24.000]  另一方面都有一點點的擔心
[00:00:24.000 --> 00:00:26.000]  在新年的時候
[00:00:26.000 --> 00:00:28.200]  我們都一齊來到去看回詩篇的時候
[00:00:28.200 --> 00:00:31.000]  就發覺詩篇經常提醒我們一件事情
[00:00:31.000 --> 00:00:33.600]  就是我們需要常常將我們的心
[00:00:33.600 --> 00:00:36.200]  轉眼仰望神自己
[00:00:36.200 --> 00:00:38.400]  當我們定一些目標的時候
[00:00:38.400 --> 00:00:41.200]  我們不是依靠自己來達到
[00:00:41.200 --> 00:00:44.600]  我們不是盼望放在自己身上
[00:00:44.600 --> 00:00:45.800]  而是將整個盼望
[00:00:45.800 --> 00:00:48.200]  集中在耶和華的身上
[00:00:48.200 --> 00:00:49.600]  而我們就會很肯定
[00:00:49.600 --> 00:00:52.200]  你要知道當我們仰望祂的時候
[00:00:52.200 --> 00:00:54.200]  我們的心就可以安穩
[00:00:54.200 --> 00:00:56.200]  就可以享受那份平靜
[00:00:56.200 --> 00:00:57.600]  那份把握
[00:00:57.600 --> 00:00:59.000]  而在信心當中
[00:00:59.000 --> 00:01:01.600]  就不斷經歷神的恩典在我們身上
[00:01:01.600 --> 00:01:03.200]  來彰顯出來
[00:01:03.200 --> 00:01:07.400]  詩篇提醒我們要將我們的眼睛
[00:01:07.400 --> 00:01:09.400]  轉眼仰望神
[00:01:09.400 --> 00:01:11.200]  我們剛才讀過幾篇詩篇
[00:01:11.200 --> 00:01:13.400]  都是重複地提出這個訊息
[00:01:13.400 --> 00:01:16.200]  就是我們需要來去仰望祂
[00:01:16.200 --> 00:01:18.200]  在詩篇的六十二篇
[00:01:18.200 --> 00:01:21.400]  提到很多時候當面對很多的惡人
[00:01:21.400 --> 00:01:25.000]  很多的逼迫患難的時候
[00:01:25.000 --> 00:01:26.200]  詩篇提醒我們
[00:01:26.200 --> 00:01:28.600]  將我們的整個倚靠
[00:01:28.600 --> 00:01:30.600]  集中在神的身上
[00:01:30.600 --> 00:01:34.400]  而今天我們會集中看另一篇詩篇
[00:01:34.400 --> 00:01:37.000]  就是詩篇一百三十一篇
[00:01:37.000 --> 00:01:38.000]  我們看一位詩人
[00:01:38.000 --> 00:01:40.200]  當他來到去仰望神的時候
[00:01:40.200 --> 00:01:43.000]  他內心的境況是怎樣
[00:01:43.000 --> 00:01:45.200]  我請大家這個時候
[00:01:45.200 --> 00:01:48.600]  幫我打開聖經的詩篇一百三十一篇
[00:01:49.600 --> 00:02:01.200]  (聖經)
[00:02:01.200 --> 00:02:03.000]  在看詩篇一百三十一篇之前
[00:02:03.000 --> 00:02:05.600]  我們先稍為看看一百三十篇
[00:02:05.600 --> 00:02:07.400]  一百三十篇
[00:02:07.400 --> 00:02:10.400]  兩篇詩篇基本上有一個連繫的關係
[00:02:10.400 --> 00:02:12.600]  我們稍為看看三十篇之後
[00:02:12.600 --> 00:02:13.600]  一百三十篇之後
[00:02:13.600 --> 00:02:16.800]  我們先集中描繪上一百三十一篇的經文
[00:02:18.400 --> 00:02:20.400]  詩篇一百三十一篇裏面提到
[00:02:20.400 --> 00:02:22.600]  詩人內心很深感受到
[00:02:22.600 --> 00:02:24.400]  罪被他的捆綁
[00:02:24.400 --> 00:02:26.000]  罪被他的纏繞
[00:02:26.000 --> 00:02:28.000]  他心裏面很覺得
[00:02:28.000 --> 00:02:30.000]  自己不能夠站在神的面前
[00:02:30.000 --> 00:02:33.600]  因此在詩篇一百三十一篇第三節這樣說
[00:02:33.600 --> 00:02:35.200]  主耶和華:
[00:02:35.200 --> 00:02:39.000]  「你若救察罪孽,誰能站得住?」
[00:02:39.000 --> 00:02:42.200]  如果你去察究我們內心的罪
[00:02:42.200 --> 00:02:43.200]  我們的問題
[00:02:43.200 --> 00:02:46.400]  沒有一個人能夠在神面前站得住
[00:02:47.200 --> 00:02:48.600]  但接著第四節說
[00:02:48.600 --> 00:02:53.000]  「但在你有赦免之恩,要叫人敬畏你」
[00:02:53.000 --> 00:02:55.600]  因為你有赦免的恩典
[00:02:55.600 --> 00:02:57.600]  所以我們雖然是站不住
[00:02:57.600 --> 00:02:59.200]  但因為你赦免我們
[00:02:59.200 --> 00:03:00.800]  我們心就可以平安
[00:03:00.800 --> 00:03:01.800]  就可以安穩
[00:03:01.800 --> 00:03:04.200]  你是可以來審判我們
[00:03:04.200 --> 00:03:05.000]  你是有權
[00:03:05.000 --> 00:03:07.200]  而且有原則
[00:03:07.200 --> 00:03:09.000]  有原因來審判我們
[00:03:09.000 --> 00:03:11.400]  但神並沒有審判我們
[00:03:11.400 --> 00:03:13.200]  祂是赦免我們的罪
[00:03:13.400 --> 00:03:17.200]  因此叫我們更深在今後來敬畏祂
[00:03:17.200 --> 00:03:20.400]  凡事來敬畏跟從祂
[00:03:20.400 --> 00:03:23.200]  詩篇裏面再說
