
[00:00:00.000 --> 00:00:04.000]  剛才我們所讀的聖經就是我們今天要思想的華語
[00:00:04.000 --> 00:00:07.000]  羅馬書第八章
[00:00:07.000 --> 00:00:08.000]  羅馬書第八章
[00:00:08.000 --> 00:00:11.000]  剛才我們讀的是31至39
[00:00:11.000 --> 00:00:14.000]  雖然今天我們講道分享的時間不長
[00:00:14.000 --> 00:00:18.000]  但我很想讓大家看到整個羅馬書第八章
[00:00:18.000 --> 00:00:20.000]  半章的聖經
[00:00:20.000 --> 00:00:22.000]  我們從第18節開始看
[00:00:22.000 --> 00:00:23.000]  所以大家打開
[00:00:23.000 --> 00:00:25.000]  如果你是唐庸聖經的話
[00:00:25.000 --> 00:00:33.000]  就是我們1694年1694至1695
[00:00:33.000 --> 00:00:36.000]  羅馬書第八章
[00:00:36.000 --> 00:00:39.000]  為什麼要大家打開這麼長的聖經呢?
[00:00:39.000 --> 00:00:40.000]  因為剛才我們所讀的聖經
[00:00:40.000 --> 00:00:42.000]  如果你還有一點印象
[00:00:42.000 --> 00:00:46.000]  那段是一段非常勝利
[00:00:46.000 --> 00:00:50.000]  產生一個讚歌的聖經
[00:00:50.000 --> 00:00:53.000]  那裡講道有神的生命
[00:00:53.000 --> 00:00:57.000]  我們能夠帶給我們生命裡一切困難
[00:00:57.000 --> 00:01:00.000]  也沒有人能夠叫我們和神的愛隔絕
[00:01:00.000 --> 00:01:04.000]  我相信這是一年的開始裡最好的祝福
[00:01:04.000 --> 00:01:06.000]  但是你要留意
[00:01:06.000 --> 00:01:08.000]  原來這段聖經之前
[00:01:08.000 --> 00:01:11.000]  講道一個很現實的悲情
[00:01:11.000 --> 00:01:13.000]  所以我們說羅馬書是很特別的
[00:01:13.000 --> 00:01:14.000]  第八章這裡
[00:01:14.000 --> 00:01:18.000]  有一方面充滿了現實的悲情
[00:01:18.000 --> 00:01:24.000]  但另一方面又充滿了盼望的樂觀
[00:01:24.000 --> 00:01:26.000]  這兩種不同的心境
[00:01:26.000 --> 00:01:29.000]  就是我們今天要學習的
[00:01:29.000 --> 00:01:31.000]  一個很重要的真理
[00:01:31.000 --> 00:01:33.000]  我們先看這個現實的悲情
[00:01:33.000 --> 00:01:35.000]  你說是不是真的很現實的悲情?
[00:01:35.000 --> 00:01:36.000]  是的
[00:01:36.000 --> 00:01:37.000]  從第18節開始
[00:01:37.000 --> 00:01:39.000]  一直到第22節
[00:01:39.000 --> 00:01:41.000]  不斷講道一件事
[00:01:41.000 --> 00:01:44.000]  就是我們這個世界
[00:01:44.000 --> 00:01:47.000]  其實有一個不能夠改變的事實
[00:01:47.000 --> 00:01:50.000]  就是一直走向越來越糟糕
[00:01:50.000 --> 00:01:53.000]  越來越多的困難
[00:01:53.000 --> 00:01:58.000]  這裡講道萬物在虛空的底下
[00:01:58.000 --> 00:02:02.000]  萬物也有一種身淫痛苦
[00:02:02.000 --> 00:02:05.000]  萬物也希望能夠得到釋放
[00:02:05.000 --> 00:02:06.000]  但是釋放不了
