
[00:00:00.000 --> 00:00:04.320]  在《永恆福音》第九第十章是一個很大的段落
[00:00:04.320 --> 00:00:07.800]  因為我們知道第九第十章是連在一起的
[00:00:07.800 --> 00:00:10.520]  因為在第十章的二十一節
[00:00:10.520 --> 00:00:13.640]  他提到的是第九章的一件事件
[00:00:13.640 --> 00:00:21.440]  就是一個生來黑眼的人能夠見到耶穌
[00:00:21.440 --> 00:00:25.800]  所以我們知道第九第十章是一個大段落
[00:00:25.800 --> 00:00:28.360]  故事發生在安息日
[00:00:28.360 --> 00:00:30.720]  在安息日當中
[00:00:30.720 --> 00:00:35.200]  一開首第九章門徒就問耶穌一件事
[00:00:35.200 --> 00:00:37.560]  這個人是生來黑眼的
[00:00:37.560 --> 00:00:43.280]  究竟是他犯了罪還是他父母犯了罪
[00:00:43.280 --> 00:00:48.440]  中國人也有說善有善報惡有惡報
[00:00:48.440 --> 00:00:49.880]  一定有原因的
[00:00:49.880 --> 00:00:52.400]  怎麼會一個人出生黑眼的呢
[00:00:52.400 --> 00:00:54.160]  一定有原因的
[00:00:54.160 --> 00:00:57.920]  不過耶穌的答案不是這樣看的
[00:00:57.920 --> 00:01:00.240]  反而他指向了門徒的一個方向
[00:01:00.240 --> 00:01:01.560]  第三節
[00:01:01.560 --> 00:01:02.480]  大家要留意
[00:01:02.480 --> 00:01:06.120]  第三節他說這件事不是人犯了罪
[00:01:06.120 --> 00:01:07.120]  不是父母犯了罪
[00:01:07.120 --> 00:01:13.720]  要在這個人的身上獻出神的工作
[00:01:13.720 --> 00:01:17.720]  所以焦點不是黑眼
[00:01:17.720 --> 00:01:20.120]  焦點是神自己
[00:01:20.120 --> 00:01:22.120]  整件事的焦點都是神自己
[00:01:22.120 --> 00:01:24.120]  下一個主日也是
[00:01:24.120 --> 00:01:25.720]  拉薩路的死而復活
[00:01:25.720 --> 00:01:27.400]  焦點不是死亡
[00:01:27.400 --> 00:01:29.720]  焦點是神自己
[00:01:29.720 --> 00:01:35.720]  一個人的不幸是要顯出神的作為
[00:01:35.720 --> 00:01:38.720]  我們不會這樣想的
[00:01:38.720 --> 00:01:41.720]  一個人的不幸是要顯出神的作為
[00:01:41.720 --> 00:01:43.720]  我們從來不會這樣想的
[00:01:43.720 --> 00:01:44.720]  第四節說
[00:01:44.720 --> 00:01:50.720]  趁著八日我們要做的神所差我來的工作
[00:01:50.720 --> 00:01:52.720]  神在地上的工作
[00:01:53.040 --> 00:01:56.040]  神在地上的工作是要讓所有的人
[00:01:56.040 --> 00:01:59.040]  看到和相信耶穌就是基督
[00:01:59.040 --> 00:02:00.040]  神的工作就是這樣
[00:02:00.040 --> 00:02:05.040]  神的工作在地上是要讓道成肉身的主
[00:02:05.040 --> 00:02:07.040]  彰顯在人的根前
[00:02:07.040 --> 00:02:10.040]  讓人藉著很多的不幸事件
[00:02:10.040 --> 00:02:14.040]  包括拉薩路的死亡
[00:02:14.040 --> 00:02:16.040]  看到耶穌就是基督
[00:02:16.040 --> 00:02:19.040]  為我們受罪的那位
[00:02:20.040 --> 00:02:24.040]  耶穌不是治好人的肉身上的病
[00:02:24.040 --> 00:02:26.040]  不是
[00:02:26.040 --> 00:02:27.040]  不是黑眼
[00:02:27.040 --> 00:02:29.040]  不是拉薩路的死亡
[00:02:29.040 --> 00:02:30.040]  不是治好這些
[00:02:30.040 --> 00:02:33.040]  耶穌是治好我們屬靈的生命
[00:02:33.040 --> 00:02:36.040]  內心最大的問題
[00:02:36.040 --> 00:02:37.040]  罪的問題
[00:02:37.040 --> 00:02:39.040]  耶穌是解決我們的問題
[00:02:39.040 --> 00:02:40.040]  罪的問題
[00:02:40.040 --> 00:02:41.040]  解決了這個問題
[00:02:41.040 --> 00:02:42.040]  我們就有生命
[00:02:42.040 --> 00:02:44.040]  而這個生命不單止現在
[00:02:44.040 --> 00:02:46.040]  並且一直到永遠
[00:02:47.040 --> 00:02:50.040]  耶穌是要讓所有人相信
[00:02:50.040 --> 00:02:53.040]  祂自己就是神差來的獨生兒子
[00:02:53.040 --> 00:02:55.040]  神的兒子
[00:02:55.040 --> 00:02:57.040]  這個事件
[00:02:57.040 --> 00:02:58.040]  第九章的事件
[00:02:58.040 --> 00:03:00.040]  生涯黑眼的事件
[00:03:00.040 --> 00:03:02.040]  引起了很大的爭論
[00:03:02.040 --> 00:03:04.040]  很大的爭論
[00:03:04.040 --> 00:03:07.040]  爭論點就是有兩樣
[00:03:07.040 --> 00:03:08.040]  第一樣
[00:03:08.040 --> 00:03:13.040]  耶穌去治好這個生涯黑眼的人
[00:03:13.040 --> 00:03:14.040]  因為他用
[00:03:14.040 --> 00:03:15.040]  其實很奇怪
[00:03:15.040 --> 00:03:19.040]  其實耶穌治人有很多方法
[00:03:19.040 --> 00:03:20.040]  他叫人
[00:03:20.040 --> 00:03:22.040]  你開眼就開眼
[00:03:22.040 --> 00:03:23.040]  不是的
[00:03:23.040 --> 00:03:25.040]  他特別用水
[00:03:25.040 --> 00:03:26.040]  用什麼
[00:03:26.040 --> 00:03:27.040]  用泥
[00:03:27.040 --> 00:03:29.040]  搓成一團
[00:03:29.040 --> 00:03:31.040]  然後放在人的眼睛上
[00:03:31.040 --> 00:03:33.040]  叫他去西俄亞慈禧
[00:03:33.040 --> 00:03:36.040]  其實這樣搓成一團
[00:03:36.040 --> 00:03:40.040]  其實是有意義的
[00:03:40.040 --> 00:03:42.040]  好像沒有意義
[00:03:42.040 --> 00:03:44.040]  因為在安息日
[00:03:44.040 --> 00:03:47.040]  猶太人是不可以做工作的
[00:03:47.040 --> 00:03:49.040]  包括什麼呢
[00:03:49.040 --> 00:03:51.040]  做麵粉做麵團搓成一團
[00:03:51.040 --> 00:03:53.040]  是不可以做這些的
[00:03:53.040 --> 00:03:55.040]  在安息日是不可以做工作的
[00:03:55.040 --> 00:03:58.040]  但是耶穌就特意在安息日
[00:03:58.040 --> 00:04:02.040]  將泥和脫臼末搓成一團
[00:04:02.040 --> 00:04:03.040]  放在他身上
[00:04:03.040 --> 00:04:05.040]  是違反安息日的規矩
[00:04:05.040 --> 00:04:06.040]  所以人們說
[00:04:06.040 --> 00:04:07.040]  這個人
[00:04:07.040 --> 00:04:09.040]  耶穌你違反安息日
[00:04:09.040 --> 00:04:11.040]  怎麼會在神的兒子呢
[00:04:11.040 --> 00:04:13.040]  更加的爭論點
[00:04:13.040 --> 00:04:14.040]  十章十九節
[00:04:14.040 --> 00:04:15.040]  人們說
[00:04:15.040 --> 00:04:17.040]  他是不是被鬼附的
[00:04:17.040 --> 00:04:19.040]  他怎麼會有能力
[00:04:19.040 --> 00:04:21.040]  如果他不是神的兒子
[00:04:21.040 --> 00:04:23.040]  他的能力是從哪裡來的
[00:04:23.040 --> 00:04:25.040]  會不會是從撒旦那裡來的
[00:04:25.040 --> 00:04:27.040]  很多爭論
[00:04:27.040 --> 00:04:29.040]  這個爭論
[00:04:29.040 --> 00:04:33.040]  耶穌聽完之後
[00:04:33.040 --> 00:04:35.040]  沒有走開
[00:04:35.040 --> 00:04:39.040]  反而他繼續和這批法利賽人
[00:04:39.040 --> 00:04:41.040]  宗教領袖對話
[00:04:41.040 --> 00:04:43.040]  所以就來到第十章
[00:04:43.040 --> 00:04:45.040]  繼續對話的第十章
[00:04:45.040 --> 00:04:48.040]  第十章就說了他兩個身份
[00:04:48.040 --> 00:04:50.040]  第一個身份上個星期說了
[00:04:50.040 --> 00:04:53.040]  Kendall 王傳道說了
[00:04:53.040 --> 00:04:55.040]  他是羊的門
[00:04:55.040 --> 00:04:57.040]  重點在第八第九節
[00:04:57.040 --> 00:04:59.040]  就說唯有透過他
[00:04:59.040 --> 00:05:01.040]  耶穌基督我自己
[00:05:01.040 --> 00:05:03.040]  透過我才能夠
[00:05:03.040 --> 00:05:05.040]  進入羊圈裡
[00:05:05.040 --> 00:05:07.040]  才能進入神的國
[00:05:07.040 --> 00:05:08.040]  透過耶穌基督
[00:05:08.040 --> 00:05:09.040]  唯一的方法
[00:05:09.040 --> 00:05:10.040]  不是條條帶路通羅馬的
[00:05:10.040 --> 00:05:12.040]  唯一透過耶穌基督
[00:05:12.040 --> 00:05:14.040]  才能進入羊圈裡
[00:05:14.040 --> 00:05:16.040]  成為羊
[00:05:16.040 --> 00:05:18.040]  神的子民
[00:05:18.040 --> 00:05:20.040]  進入神的國
[00:05:20.040 --> 00:05:22.040]  和神產生一個
[00:05:22.040 --> 00:05:24.040]  復和的關係
[00:05:24.040 --> 00:05:25.040]  是唯有耶穌基督
