
[00:00:00.000 --> 00:00:04.000]  我們提到「彭信不再思慮」
[00:00:04.000 --> 00:00:06.000]  我開始時提一提
[00:00:06.000 --> 00:00:11.000]  就是大家如果有留意到香港人的一般精神狀況
[00:00:11.000 --> 00:00:13.000]  我看到一些報道
[00:00:13.000 --> 00:00:17.000]  提到香港人的一個非正式的調查
[00:00:17.000 --> 00:00:20.000]  發現差不多有一百萬人
[00:00:20.000 --> 00:00:25.000]  有不同程度的抑鬱的徵象
[00:00:25.000 --> 00:00:28.000]  我猜我們中間都有不少弟兄姊妹
[00:00:28.000 --> 00:00:31.000]  可能都經歷這些難處
[00:00:31.000 --> 00:00:34.000]  很多的成因我們不在這裡分析
[00:00:34.000 --> 00:00:36.000]  但是對於教徒來說
[00:00:36.000 --> 00:00:39.000]  我們常常都會在聖經裡面看到
[00:00:39.000 --> 00:00:41.000]  就是我們相信的這位上帝
[00:00:41.000 --> 00:00:44.000]  祂是掌管我們生命的上帝
[00:00:44.000 --> 00:00:50.000]  每一件事情無論大小都在祂的掌權當中
[00:00:50.000 --> 00:00:54.000]  也都知道這位上帝是看顧人的上帝
[00:00:54.000 --> 00:00:58.000]  我們常常唱首詩歌「天父必看顧」
[00:00:58.000 --> 00:01:02.000]  如果這位上帝掌管著我生命的每一步
[00:01:02.000 --> 00:01:05.000]  祂又是看顧我的主
[00:01:05.000 --> 00:01:09.000]  為什麼我們要去憂慮呢?
[00:01:09.000 --> 00:01:13.000]  當去到馬特科爾的時候
[00:01:13.000 --> 00:01:16.000]  在主耶穌面對著一群祂的門徒
[00:01:16.000 --> 00:01:18.000]  在登山寶墳裡面
[00:01:18.000 --> 00:01:21.000]  就清楚發出一個對我們的勉勵
[00:01:21.000 --> 00:01:23.000]  沒錯我們有軟弱
[00:01:23.000 --> 00:01:27.000]  但主一路勉勵我們不要憂慮
[00:01:27.000 --> 00:01:29.000]  在短短幾節經文當中
[00:01:29.000 --> 00:01:30.000]  你數一數就發覺
[00:01:30.000 --> 00:01:32.000]  主耶穌說了四次
[00:01:32.000 --> 00:01:36.000]  不要憂慮
[00:01:36.000 --> 00:01:40.000]  另外說了一次為何憂慮
[00:01:40.000 --> 00:01:43.000]  不必要的不需要的
[00:01:43.000 --> 00:01:45.000]  為什麼要憂慮呢?
[00:01:45.000 --> 00:01:49.000]  然後一路勉勵我們離開憂慮
[00:01:49.000 --> 00:01:53.000]  給我們不必要的一些壓力和影響
[00:01:53.000 --> 00:01:55.000]  在開始的時候你看看聖經
[00:01:55.000 --> 00:01:57.000]  聖經就有三處地方
[00:01:57.000 --> 00:02:01.000]  提到主耶穌勉勵我們要專一的信靠神
[00:02:01.000 --> 00:02:04.000]  然後說出三個的比喻
[00:02:04.000 --> 00:02:05.000]  積財在天
[00:02:05.000 --> 00:02:07.000]  裡面的光
[00:02:07.000 --> 00:02:10.000]  和不能侍奉兩個主
[00:02:10.000 --> 00:02:14.000]  我們先看聖經第十九節
[00:02:14.000 --> 00:02:17.000]  不可為自己在地上積聚財寶
[00:02:17.000 --> 00:02:19.000]  因為地上有蟲蛀
[00:02:19.000 --> 00:02:20.000]  有獸侵蝕
[00:02:20.000 --> 00:02:23.000]  有賊掘洞來偷
[00:02:23.000 --> 00:02:27.000]  要為自己積聚財寶在天上
[00:02:27.000 --> 00:02:29.000]  哪裡沒有蟲蛀獸食
[00:02:29.000 --> 00:02:33.000]  也沒有賊掘洞來偷
[00:02:33.000 --> 00:02:36.000]  幾句話很清楚說出一件事實
[00:02:36.000 --> 00:02:39.000]  就是財寶是會有變化的
[00:02:39.000 --> 00:02:43.000]  財寶的價值是會改變的
[00:02:43.000 --> 00:02:44.000]  我想我不需要多說
[00:02:44.000 --> 00:02:46.000]  大家都會有很多體驗
[00:02:46.000 --> 00:02:48.000]  很多體會
[00:02:48.000 --> 00:02:51.000]  香港人經歷過好幾次的金融風暴
[00:02:51.000 --> 00:02:55.000]  好深刻體會到錢財的無定向
[00:02:55.000 --> 00:02:56.000]  我好記得
[00:02:56.000 --> 00:03:00.000]  在當年一位弟兄在實習間遇到他
[00:03:00.000 --> 00:03:02.000]  他就馬上跟我說
[00:03:02.000 --> 00:03:04.000]  他說施牧師
[00:03:04.000 --> 00:03:05.000]  我現在好明白
[00:03:05.000 --> 00:03:09.000]  什麼叫做錢財是無定向的
[00:03:09.000 --> 00:03:11.000]  因為我本來有一疊樓
[00:03:11.000 --> 00:03:15.000]  但現在變成負資產
[00:03:15.000 --> 00:03:17.000]  很多人在過程中體會
[00:03:17.000 --> 00:03:19.000]  聖經所說的事實
[00:03:19.000 --> 00:03:22.000]  錢財的價值是會改變的
[00:03:22.000 --> 00:03:26.000]  在地上的錢財也不會長久
[00:03:26.000 --> 00:03:27.000]  正如聖經所說
[00:03:27.000 --> 00:03:31.000]  是有一些本身會自己毀壞的情況
[00:03:31.000 --> 00:03:34.000]  會生鏽
[00:03:34.000 --> 00:03:38.000]  也會有別人來偷取
[00:03:38.000 --> 00:03:42.000]  在某種情況騙取偷取你的財富
[00:03:42.000 --> 00:03:45.000]  因此錢財在地上是不會長久
[00:03:45.000 --> 00:03:48.000]  有一天是會消失的
[00:03:48.000 --> 00:03:50.000]  正如聖經很清楚說一件事
[00:03:50.000 --> 00:03:55.000]  要明白錢財在地上那種實況
[00:03:55.000 --> 00:03:56.000]  我記得有一次
[00:03:56.000 --> 00:03:57.000]  很多年前
[00:03:57.000 --> 00:03:59.000]  我去到歐洲的地方
[00:03:59.000 --> 00:04:01.000]  去到捷克
[00:04:01.000 --> 00:04:04.000]  在捷克的商舖買一些東西
[00:04:04.000 --> 00:04:07.000]  我用當時捷克的貨幣來買
