
[00:00:00.000 --> 00:00:03.000]  當我們想到虧勸、勸誡的時候
[00:00:03.000 --> 00:00:06.000]  或者大家都會好體會到香港這個社會
[00:00:06.000 --> 00:00:08.000]  有一個觀念
[00:00:08.000 --> 00:00:10.000]  這個觀念越來越流行
[00:00:10.000 --> 00:00:12.000]  認為如果你愛一個人
[00:00:12.000 --> 00:00:16.000]  你就一味的包容他就行了
[00:00:16.000 --> 00:00:18.000]  只要他喜歡就由他吧
[00:00:18.000 --> 00:00:20.000]  不要阻止他
[00:00:20.000 --> 00:00:21.000]  因為他喜歡嘛
[00:00:21.000 --> 00:00:24.000]  就讓他得到想得到的
[00:00:24.000 --> 00:00:28.000]  很多人以為一味的包容就等於愛他
[00:00:28.000 --> 00:00:30.000]  但正所強調愛的觀念
[00:00:30.000 --> 00:00:32.000]  不單止是憐憫包容
[00:00:32.000 --> 00:00:36.000]  同時講到愛是不喜歡不義
[00:00:36.000 --> 00:00:38.000]  只喜歡真理
[00:00:38.000 --> 00:00:40.000]  是不讓不歡喜人
[00:00:40.000 --> 00:00:43.000]  因為犯罪以至受捆綁
[00:00:43.000 --> 00:00:44.000]  不喜歡一個人
[00:00:44.000 --> 00:00:46.000]  因為行在不義當中
[00:00:46.000 --> 00:00:49.000]  以至他受到不義對他自己的傷害
[00:00:49.000 --> 00:00:54.000]  因此愛是不願意人陷在錯失當中
[00:00:54.000 --> 00:00:57.000]  而希望盡量將他挽回過來
[00:00:57.000 --> 00:00:59.000]  因此聖經提到
[00:00:59.000 --> 00:01:01.000]  當主耶穌在地上的時候
[00:01:01.000 --> 00:01:05.000]  祂是願意來冒了得罪別人的危險
[00:01:05.000 --> 00:01:08.000]  來誠實地去虧欠
[00:01:08.000 --> 00:01:10.000]  去挽回這些跌倒
[00:01:10.000 --> 00:01:13.000]  或者在錯失當中的人
[00:01:13.000 --> 00:01:15.000]  當然我們中國人常常都說
[00:01:15.000 --> 00:01:18.000]  要明哲保身
[00:01:18.000 --> 00:01:21.000]  沒錯有些時候我們要小心去分辨清楚
[00:01:21.000 --> 00:01:24.000]  但主耶穌給我們的榜樣並不是這樣
[00:01:24.000 --> 00:01:26.000]  在《路教福音》裏面
[00:01:26.000 --> 00:01:27.000]  我們可以看到
[00:01:27.000 --> 00:01:28.000]  當時的記載
[00:01:28.000 --> 00:01:32.000]  主耶穌在正面勸戒當時的領袖之後
[00:01:32.000 --> 00:01:36.000]  立時落在一個很重要的危機當中
[00:01:36.000 --> 00:01:39.000]  當時的領袖就會用各種方法
[00:01:39.000 --> 00:01:42.000]  來嘗試去陷害
[00:01:42.000 --> 00:01:44.000]  去傷害主耶穌
[00:01:44.000 --> 00:01:46.000]  雖然知道有這樣的後果
[00:01:46.000 --> 00:01:52.000]  但主沒有放棄去誠實地勸戒
[00:01:52.000 --> 00:01:55.000]  這也是值得我們今天一齊思想的事情
[00:01:55.000 --> 00:01:58.000]  我們來看看聖經第十一章
[00:01:58.000 --> 00:01:59.000]  首先聖經所提及的
[00:01:59.000 --> 00:02:03.000]  是法利塞人主耶穌宣告他們有禍了
[00:02:03.000 --> 00:02:04.000]  或者簡單來說
[00:02:04.000 --> 00:02:06.000]  他們虛有其表
[00:02:06.000 --> 00:02:09.000]  成為他們最大的一個過失
[00:02:09.000 --> 00:02:12.000]  我們看第三十七節
[00:02:12.000 --> 00:02:13.000]  耶穌說話的時候
[00:02:13.000 --> 00:02:16.000]  有一個法利塞人請耶穌和他同吃飯
[00:02:16.000 --> 00:02:18.000]  他就進去坐直
[00:02:18.000 --> 00:02:21.000]  這個法利塞人見耶穌吃飯之前不洗手
[00:02:21.000 --> 00:02:23.000]  覺得奇怪
[00:02:23.000 --> 00:02:24.000]  主對他說
[00:02:24.000 --> 00:02:27.000]  法利塞人把杯盤的外面洗淨
[00:02:27.000 --> 00:02:32.000]  但你們裡面卻充滿了搶奪和邪惡
[00:02:32.000 --> 00:02:33.000]  當時耶穌被邀請
[00:02:33.000 --> 00:02:37.000]  去到法利塞人的家裡吃飯
[00:02:37.000 --> 00:02:39.000]  按照當時的情況
[00:02:39.000 --> 00:02:42.000]  應該是一個比較和氣開心
[00:02:42.000 --> 00:02:45.000]  一起可以聊聊天的時刻
[00:02:45.000 --> 00:02:48.000]  用我們現在有時候說的話
[00:02:48.000 --> 00:02:50.000]  或者有時候可以搞關係
[00:02:50.000 --> 00:02:54.000]  不用大家之間的關係那麼僵持
[00:02:54.000 --> 00:02:56.000]  但當耶穌在那個時候
[00:02:56.000 --> 00:02:58.000]  他沒有避諱
[00:02:58.000 --> 00:03:00.000]  面對當時法利塞人的問題
[00:03:00.000 --> 00:03:05.000]  他很自然就從心裡發出對他們的勸誡
[00:03:05.000 --> 00:03:07.000]  當時的人就說
[00:03:07.000 --> 00:03:09.000]  為什麼你不洗手吃飯
[00:03:09.000 --> 00:03:10.000]  大家不要誤會
[00:03:10.000 --> 00:03:12.000]  這個不是衛生的問題
[00:03:12.000 --> 00:03:14.000]  在當時的法利塞人
[00:03:14.000 --> 00:03:18.000]  他們認為如果吃飯之前不洗手
[00:03:18.000 --> 00:03:21.000]  屬於禮儀上的不潔淨
[00:03:21.000 --> 00:03:24.000]  甚至他們都會要求
[00:03:24.000 --> 00:03:26.000]  在街外回到家裡
[00:03:26.000 --> 00:03:28.000]  必須要先沐浴
[00:03:28.000 --> 00:03:30.000]  然後才會得潔淨
[00:03:30.000 --> 00:03:31.000]  同時他們要求
[00:03:31.000 --> 00:03:33.000]  用一種特定的份量
[00:03:33.000 --> 00:03:35.000]  水量來洗手
[00:03:35.000 --> 00:03:38.000]  用一個特定的步驟來洗手
[00:03:38.000 --> 00:03:41.000]  才算為潔淨
[00:03:41.000 --> 00:03:43.000]  但聖經有沒有這樣的要求呢
[00:03:43.000 --> 00:03:44.000]  聖經沒有要求
[00:03:44.000 --> 00:03:46.000]  律法沒有這樣的要求
[00:03:46.000 --> 00:03:49.000]  只是要求祭司獻祭之前
[00:03:49.000 --> 00:03:51.000]  進入回眸
[00:03:51.000 --> 00:03:54.000]  或者是聖殿之前要洗手洗腳
[00:03:54.000 --> 00:03:56.000]  但沒有要求人吃飯之前洗手
[00:03:56.000 --> 00:03:58.000]  作為禮儀的潔淨
[00:03:58.000 --> 00:04:00.000]  但當時的猶太人就將這些
[00:04:00.000 --> 00:04:03.000]  變成一個神的誡命
[00:04:03.000 --> 00:04:05.000]  要求人這樣做
[00:04:05.000 --> 00:04:06.000]  耶穌一聽見的時候
[00:04:06.000 --> 00:04:08.000]  他就馬上回答
[00:04:08.000 --> 00:04:10.000]  他在聖經裡面說出
[00:04:10.000 --> 00:04:15.000]  你們法利塞人洗乾淨杯盤的外面
[00:04:15.000 --> 00:04:20.000]  但裡面充滿了搶奪和邪惡
[00:04:20.000 --> 00:04:21.000]  聖經清楚說
[00:04:21.000 --> 00:04:24.000]  主耶穌說你們只顧外表
[00:04:24.000 --> 00:04:26.000]  只顧禮儀上的一些潔淨
[00:04:26.000 --> 00:04:28.000]  但沒有顧到生命裡面
[00:04:28.000 --> 00:04:31.000]  那種真實的潔淨的需要
[00:04:31.000 --> 00:04:34.000]  沒有顧慮到生命的實況
[00:04:34.000 --> 00:04:37.000]  是一個極大的矛盾
[00:04:37.000 --> 00:04:38.000]  只是顧著外面
