
[00:00:00.000 --> 00:00:03.000]  當你說到聖靈的幫助的時候
[00:00:03.000 --> 00:00:05.000]  我就想起自己
[00:00:05.000 --> 00:00:07.000]  有很多時候當我祈禱
[00:00:07.000 --> 00:00:10.000]  我就會感覺自己的軟弱
[00:00:10.000 --> 00:00:12.000]  體會到有些地方
[00:00:12.000 --> 00:00:13.000]  自己的限制
[00:00:13.000 --> 00:00:15.000]  甚至自己的不足
[00:00:15.000 --> 00:00:16.000]  我記得自己很多時候
[00:00:16.000 --> 00:00:18.000]  都很不期然地這樣祈禱
[00:00:18.000 --> 00:00:19.000]  我就說一聲
[00:00:19.000 --> 00:00:21.000]  我雖然軟弱
[00:00:21.000 --> 00:00:23.000]  但是你剛強
[00:00:23.000 --> 00:00:26.000]  聖靈是我的幫助
[00:00:26.000 --> 00:00:28.000]  很多時候都是這樣告訴自己
[00:00:28.000 --> 00:00:30.000]  怕自己軟弱
[00:00:30.000 --> 00:00:31.000]  我雖然軟弱
[00:00:31.000 --> 00:00:33.000]  但是主剛強
[00:00:33.000 --> 00:00:35.000]  聖靈是我的幫助
[00:00:35.000 --> 00:00:37.000]  當我這樣祈禱的時候
[00:00:37.000 --> 00:00:39.000]  也感受到聖靈對我的鼓勵
[00:00:39.000 --> 00:00:42.000]  就繼續放膽為不同的事情去祈禱
[00:00:42.000 --> 00:00:44.000]  去倚靠神
[00:00:44.000 --> 00:00:45.000]  聖經提到
[00:00:45.000 --> 00:00:48.000]  在地上我們有軟弱
[00:00:48.000 --> 00:00:49.000]  有苦難
[00:00:49.000 --> 00:00:51.000]  但是我們不需要怕
[00:00:51.000 --> 00:00:53.000]  因為聖靈在我們生命中
[00:00:53.000 --> 00:00:56.000]  是我們的保衛師
[00:00:56.000 --> 00:00:58.000]  大家記得保衛師這個字
[00:00:58.000 --> 00:01:00.000]  英文叫做Counselor
[00:01:00.000 --> 00:01:02.000]  但是其實這個含義是很豐富的
[00:01:02.000 --> 00:01:04.000]  很多靈姐妹會知道
[00:01:04.000 --> 00:01:06.000]  保衛師的意思是
[00:01:06.000 --> 00:01:12.000]  被召來到我們旁邊去幫助我們
[00:01:12.000 --> 00:01:14.000]  就是保衛師這個字的含義
[00:01:14.000 --> 00:01:19.000]  是被召來到我們旁邊幫助我們那位
[00:01:19.000 --> 00:01:23.000]  因為保衛師他很明白我們的軟弱
[00:01:23.000 --> 00:01:25.000]  知道我們所身處的處境
[00:01:25.000 --> 00:01:29.000]  又很真實地來幫助我們
