
[00:00:00.000 --> 00:00:02.000]  耶穌來到地上
[00:00:02.000 --> 00:00:04.320]  傳播一個很重要的信息
[00:00:04.320 --> 00:00:07.640]  就是叫人怎樣去歸向上帝
[00:00:07.640 --> 00:00:08.520]  內容就是
[00:00:08.520 --> 00:00:12.440]  「天國近了,你們應當悔改」
[00:00:12.440 --> 00:00:14.000]  天國來了
[00:00:14.000 --> 00:00:16.680]  天國已經來到地上
[00:00:16.680 --> 00:00:20.040]  上一審判已經來臨人間
[00:00:20.040 --> 00:00:24.280]  上帝的救恩計劃也來臨人間
[00:00:24.280 --> 00:00:26.600]  你們要悔改,歸向上帝
[00:00:26.600 --> 00:00:32.000]  然後耶穌在馬太方十三章就用了很多比喻去說
[00:00:32.000 --> 00:00:33.680]  上帝一國來到的時候
[00:00:33.680 --> 00:00:35.280]  上帝審判來到的時候
[00:00:35.280 --> 00:00:37.600]  上帝救恩來到的時候
[00:00:37.600 --> 00:00:39.000]  這個信息傳開的時候
[00:00:39.000 --> 00:00:40.840]  究竟有什麼事發生呢?
[00:00:40.840 --> 00:00:45.640]  用了很多不同的比喻去說出了這個情況
[00:00:45.640 --> 00:00:47.360]  亂世瘋言這個題目
[00:00:47.360 --> 00:00:49.800]  其實是楊木公牧師一本的
[00:00:49.800 --> 00:00:51.640]  講解比喻的書的題目
[00:00:51.640 --> 00:00:52.680]  我覺得很有意思
[00:00:52.680 --> 00:00:53.720]  在亂世的時候
[00:00:53.720 --> 00:00:57.480]  上帝是擺了一個很豐富的筵席
[00:00:57.480 --> 00:00:59.200]  邀請人來參與
[00:00:59.200 --> 00:01:00.560]  去享用這個筵席
[00:01:00.560 --> 00:01:03.760]  不過人的反應卻是怎樣呢?
[00:01:03.760 --> 00:01:05.840]  在這一段的經文
[00:01:05.840 --> 00:01:09.440]  他說是一組的比喻裡面
[00:01:09.440 --> 00:01:11.320]  最後三個的比喻
[00:01:11.320 --> 00:01:12.440]  這三個比喻
[00:01:12.440 --> 00:01:14.120]  第一個比喻就說到有一個工人
[00:01:14.120 --> 00:01:18.400]  在田裡面找到一個寶貝
[00:01:18.400 --> 00:01:20.240]  然後他馬上就封了
[00:01:20.240 --> 00:01:23.960]  然後就籌集所有的資金
[00:01:23.960 --> 00:01:26.240]  去買這一塊地
[00:01:26.240 --> 00:01:29.040]  這個可能在我們的背景
[00:01:29.040 --> 00:01:30.640]  真的不是很熟習
[00:01:30.640 --> 00:01:31.640]  我們中國人
[00:01:31.640 --> 00:01:32.360]  不是中國人
[00:01:32.360 --> 00:01:34.600]  就是我們人性的罪性
[00:01:34.600 --> 00:01:36.080]  有句話叫做什麼
[00:01:36.080 --> 00:01:38.480]  地上撿到寶是什麼?
[00:01:38.480 --> 00:01:39.880]  問天問地拿不到
[00:01:39.880 --> 00:01:40.800]  雖然這個不對
[00:01:40.800 --> 00:01:41.960]  基督徒應該是這樣
[00:01:41.960 --> 00:01:44.320]  撿到東西當然要拿去警察局
[00:01:44.320 --> 00:01:45.920]  但是地上撿到
[00:01:45.920 --> 00:01:47.360]  拿到就走
[00:01:47.360 --> 00:01:48.840]  但是不是
[00:01:48.840 --> 00:01:52.200]  一個人去買回
[00:01:52.200 --> 00:01:54.480]  然後去買這塊地
[00:01:54.480 --> 00:01:58.920]  這個和當時的情況有關係
[00:01:58.920 --> 00:02:02.360]  當時有一個律例是這樣說的
[00:02:02.360 --> 00:02:05.040]  就是說如果在田裡面
[00:02:05.040 --> 00:02:08.040]  有工人去找到任何的東西
[00:02:08.040 --> 00:02:11.040]  那些東西都是屬於那個地主的
[00:02:11.040 --> 00:02:12.920]  你不可以據為己有的
[00:02:12.920 --> 00:02:14.440]  所以這個工人
[00:02:14.440 --> 00:02:17.400]  就是一個人希望可以合法地去拿
[00:02:17.400 --> 00:02:18.360]  這個寶貝
[00:02:18.360 --> 00:02:23.600]  所以他就將所有的資源
[00:02:23.600 --> 00:02:24.520]  能夠所擁有的
[00:02:24.520 --> 00:02:26.440]  去買這一塊地
[00:02:26.440 --> 00:02:27.520]  也可以這麼說
[00:02:27.520 --> 00:02:28.520]  他也知道
[00:02:28.520 --> 00:02:31.560]  我付任何的代價都是值得的
[00:02:31.560 --> 00:02:34.800]  任何代價去換取這個寶貝
[00:02:34.800 --> 00:02:36.120]  都是值得的
[00:02:36.120 --> 00:02:38.240]  所以他有這個行動
[00:02:38.240 --> 00:02:39.800]  接著第二個比喻就是說
[00:02:39.800 --> 00:02:40.680]  一個買賣人
[00:02:40.680 --> 00:02:44.080]  就是他遇到一個
[00:02:44.080 --> 00:02:46.480]  在一生當中都沒見過
[00:02:46.480 --> 00:02:47.640]  這麼好的珍珠
[00:02:47.640 --> 00:02:50.480]  所以他也願意用他所有的代價
[00:02:50.480 --> 00:02:53.080]  去買這個珍珠
[00:02:53.080 --> 00:02:56.280]  一個可以說很有經驗的買賣人
[00:02:56.280 --> 00:02:58.360]  見過很多不同的珍珠
