
[00:00:00.000 --> 00:00:01.400]  各位兄姊妹 早安
[00:00:01.400 --> 00:00:05.240]  今早繼續跟大家分享傳道書的訊息
[00:00:05.240 --> 00:00:06.880]  今天題目是定時
[00:00:06.880 --> 00:00:08.200]  讓大家想起什麼
[00:00:08.200 --> 00:00:10.920]  定時 即是定後要做什麼
[00:00:10.920 --> 00:00:13.200]  或者用另一個字比較熟悉
[00:00:13.200 --> 00:00:15.120]  叫限定 限量
[00:00:15.120 --> 00:00:17.880]  一有季節限定 或者限量版
[00:00:17.880 --> 00:00:19.040]  就是什麼
[00:00:19.040 --> 00:00:21.560]  那件事或那件事就變得珍貴
[00:00:21.560 --> 00:00:23.440]  或者變得貴
[00:00:23.440 --> 00:00:26.960]  甚至定時 即是顯示價值
[00:00:26.960 --> 00:00:29.120]  即是需要擺一時機
[00:00:29.120 --> 00:00:30.840]  好像大家很懂得去旅行
[00:00:30.840 --> 00:00:33.800]  看櫻花什麼季節
[00:00:33.800 --> 00:00:35.520]  我不是很懂
[00:00:35.520 --> 00:00:37.520]  三月還是幾月
[00:00:37.520 --> 00:00:40.320]  或者看極光又要什麼季節去
[00:00:40.320 --> 00:00:43.680]  不是任何時間都可以看
[00:00:43.680 --> 00:00:45.040]  或者我們比較熟悉
[00:00:45.040 --> 00:00:48.800]  你看影片 現在有什麼上載影片
[00:00:48.800 --> 00:00:50.720]  如果不限時
[00:00:50.720 --> 00:00:53.920]  可能你就慢慢看
[00:00:53.920 --> 00:00:55.000]  有空再看
[00:00:55.000 --> 00:00:55.800]  但如果告訴你
[00:00:55.800 --> 00:00:58.360]  這個星期幾就下架了
[00:00:58.360 --> 00:01:03.480]  可能你就會馬上安排時間去看
[00:01:03.480 --> 00:01:06.520]  原來我們生活都習慣了
[00:01:06.520 --> 00:01:08.160]  只是定時的
[00:01:08.160 --> 00:01:10.720]  但原來聖經很清楚告訴我們
[00:01:10.720 --> 00:01:12.600]  生命都有定時
[00:01:12.600 --> 00:01:16.760]  重要的是你讀聖經告訴我們
[00:01:16.760 --> 00:01:20.160]  不是你決定的
[00:01:20.160 --> 00:01:24.240]  今天傳道書講到第三章的時候
[00:01:24.240 --> 00:01:28.000]  延續之前
[00:01:28.000 --> 00:01:31.760]  傳道書是詩歌自慰書
[00:01:31.760 --> 00:01:37.480]  有一個說法是創造神學
[00:01:37.480 --> 00:01:39.080]  不是救贖神學
[00:01:39.080 --> 00:01:42.120]  創造神學有一些說法
[00:01:42.120 --> 00:01:44.720]  有幾個創造秩序
[00:01:44.720 --> 00:01:46.320]  有功能秩序
[00:01:46.320 --> 00:01:47.520]  即是說你有使命
