
[00:00:00.000 --> 00:00:03.000]  我以為自己很老了
[00:00:03.000 --> 00:00:05.000]  我以為自己很老
[00:00:05.000 --> 00:00:09.000]  想不到我最歡喜的那首詩
[00:00:09.000 --> 00:00:12.000]  我心裡極可的愛慕著耶穌
[00:00:12.000 --> 00:00:16.000]  是我五歲的時候他寫的
[00:00:16.000 --> 00:00:18.000]  原來我最喜歡這首詩歌
[00:00:18.000 --> 00:00:20.000]  是我五歲的時候他寫的
[00:00:20.000 --> 00:00:21.000]  感謝神
[00:00:21.000 --> 00:00:22.000]  感謝神
[00:00:22.000 --> 00:00:26.000]  是給我們歌唱讚美的恩賜
[00:00:26.000 --> 00:00:29.000]  是給我們有歌唱讚美的恩賜
[00:00:29.000 --> 00:00:32.000]  在地上唱詩已經這麼好聽了
[00:00:32.000 --> 00:00:34.000]  在地上唱詩已經這麼好聽了
[00:00:34.000 --> 00:00:39.000]  那你想一想在天上是更加如何的好聽呢
[00:00:39.000 --> 00:00:41.000]  你想一想將來天上是多麼的好聽呢
[00:00:41.000 --> 00:00:43.000]  難以想像
[00:00:43.000 --> 00:00:44.000]  真的難以想像
[00:00:44.000 --> 00:00:46.000]  我們等待在那裡
[00:00:46.000 --> 00:00:52.000]  從我們的靈裡面湧出來讚美的歌聲
[00:00:52.000 --> 00:00:53.000]  我們等待到那一天
[00:00:53.000 --> 00:00:55.000]  從靈裡面湧出來讚美的歌聲
[00:00:55.000 --> 00:00:58.000]  你我都是音樂家了
[00:00:58.000 --> 00:00:59.000]  我都是音樂家
[00:00:59.000 --> 00:01:01.000]  現在有的人很怕唱
[00:01:01.000 --> 00:01:02.000]  有的人很怕唱
[00:01:02.000 --> 00:01:05.000]  因為唱的時候旁邊那個人很受苦
[00:01:05.000 --> 00:01:07.000]  因為唱的時候旁邊那個人很受苦
[00:01:07.000 --> 00:01:10.000]  但是在天上我們都唱得很好聽
[00:01:10.000 --> 00:01:12.000]  但是在天上我們都唱得很好聽
[00:01:12.000 --> 00:01:14.000]  而且得到我們的天賦
[00:01:14.000 --> 00:01:16.000]  我們的主耶穌
[00:01:16.000 --> 00:01:19.000]  得到我們的聖靈的欣賞與熱吶
[00:01:19.000 --> 00:01:20.000]  我們得到天賦
[00:01:20.000 --> 00:01:23.000]  我們得到耶穌和聖靈的欣賞和熱吶
[00:01:23.000 --> 00:01:25.000]  我們低頭祈禱
[00:01:25.000 --> 00:01:28.000]  天賦啊我們感謝你
[00:01:28.000 --> 00:01:30.000]  天賦啊我們感謝你
[00:01:30.000 --> 00:01:33.000]  你賜給我們的是何等的恩典
[00:01:33.000 --> 00:01:35.000]  你賜給我們的是何等的恩典
