
[00:00:00.000 --> 00:00:04.800]  在我們講到菲律賓書第二章結尾的時候
[00:00:04.800 --> 00:00:10.000]  保羅用了兩個信徒的生命成為一個鼓勵
[00:00:10.000 --> 00:00:11.600]  就是鼓勵菲律賓教會的信徒
[00:00:11.600 --> 00:00:14.300]  直著提摩太和以巴佛提他們的生命
[00:00:14.300 --> 00:00:20.000]  他們在困難當中怎樣仍然去努力不懈
[00:00:20.000 --> 00:00:23.200]  為道科學門的全開的緣故
[00:00:23.200 --> 00:00:25.000]  真的輔助他們所有
[00:00:25.000 --> 00:00:26.100]  在這個鼓勵之後
[00:00:26.100 --> 00:00:27.800]  接著保羅在第三章
[00:00:27.800 --> 00:00:31.400]  他就做了一個很嚴厲的提醒
[00:00:31.400 --> 00:00:34.600]  在一個這麼嚴厲的提醒一開始之前
[00:00:34.600 --> 00:00:37.200]  保羅在第一節說
[00:00:37.200 --> 00:00:38.700]  弟兄們 我還有話說
[00:00:38.700 --> 00:00:40.400]  你們要靠主喜樂
[00:00:40.400 --> 00:00:42.000]  我把者說 再捨給你們
[00:00:42.000 --> 00:00:43.300]  於我並不為難
[00:00:43.300 --> 00:00:45.500]  於你們卻是妥當
[00:00:45.500 --> 00:00:46.400]  保羅在這裡說
[00:00:46.400 --> 00:00:50.800]  我們要靠主有一個喜樂的生命
[00:00:50.800 --> 00:00:53.900]  一個喜樂的生活
[00:00:53.900 --> 00:00:57.700]  保羅在這裡很強調那個靠主耶穌
[00:00:57.700 --> 00:00:59.900]  得到這個喜樂
[00:00:59.900 --> 00:01:05.400]  接著他之後就對當時教會面對一個很嚴重的
[00:01:05.400 --> 00:01:08.000]  可以說生死問題在信仰上
[00:01:08.000 --> 00:01:11.000]  出現了一個很嚴重的異端
[00:01:11.000 --> 00:01:12.500]  就是有一些人
[00:01:12.500 --> 00:01:16.000]  他們說相信耶穌是不足夠的
[00:01:16.000 --> 00:01:19.200]  相信耶穌是要加上遵守律法
[00:01:19.200 --> 00:01:21.600]  才能得到上帝的拯救
[00:01:21.600 --> 00:01:26.600]  所以這些叫猶大教的主義者的問題出來了
[00:01:26.600 --> 00:01:31.100]  保羅就在這裡對這些錯誤的信仰
[00:01:31.100 --> 00:01:35.100]  或者異端提出一個很嚴厲的批判
[00:01:35.100 --> 00:01:37.300]  在第三 第四節說
[00:01:37.300 --> 00:01:41.100]  因為遵守國禮的乃是我們者以神的靈敬拜
[00:01:41.100 --> 00:01:42.800]  在基督耶穌裡誇老
[00:01:42.800 --> 00:01:44.200]  不靠著肉體的
[00:01:44.200 --> 00:01:45.800]  其實我又可以靠肉體
[00:01:45.800 --> 00:01:48.000]  若是別人想他可以靠肉體
[00:01:48.000 --> 00:01:50.200]  我更可以靠著了
[00:01:50.200 --> 00:01:54.300]  在當時教會當中可以說有最少三類人
[00:01:54.300 --> 00:01:59.100]  第一類就是純種純正的猶太人
[00:01:59.100 --> 00:02:03.700]  就是這一班人是沒有他們的祖先
[00:02:03.700 --> 00:02:06.700]  到他們都沒有完全跟外族通婚
[00:02:06.700 --> 00:02:09.500]  另一些就是混血的猶太人
[00:02:09.500 --> 00:02:13.300]  就是有些他們有猶太人的血統
[00:02:13.300 --> 00:02:15.300]  但是他們已經跟外族有些是通婚
[00:02:15.300 --> 00:02:17.500]  所以有一些混血的猶太人
[00:02:17.500 --> 00:02:19.700]  有一些就是外邦人
[00:02:19.700 --> 00:02:24.700]  外邦人他們之前做了一些行動
[00:02:24.700 --> 00:02:28.700]  歸化進入猶太教的一班人
[00:02:28.700 --> 00:02:32.500]  叫歸化猶太教的這一班人
[00:02:32.500 --> 00:02:36.100]  教會有不同種類的人在當中
[00:02:36.100 --> 00:02:38.100]  當然有一些是外邦人
[00:02:38.100 --> 00:02:41.100]  保羅在這裡說
[00:02:41.100 --> 00:02:44.900]  有一些人要防備犬類
[00:02:44.900 --> 00:02:46.300]  犬類就是那些狗
[00:02:46.300 --> 00:02:48.100]  為什麼保羅會這樣說呢
[00:02:48.100 --> 00:02:50.500]  其實有一個很深的意思在裡面
[00:02:50.500 --> 00:02:53.900]  當時猶太人他們怎樣看外邦人呢
[00:02:53.900 --> 00:02:56.500]  就是叫外邦人為犬類
[00:02:56.500 --> 00:02:58.700]  外邦人是狗來的
[00:02:58.700 --> 00:03:00.500]  意思就是其實很不尊重的
[00:03:00.500 --> 00:03:01.700]  對外邦人的這個說法
[00:03:01.700 --> 00:03:03.100]  他們意思就是說
[00:03:03.100 --> 00:03:07.100]  只有我們這一班猶太人才有資格
[00:03:07.100 --> 00:03:08.300]  去跟從上帝
[00:03:08.300 --> 00:03:09.900]  得到上帝給我們的福分
[00:03:09.900 --> 00:03:12.300]  外邦人是沒有這個福分的
[00:03:12.300 --> 00:03:14.100]  他們是狗來的
[00:03:14.100 --> 00:03:16.100]  他們是不聖潔的人
[00:03:16.100 --> 00:03:21.100]  所以他們完全得不到上帝給他們任何的福分
[00:03:21.100 --> 00:03:23.100]  接著保羅就用了這個
[00:03:23.100 --> 00:03:25.100]  他們對外邦人的稱呼
[00:03:25.100 --> 00:03:26.100]  去跟他們說
[00:03:26.100 --> 00:03:31.300]  他說你們以為你們去說那些外邦人
[00:03:31.300 --> 00:03:33.300]  得不到上帝的福分來狗嗎
[00:03:33.300 --> 00:03:35.700]  現在你們說已經相信了耶穌了
