
[00:00:00.000 --> 00:00:07.000]  我們今天來到整個聚會的第八天,第七堂的講道
[00:00:07.000 --> 00:00:09.600]  我們一直思想簡單三部份的訊息
[00:00:09.600 --> 00:00:13.000]  大家記得我們昨天集中講到主禱文的訊息
[00:00:13.000 --> 00:00:16.000]  我們說主禱文是我們基督徒祈禱的典範
[00:00:16.000 --> 00:00:18.600]  亦都是我們人生的方向
[00:00:18.600 --> 00:00:20.000]  主禱文清楚讓我們知道
[00:00:20.000 --> 00:00:24.000]  我們的負是天上滿有能力的負
[00:00:24.000 --> 00:00:28.400]  亦都讓我們知道人生首要關注的是他的名
[00:00:28.400 --> 00:00:31.000]  他的角度和他的旨意
[00:00:31.000 --> 00:00:34.800]  這個必須是我們追求的首要關注
[00:00:34.800 --> 00:00:37.600]  我們有提到在一個大前提之下
[00:00:37.600 --> 00:00:43.200]  我們可以謙卑地尋求主給我們的公認
[00:00:43.200 --> 00:00:45.400]  尋求祂給我們的赦罪
[00:00:45.400 --> 00:00:48.400]  亦尋求祂給我們的保守
[00:00:48.400 --> 00:00:52.000]  在這種情況之下帶著感恩帶著讚美的心
[00:00:52.000 --> 00:00:54.200]  每天都要跟從
[00:00:54.200 --> 00:00:57.800]  這是我們人生的方向,是我們的目標
[00:00:57.800 --> 00:01:02.200]  當然有一個方向的時候必須專注那個目標
[00:01:02.200 --> 00:01:04.800]  才能夠產生一種生命的作用
[00:01:04.800 --> 00:01:07.000]  因此我們今天接著講的
[00:01:07.000 --> 00:01:10.600]  就是剛才所提到的專注與順傳
[00:01:10.600 --> 00:01:14.000]  我以一個題目來總括
[00:01:14.000 --> 00:01:16.800]  就是天國子民的眼光
[00:01:16.800 --> 00:01:21.800]  如何能夠專注保持順傳的心來跟隨
[00:01:21.800 --> 00:01:23.000]  當講到順傳的時候
[00:01:23.000 --> 00:01:27.000]  我想起一個名言的說話
[00:01:27.000 --> 00:01:29.400]  它解釋什麼叫做順傳
[00:01:29.400 --> 00:01:30.400]  英文就是
[00:01:30.400 --> 00:01:34.200]  "Purity is to will one thing"
[00:01:34.200 --> 00:01:35.600]  什麼是順傳呢?
[00:01:35.600 --> 00:01:38.600]  順傳是專注在一件事上面
[00:01:38.600 --> 00:01:42.000]  或者說專注在一個方向上面
[00:01:42.000 --> 00:01:43.600]  沒有其他的旁目
[00:01:43.600 --> 00:01:46.400]  很清楚一個目標
[00:01:46.400 --> 00:01:47.600]  我記得很多年之前
[00:01:47.600 --> 00:01:50.400]  我的女兒出生之前
[00:01:50.400 --> 00:01:53.400]  我就想改什麼名字給她呢?
[00:01:53.400 --> 00:01:57.200]  怎樣的改才能夠真正表示神對她的恩典
[00:01:57.200 --> 00:01:59.400]  我對她的期望呢?
[00:01:59.400 --> 00:02:02.400]  在那段時間剛好我看了一段聖經
[00:02:02.400 --> 00:02:06.400]  這段聖經就在哥倫多侯書
[00:02:06.400 --> 00:02:08.800]  當我去到第五章第九節的時候
[00:02:08.800 --> 00:02:11.600]  我一看我就說就這一節吧
[00:02:11.600 --> 00:02:13.400]  這節聖經就提到說
[00:02:13.400 --> 00:02:17.800]  "所以無論是住在身內,離開身外
[00:02:17.800 --> 00:02:23.000]  我納了志向,要得主的喜悅"
[00:02:23.000 --> 00:02:25.400]  我就想納了志向
[00:02:25.400 --> 00:02:28.000]  一個目標要得主的喜悅
[00:02:28.000 --> 00:02:30.400]  就志悅吧
[00:02:30.400 --> 00:02:33.800]  於是我就改了我女兒的名字叫做蕭志悅
[00:02:33.800 --> 00:02:36.400]  納至一生土神的喜悅
[00:02:36.400 --> 00:02:40.000]  我盼望成為她生命的方向
[00:02:40.000 --> 00:02:42.800]  很多時候我們有不同的人生的方向
[00:02:42.800 --> 00:02:47.400]  但是很重要的就是專注尋求一件事情
[00:02:47.400 --> 00:02:49.400]  這件事情當你集中了之後
[00:02:49.400 --> 00:02:52.000]  意味著你需要很多的拒絕
[00:02:52.000 --> 00:02:54.000]  拒絕很多其他的事情
[00:02:54.000 --> 00:02:57.400]  而作出一些很小心的抉擇
[00:02:57.400 --> 00:02:59.800]  這個人當他有些很好的抉擇的時候
[00:02:59.800 --> 00:03:03.400]  我們說你真的有眼光了,選中了
[00:03:03.400 --> 00:03:05.400]  基督徒也需要一種眼光
[00:03:05.400 --> 00:03:08.000]  這種眼光能夠作出一個聰明的抉擇
[00:03:08.000 --> 00:03:12.400]  是能夠一生不斷去拒絕那些屬世的事物
[00:03:12.400 --> 00:03:17.200]  能夠不斷去選擇專注在屬天的事上
[00:03:17.200 --> 00:03:20.600]  他就有真正的屬靈的眼光
[00:03:20.600 --> 00:03:22.600]  在今天大前提之下
[00:03:22.600 --> 00:03:24.000]  當我們看回登山補訓
