
[00:00:00.000 --> 00:00:02.500]  我們今天崇拜繼續研究
[00:00:02.500 --> 00:00:04.160]  哥倫多後書的系列
[00:00:04.160 --> 00:00:05.240]  我們今天看的聖經
[00:00:05.240 --> 00:00:07.240]  就是剛才我們所讀的那段經文
[00:00:07.240 --> 00:00:11.700]  是哥倫多後書第十二章一至十節
[00:00:11.700 --> 00:00:15.540]  哥倫多後書第十二章一至十節
[00:00:15.540 --> 00:00:17.540]  在大家堂用的聖經
[00:00:17.540 --> 00:00:20.420]  就是新約的二百零三頁
[00:00:20.420 --> 00:00:21.660]  請大家打開
[00:00:21.660 --> 00:00:24.540]  我們看看這段比較特別的聖經
[00:00:24.540 --> 00:00:28.300]  哥倫多後書第十二章一至十節
[00:00:28.300 --> 00:00:29.900]  為什麼我們說是特別的聖經
[00:00:29.900 --> 00:00:32.900]  因為這段聖經你留意讀的時候挺特別
[00:00:32.900 --> 00:00:38.020]  保羅說了他人生兩件的秘聞
[00:00:38.020 --> 00:00:39.220]  為什麼我說是秘聞
[00:00:39.220 --> 00:00:41.100]  因為你看看保羅書信
[00:00:41.100 --> 00:00:43.640]  所有其他地方都沒有再提過
[00:00:43.640 --> 00:00:44.840]  不容易跟別人說的
[00:00:44.840 --> 00:00:46.840]  這兩個也是他人生的經歷
[00:00:46.840 --> 00:00:49.640]  和屬靈經歷裡面很深的經歷
[00:00:49.640 --> 00:00:51.260]  一個是最高峰的
[00:00:51.260 --> 00:00:53.060]  上到三重天
[00:00:53.060 --> 00:00:56.900]  聽到神自己奧秘的言語
[00:00:56.900 --> 00:01:00.900]  神自己直接的啟示是人聽不明白
[00:01:00.900 --> 00:01:02.900]  另外一個是跌到低谷
[00:01:02.900 --> 00:01:06.340]  他有一根刺在他身上
[00:01:06.340 --> 00:01:08.340]  令他很煩惱很痛苦
[00:01:08.340 --> 00:01:10.340]  很想擺脫
[00:01:10.340 --> 00:01:12.340]  如果不是想擺脫的話
[00:01:12.340 --> 00:01:14.340]  他就不會求三次
[00:01:14.340 --> 00:01:16.340]  但神並沒有按照他的祈求
[00:01:16.340 --> 00:01:18.340]  將他的刺拿開
[00:01:18.340 --> 00:01:20.340]  在人的角度來說
[00:01:20.340 --> 00:01:22.340]  可以說是最高的
[00:01:22.340 --> 00:01:23.340]  和最低的
[00:01:23.340 --> 00:01:24.340]  為什麼最高呢
[00:01:24.340 --> 00:01:25.340]  簡單來說
[00:01:25.340 --> 00:01:27.340]  以當時的宗教背景
[00:01:27.340 --> 00:01:29.340]  尤其是我們看哥倫多前流書
[00:01:29.340 --> 00:01:32.340]  哥倫多教會的人的想法
[00:01:32.340 --> 00:01:34.340]  如果像保羅那樣
[00:01:34.340 --> 00:01:39.340]  一個人他能夠有宗教的神秘經驗
[00:01:39.340 --> 00:01:41.340]  可以上到三重天
[00:01:41.340 --> 00:01:44.340]  可以聽到神直接的啟示
[00:01:44.340 --> 00:01:46.340]  即是說有一種神秘的經驗
[00:01:46.340 --> 00:01:48.340]  甚至在身體裡面或身體外面
[00:01:48.340 --> 00:01:49.340]  他都不知道
[00:01:49.340 --> 00:01:51.340]  因為這是不能言傳的
[00:01:51.340 --> 00:01:53.340]  這麼高超的經驗
[00:01:53.340 --> 00:01:55.340]  他不再聽到神直接的啟示
[00:01:55.340 --> 00:01:58.340]  只拿著這兩樣的經驗
[00:01:58.340 --> 00:02:00.340]  在當時的背景來說
[00:02:00.340 --> 00:02:01.340]  我告訴你
[00:02:01.340 --> 00:02:02.340]  他可以創立一個新的宗教
[00:02:02.340 --> 00:02:04.340]  做教主
[00:02:04.340 --> 00:02:05.340]  你明不明
[00:02:05.340 --> 00:02:06.340]  真的
[00:02:06.340 --> 00:02:07.340]  拿著這兩樣東西
