
[00:00:00.000 --> 00:00:05.000]  我不知道你知不知道的情況下
[00:00:05.000 --> 00:00:08.000]  在你知道還是不知道的情況下
[00:00:08.000 --> 00:00:11.000]  其實我們今天在都市的社會裏面
[00:00:11.000 --> 00:00:17.000]  每一個角落被天眼監察系統監視著
[00:00:17.000 --> 00:00:21.000]  在都市的生活裏不同的角落都有天眼監察系統
[00:00:21.000 --> 00:00:22.000]  我們都被監視著
[00:00:22.000 --> 00:00:24.000]  很多錄影在進行著
[00:00:24.000 --> 00:00:27.000]  很多不同的錄像都在進行
[00:00:27.000 --> 00:00:30.000]  在超級市場買東西的時候
[00:00:30.000 --> 00:00:33.000]  那些行為完全是緝錄在裏面
[00:00:33.000 --> 00:00:34.000]  你不能逃脫
[00:00:34.000 --> 00:00:35.000]  如果你犯罪
[00:00:35.000 --> 00:00:40.000]  在超級市場裏的購物行為都被射進這些錄像
[00:00:40.000 --> 00:00:43.000]  你從銀行裏面去兌換銀錢
[00:00:43.000 --> 00:00:45.000]  做交易等等
[00:00:45.000 --> 00:00:47.000]  一切都被錄影
[00:00:47.000 --> 00:00:50.000]  到銀行裏頭各種的交易都被錄下來
[00:00:50.000 --> 00:00:54.000]  在道路上其實很多的天眼監察著
[00:00:54.000 --> 00:00:57.000]  車輛的行走的速度等等
[00:00:57.000 --> 00:00:59.000]  很容易就收到牛肉乾
[00:00:59.000 --> 00:01:01.000]  道路上也有不同的監察系統
[00:01:01.000 --> 00:01:03.000]  看著駕駛者他們的情況
[00:01:03.000 --> 00:01:05.000]  有問題的時候你就會收到告票
[00:01:05.000 --> 00:01:07.000]  在你的大廈所住的地方
[00:01:07.000 --> 00:01:10.000]  你的電梯裏面是在錄影著你的
[00:01:10.000 --> 00:01:14.000]  在你住的大廈的升降機裏頭也被錄像了
[00:01:14.000 --> 00:01:16.000]  其實是為了你的安全
[00:01:16.000 --> 00:01:19.000]  如果有盜賊來爆竊你
[00:01:19.000 --> 00:01:23.000]  他都可以有證據來拘捕那個人
[00:01:23.000 --> 00:01:27.000]  所有盜賊的行為都有證據可以拘捕
[00:01:27.000 --> 00:01:31.000]  但是有些少數的家庭
[00:01:31.000 --> 00:01:35.000]  他們設了一些錄影的秘密
[00:01:35.000 --> 00:01:39.000]  去監察他們的菲傭姐姐和印傭姐姐
[00:01:39.000 --> 00:01:43.000]  有些家庭也秘密地放了一些監控的儀器
[00:01:43.000 --> 00:01:45.000]  去看著他們家的外傭的工作
[00:01:45.000 --> 00:01:47.000]  在他們一日所運作的理由
[00:01:47.000 --> 00:01:49.000]  看得一清二楚
[00:01:49.000 --> 00:01:51.000]  如果對他們的小主人不對
[00:01:51.000 --> 00:01:53.000]  他們就會回來抽證他們
[00:01:53.000 --> 00:01:54.000]  對外傭的一舉一動
[00:01:54.000 --> 00:01:55.000]  看得清清楚楚
[00:01:55.000 --> 00:01:56.000]  做的不好的事情
[00:01:56.000 --> 00:01:57.000]  對小主人不好的
[00:01:57.000 --> 00:02:00.000]  回來就會拿這些證據來告訴他們
[00:02:00.000 --> 00:02:02.000]  但這些是不道德的
[00:02:02.000 --> 00:02:03.000]  但這些都是不道德的
[00:02:03.000 --> 00:02:09.000]  但是我們就已經在所有的錄影之中來生活了
[00:02:09.000 --> 00:02:10.000]  但事情就是這樣
[00:02:10.000 --> 00:02:12.000]  我們活在不同的錄像下
[00:02:12.000 --> 00:02:16.000]  更恐怖的是我們進入中國大陸的時候
[00:02:16.000 --> 00:02:20.000]  很多賓館酒店有偵控機在監察我們
[00:02:20.000 --> 00:02:22.000]  監察我們房間裏面的活動
[00:02:22.000 --> 00:02:23.000]  真是恐怖
[00:02:23.000 --> 00:02:26.000]  可以完全沒有私隱
[00:02:26.000 --> 00:02:29.000]  更恐怖的就是在內地不同的酒店賓館
[00:02:29.000 --> 00:02:31.000]  都有一些真空的攝錄儀器
[00:02:31.000 --> 00:02:32.000]  令人完全沒有隱私
[00:02:32.000 --> 00:02:34.000]  你夫婦裏面做些什麼
[00:02:34.000 --> 00:02:38.000]  可以變成他們出賣色情的黑帶
[00:02:38.000 --> 00:02:39.000]  你知不知道
[00:02:39.000 --> 00:02:41.000]  很恐怖
[00:02:41.000 --> 00:02:43.000]  夫婦的一些隱意行為
[00:02:43.000 --> 00:02:44.000]  都可能被攝錄下來
[00:02:44.000 --> 00:02:46.000]  被賣出去作為錄像
[00:02:46.000 --> 00:02:47.000]  相當恐怖
[00:02:47.000 --> 00:02:49.000]  為什麼會有這種情況呢
[00:02:49.000 --> 00:02:54.000]  我回看我第一講的錄影的時候
[00:02:54.000 --> 00:02:56.000]  我都發覺我做了很多小動作
[00:02:56.000 --> 00:02:57.000]  我摸過鼻子
[00:02:57.000 --> 00:02:59.000]  我撕過這一樣
[00:02:59.000 --> 00:03:02.000]  每一樣東西你都走不掉的
[00:03:02.000 --> 00:03:04.000]  我回看我第一講的錄像的時候
[00:03:04.000 --> 00:03:06.000]  發覺自己有很多的小動作
[00:03:06.000 --> 00:03:08.000]  都一一的放在人前
[00:03:08.000 --> 00:03:10.000]  因為我們拜太空
[00:03:10.000 --> 00:03:12.000]  這個衛星之幫助
[00:03:12.000 --> 00:03:15.000]  全球的系統的設備
[00:03:15.000 --> 00:03:17.000]  而得到今天的這種情況
[00:03:17.000 --> 00:03:19.000]  因為現在有太空衛星的幫助
[00:03:19.000 --> 00:03:21.000]  全球有不同的定位系統
[00:03:21.000 --> 00:03:24.000]  帶來很多的方便
[00:03:24.000 --> 00:03:28.000]  我打開我們的手機裏面
[00:03:28.000 --> 00:03:29.000]  找地圖找到
[00:03:29.000 --> 00:03:30.000]  找教會找到
[00:03:30.000 --> 00:03:31.000]  找餐廳找到
[00:03:31.000 --> 00:03:32.000]  什麼都找到
[00:03:32.000 --> 00:03:34.000]  打開手機找地圖
[00:03:34.000 --> 00:03:36.000]  找教會找十點
[00:03:36.000 --> 00:03:37.000]  全都可以找到
