
[00:00:00.000 --> 00:00:04.000]  當我們講到自己成長的歷程的時候
[00:00:04.000 --> 00:00:07.000]  大家都會體會到每一個人的成長
[00:00:07.000 --> 00:00:09.000]  有不同的處境
[00:00:09.000 --> 00:00:14.000]  有些處境我們在當中得到很大的關懷
[00:00:14.000 --> 00:00:16.000]  幫助和成長
[00:00:16.000 --> 00:00:21.000]  但有些情況可能家庭的處境會讓我們受傷害
[00:00:21.000 --> 00:00:26.000]  甚至這種傷害可以延續到下一代
[00:00:26.000 --> 00:00:30.000]  很多時候面對不同的處境的時候
[00:00:30.000 --> 00:00:33.000]  有些人說好像背著一個很大的包袱
[00:00:33.000 --> 00:00:36.000]  但當基督徒在其中經歷的時候
[00:00:36.000 --> 00:00:40.000]  突然間發覺有一天神釋放了我們
[00:00:40.000 --> 00:00:43.000]  我們的傷口得到醫治
[00:00:43.000 --> 00:00:45.000]  將包袱放下來的時候
[00:00:45.000 --> 00:00:49.000]  打開包袱發現原來裡面有很多禮物
[00:00:49.000 --> 00:00:53.000]  我們可以給那些曾經傷害我們的人
[00:00:53.000 --> 00:01:00.000]  不是報仇而是以恩典來帶給他們
[00:01:00.000 --> 00:01:03.000]  我們看到藥室的經歷就是如此
[00:01:03.000 --> 00:01:05.000]  他雖然經過很多傷害
[00:01:05.000 --> 00:01:08.000]  但神始終讓他得著釋放
[00:01:08.000 --> 00:01:13.000]  而且他成為了傷害他的弟兄的祝福
[00:01:13.000 --> 00:01:16.000]  他將禮物遞在他們的手上
[00:01:16.000 --> 00:01:18.000]  因此我們今天看看
[00:01:18.000 --> 00:01:22.000]  神如何透過藥室的經歷帶給我們免疫和提醒
[00:01:22.000 --> 00:01:25.000]  首先我們思想的是
[00:01:25.000 --> 00:01:28.000]  在其中我們看到有兩個很明顯
[00:01:28.000 --> 00:01:31.000]  人在家庭當中會有的問題
[00:01:31.000 --> 00:01:33.000]  第一就是偏愛
[00:01:33.000 --> 00:01:36.000]  第二就是嫉妒
[00:01:36.000 --> 00:01:39.000]  我們要去逃避這些危險
[00:01:39.000 --> 00:01:42.000]  大家看37章第二節
[00:01:42.000 --> 00:01:47.000]  曾經提到雅各的歷史記在下面
[00:01:47.000 --> 00:01:48.000]  約七十七歲的時候
[00:01:48.000 --> 00:01:50.000]  和他哥哥們一同牧羊
[00:01:50.000 --> 00:01:52.000]  他是個孩童
[00:01:52.000 --> 00:01:58.000]  與他父親的攝碧拉和色柏的眾子上在一處
[00:01:58.000 --> 00:02:02.000]  藥室把他們的惡行報告給父親
[00:02:02.000 --> 00:02:05.000]  曾經提到這位藥室
[00:02:05.000 --> 00:02:09.000]  十七歲和一些同輩的兄弟一起玩
[00:02:09.000 --> 00:02:11.000]  但法國曾經特別強調
[00:02:11.000 --> 00:02:13.000]  是和哪些人玩呢?
[00:02:13.000 --> 00:02:18.000]  是和爸爸攝士的子女
[00:02:18.000 --> 00:02:21.000]  爭了誰?
[00:02:21.000 --> 00:02:24.000]  沒有了尼亞
[00:02:24.000 --> 00:02:28.000]  尼亞和拉傑的關係是怎樣?
[00:02:28.000 --> 00:02:36.000]  尼亞至少會體會到丈夫愛拉傑多於愛自己
[00:02:36.000 --> 00:02:38.000]  所以作為他的子女
[00:02:38.000 --> 00:02:41.000]  可能至少會聽到媽媽說
[00:02:41.000 --> 00:02:45.000]  尼亞搶了我老公
[00:02:45.000 --> 00:02:48.000]  也可能因此這些子女對藥室
[00:02:48.000 --> 00:02:50.000]  就是拉傑的兒子
[00:02:50.000 --> 00:02:53.000]  產生一種仇恨
[00:02:53.000 --> 00:02:57.000]  上一代的問題轉到下一代
[00:02:57.000 --> 00:03:01.000]  因此他們之間的兄弟不會很和氣
[00:03:01.000 --> 00:03:02.000]  不單止這樣
[00:03:02.000 --> 00:03:04.000]  這個爸爸有些不是太懂事
[00:03:04.000 --> 00:03:07.000]  他很明顯是偏愛藥室
[00:03:07.000 --> 00:03:11.000]  大家看看第三節
[00:03:11.000 --> 00:03:13.000]  剛才提到以色列愛藥室
[00:03:13.000 --> 00:03:15.000]  過於愛其他兒子
[00:03:15.000 --> 00:03:18.000]  因為藥室是他年老時生的
[00:03:18.000 --> 00:03:22.000]  他給藥室做一件彩色的長衣
[00:03:22.000 --> 00:03:26.000]  意味著他親手為自己的兒子藥室
[00:03:26.000 --> 00:03:29.000]  做一件彩色長衣
[00:03:29.000 --> 00:03:32.000]  很清楚他愛這個孩子多於其他
[00:03:32.000 --> 00:03:34.000]  而且表露無遺
[00:03:34.000 --> 00:03:36.000]  每個人都知道
[00:03:36.000 --> 00:03:38.000]  因此種下的惡果
[00:03:38.000 --> 00:03:40.000]  就是哥哥很生氣這個弟弟
[00:03:40.000 --> 00:03:42.000]  所以在第四節提到
[00:03:42.000 --> 00:03:45.000]  哥哥們非常生氣
[00:03:45.000 --> 00:03:47.000]  就恨藥室
[00:03:47.000 --> 00:03:50.000]  不能與他和和氣氣地說話
[00:03:50.000 --> 00:03:52.000]  或者我們也要思想
[00:03:52.000 --> 00:03:53.000]  如果我們做父母
[00:03:53.000 --> 00:03:57.000]  我們有沒有對子女有偏心
[00:03:57.000 --> 00:03:59.000]  會不會覺得這個弟弟
[00:03:59.000 --> 00:04:02.000]  這個肚子我比較歡心
[00:04:02.000 --> 00:04:04.000]  因此買禮物回來的時候
[00:04:04.000 --> 00:04:07.000]  大的給他,小的給那個
[00:04:07.000 --> 00:04:09.000]  如果有一些孩子
[00:04:09.000 --> 00:04:12.000]  有些表現不能夠令你開心
[00:04:12.000 --> 00:04:16.000]  或者他有些情況比不上另一個
[00:04:16.000 --> 00:04:21.000]  你反而要更加向他清楚表示你愛他
[00:04:21.000 --> 00:04:25.000]  否則他一定會以為你是偏心
[00:04:25.000 --> 00:04:27.000]  或者我們真的有偏心的時候
[00:04:27.000 --> 00:04:29.000]  就求神幫助我們
[00:04:29.000 --> 00:04:31.000]  能夠懂得去愛
[00:04:31.000 --> 00:04:33.000]  帶著無條件的愛
[00:04:33.000 --> 00:04:35.000]  學習神對我們的愛
[00:04:35.000 --> 00:04:37.000]  來愛我們的家人
[00:04:37.000 --> 00:04:39.000]  我記得在很多年前
[00:04:39.000 --> 00:04:43.000]  當我兩個弟弟都幾歲大的時候
[00:04:43.000 --> 00:04:45.000]  我兒子有一次問太太
[00:04:45.000 --> 00:04:47.000]  問媽媽
[00:04:47.000 --> 00:04:51.000]  媽媽,全家你最愛誰?
[00:04:51.000 --> 00:04:54.000]  你怎麼回答?
[00:04:54.000 --> 00:04:57.000]  太太當時就回答
[00:04:57.000 --> 00:05:01.000]  全家我最愛的就是爸爸
[00:05:01.000 --> 00:05:05.000]  男孩當中最愛的是你
[00:05:05.000 --> 00:05:12.000]  女孩當中最愛的是妹妹
[00:05:12.000 --> 00:05:16.000]  兒子聽見很滿意
