
[00:00:00.000 --> 00:00:04.320]  有powerpoint的,我們一起去看看
[00:00:04.320 --> 00:00:07.120]  大家都知道我喜歡跑步
[00:00:07.120 --> 00:00:10.480]  跑步有很多目的
[00:00:10.480 --> 00:00:12.480]  有些是爭取好的成績
[00:00:12.480 --> 00:00:15.200]  或者跑自己最佳個人時間
[00:00:15.200 --> 00:00:20.080]  有些是享受過程
[00:00:20.080 --> 00:00:24.560]  有些是打扮,穿著不同的服飾
[00:00:24.560 --> 00:00:26.560]  不過有這兩張相片
[00:00:26.560 --> 00:00:30.560]  近來在不同的地方有兩個爸爸
[00:00:30.560 --> 00:00:35.040]  推著小朋友跑馬拉松
[00:00:35.040 --> 00:00:37.040]  推著車跑馬拉松
[00:00:37.040 --> 00:00:44.640]  左邊的是47歲的浙江爸爸
[00:00:44.640 --> 00:00:50.240]  推著的兒子是老譚
[00:00:50.240 --> 00:00:55.040]  右邊的兒子也是老報的麻痺
[00:00:55.040 --> 00:00:57.040]  活動能力有限
[00:00:57.040 --> 00:01:02.480]  居然推泳椅可以三小時之內推完
[00:01:02.480 --> 00:01:05.440]  也是一個很傑出的運動員
[00:01:05.440 --> 00:01:09.920]  在想他們推泳椅的時候
[00:01:09.920 --> 00:01:13.600]  爸爸的心是愉快的
[00:01:13.600 --> 00:01:18.080]  因為他知道能夠和兒子一起完成這個賽事
[00:01:18.080 --> 00:01:22.240]  兒子能夠完成賽事只有一個因素
[00:01:22.240 --> 00:01:24.240]  就是有爸爸推動
[00:01:24.240 --> 00:01:29.040]  兒子根本沒有能力去完成賽事
[00:01:29.040 --> 00:01:32.560]  不過有爸爸的幫助一起完成賽事
[00:01:32.560 --> 00:01:38.960]  我相信這是猜拳宣教的一個很重要的精髓
[00:01:38.960 --> 00:01:43.440]  是天父拖帶著我們的手推著我們一起
[00:01:43.440 --> 00:01:48.320]  去完成神的心意去實踐大使命
[00:01:48.320 --> 00:01:50.320]  我們一個人做不到的
[00:01:50.320 --> 00:01:52.320]  一間教會做不到的
[00:01:52.320 --> 00:01:57.280]  不過有神 有天父拖著我們推著我們的時候
[00:01:57.280 --> 00:01:59.280]  我們就能夠去完成
[00:01:59.280 --> 00:02:01.280]  怎樣去完成呢?
[00:02:01.280 --> 00:02:06.160]  今天這段經文馬學福音第十六章也是幫助我們思想的
[00:02:06.160 --> 00:02:08.160]  這段經文
[00:02:08.160 --> 00:02:14.080]  很多的譯本
[00:02:14.080 --> 00:02:16.080]  如果打開聖經
[00:02:16.080 --> 00:02:18.080]  會說到第十六章第九到二十節
[00:02:18.080 --> 00:02:20.080]  也是剛才Jonathan讀的經文
[00:02:20.080 --> 00:02:24.880]  原本很多抄本是沒有這段經文的
[00:02:24.880 --> 00:02:26.880]  沒有這段經文
[00:02:26.880 --> 00:02:31.760]  應該說馬學福音第十六章停在第八節
[00:02:31.760 --> 00:02:33.760]  第八節說什麼呢?
[00:02:33.760 --> 00:02:35.760]  他們(婦女)就出來
[00:02:35.760 --> 00:02:37.760]  從墳墓那裡逃跑
