
[00:00:00.000 --> 00:00:03.800]  (字幕:我是在看影片的,請勿模仿)
[00:00:03.800 --> 00:00:09.400]  我們先看看這條是甚麼問題
[00:00:09.400 --> 00:00:11.560]  這條問題是
[00:00:11.560 --> 00:00:16.440]  教會可否讓微信者參與侍奉?
[00:00:16.440 --> 00:00:20.320]  準則又應如何去定?
[00:00:20.320 --> 00:00:22.840]  這個問題其實也複雜的
[00:00:22.840 --> 00:00:26.600]  因為首先侍奉有不同的層次
[00:00:26.600 --> 00:00:28.840]  例如舉個例子來說
[00:00:28.840 --> 00:00:30.280]  教會崇拜
[00:00:30.280 --> 00:00:32.480]  我們很多所謂二樓教會
[00:00:32.480 --> 00:00:35.240]  或多用途室來崇拜
[00:00:35.240 --> 00:00:38.000]  崇拜完之後會收燈
[00:00:38.000 --> 00:00:41.000]  如果有非基督徒幫忙收燈
[00:00:41.000 --> 00:00:43.680]  這是否一種侍奉呢?
[00:00:43.680 --> 00:00:45.680]  如果從這個角度來看
[00:00:45.680 --> 00:00:49.040]  如果看這些都是一種侍奉
[00:00:49.040 --> 00:00:51.480]  我覺得沒所謂
[00:00:51.480 --> 00:00:53.640]  非基督徒幫忙
[00:00:53.640 --> 00:00:55.720]  你可以說有另一個極端
[00:00:55.720 --> 00:00:59.040]  就是在講台當主席
[00:00:59.040 --> 00:01:03.040]  如果是說這一種侍奉
[00:01:03.040 --> 00:01:08.080]  我認為應該都是弟兄姊妹去做
[00:01:08.080 --> 00:01:09.720]  不只是弟兄姊妹
[00:01:09.720 --> 00:01:11.800]  你可以想像如果有個基督徒
[00:01:11.800 --> 00:01:14.160]  第一次走進你的教會
[00:01:14.160 --> 00:01:18.480]  你也不會叫他下星期去當主席
[00:01:18.480 --> 00:01:23.080]  侍奉有不同種類
[00:01:23.080 --> 00:01:24.600]  有些是很隨意的
[00:01:24.600 --> 00:01:28.080]  有些是很代表性的
[00:01:28.080 --> 00:01:30.720]  某程度上代表教會有一個
[00:01:30.720 --> 00:01:32.640]  在教會有某種身份
[00:01:32.640 --> 00:01:34.920]  你才會做這種侍奉
[00:01:34.920 --> 00:01:36.960]  所以有時可不可以侍奉
[00:01:36.960 --> 00:01:41.960]  又要看你講的是哪一種侍奉
[00:01:41.960 --> 00:01:43.560]  其次另一方面
[00:01:43.560 --> 00:01:46.400]  其實從神學的角度來看
[00:01:46.400 --> 00:01:50.280]  到底我們應該怎樣看侍奉呢?
[00:01:50.280 --> 00:01:53.280]  其實都有不同的看法
[00:01:53.280 --> 00:01:55.080]  簡單來說
[00:01:55.080 --> 00:01:56.760]  所謂有些比較高層教會
[00:01:56.760 --> 00:01:58.280]  或者比較低層教會
[00:01:58.280 --> 00:02:00.440]  高層教會的意思是
[00:02:00.440 --> 00:02:04.440]  會看教會在弟兄姊妹的侍奉
[00:02:04.440 --> 00:02:09.200]  是有點像舊約祭司那種侍奉
[00:02:09.200 --> 00:02:11.720]  即是我們的侍奉
[00:02:11.720 --> 00:02:15.560]  都是呈獻給上主的一種祭物
[00:02:15.560 --> 00:02:19.640]  我們今天不會燒一隻牛給耶穌
[00:02:19.640 --> 00:02:21.640]  但舉個例子
[00:02:21.640 --> 00:02:23.960]  你在講壇讀經才算
[00:02:23.960 --> 00:02:24.880]  負責讀經
[00:02:24.880 --> 00:02:27.600]  就會視讀經的侍奉
[00:02:27.600 --> 00:02:29.480]  是好像一個祭
[00:02:29.480 --> 00:02:31.240]  輕香的祭獻給上主
[00:02:31.240 --> 00:02:35.000]  如果教會有這一類的神學觀
[00:02:35.000 --> 00:02:37.800]  我想會比較多的侍奉
[00:02:37.800 --> 00:02:41.480]  都覺得不適合非信徒參與
[00:02:41.480 --> 00:02:43.880]  因為如果不是上主的指紋
[00:02:43.880 --> 00:02:45.760]  怎樣獻祭給上主
[00:02:45.760 --> 00:02:48.040]  上主不會立這些祭
[00:02:48.040 --> 00:02:50.280]  但另一方面有些教會
[00:02:50.280 --> 00:02:51.720]  我儘管叫它Low Church
[00:02:51.720 --> 00:02:53.120]  Low Church的意思是
[00:02:53.120 --> 00:02:55.520]  它看教會的組織
[00:02:55.520 --> 00:02:59.400]  就比較從一個所謂團體的角度
[00:02:59.400 --> 00:03:01.840]  就不像舊約祭司那樣
[00:03:01.840 --> 00:03:03.800]  教會就是一個association
[00:03:03.800 --> 00:03:05.240]  一班人組在一起
[00:03:05.240 --> 00:03:07.280]  當然包括敬拜神
[00:03:07.280 --> 00:03:09.800]  但當中很多的活動
[00:03:09.800 --> 00:03:13.840]  就當是人與人交往的一部份
[00:03:13.840 --> 00:03:16.360]  所以如果你是這樣看侍奉
[00:03:16.360 --> 00:03:18.800]  例如舉個例子,一個美信徒
[00:03:18.800 --> 00:03:22.320]  你請他進來的時候幫忙派傳單
[00:03:22.320 --> 00:03:26.280]  在這些教會就不會了解
[00:03:26.280 --> 00:03:30.320]  是一種獻給神的侍奉
[00:03:30.320 --> 00:03:34.040]  而是說這是教會的一個
[00:03:34.040 --> 00:03:37.840]  人與人相處互相幫忙的一種活動
[00:03:37.840 --> 00:03:40.200]  如果你這樣看侍奉的話
[00:03:40.200 --> 00:03:42.880]  非信徒幫忙派一下程序
[00:03:42.880 --> 00:03:43.880]  或者舉個例子
[00:03:43.880 --> 00:03:45.520]  你出街派傳單
[00:03:45.520 --> 00:03:49.200]  有個非信徒也很想幫忙派傳單
[00:03:49.200 --> 00:03:52.240]  我覺得這些都是沒有問題的
[00:03:52.240 --> 00:03:55.680]  所以簡單而言
[00:03:55.680 --> 00:03:57.480]  剛才說了
[00:03:57.480 --> 00:03:58.480]  例如搬椅子
[00:03:58.480 --> 00:04:00.440]  我想差不多十間、九間教會
[00:04:00.440 --> 00:04:03.560]  都覺得非信徒可以幫幫忙
[00:04:03.560 --> 00:04:05.080]  你說上港台做主席
[00:04:05.080 --> 00:04:07.280]  我想十間教會十間都覺得
[00:04:07.280 --> 00:04:09.800]  非信徒不要上台做主席了
[00:04:09.800 --> 00:04:13.760]  但中間所謂的spectrum這條線
[00:04:13.760 --> 00:04:15.880]  去到哪裡是一個cut off
[00:04:15.880 --> 00:04:17.440]  就是這些事情
[00:04:17.440 --> 00:04:19.000]  這裡已過的
[00:04:19.000 --> 00:04:20.880]  非信徒就不要做了
[00:04:20.880 --> 00:04:23.840]  我想不同教會有不同的取向
