
[00:00:00.000 --> 00:00:04.600]  領姐妹,我們今天一起來思想約書亞記
[00:00:04.600 --> 00:00:10.240]  剛才多謝牧師幫我們讀了兩段約書亞記的經文
[00:00:10.240 --> 00:00:16.720]  也會在稍後特別專心研究兩段經文
[00:00:16.720 --> 00:00:21.440]  我今天的題目是面對人生的戰場
[00:00:21.440 --> 00:00:25.720]  人生總有大大小小的戰爭
[00:00:25.720 --> 00:00:29.680]  這些戰爭有時不一定是見血見肉
[00:00:29.680 --> 00:00:31.680]  這麼慘烈
[00:00:31.680 --> 00:00:38.000]  但是你和我人生無論如何都會碰見不同的挑戰
[00:00:38.000 --> 00:00:40.000]  不同的戰場
[00:00:40.000 --> 00:00:46.800]  好像今天我們大家一起在香港和全球的人類
[00:00:46.800 --> 00:00:48.800]  都是面對同一個戰場
[00:00:48.800 --> 00:00:51.920]  就是一個我們看都看不到的病毒
[00:00:51.920 --> 00:00:56.880]  很小,但是我們全人類都被它挑戰
[00:00:56.880 --> 00:01:02.160]  這是一個戰場,當然大家和我都很明白和體會
[00:01:02.160 --> 00:01:04.880]  但我相信在你的人生和我的人生裡
[00:01:04.880 --> 00:01:07.680]  在過去的日子都有不同的戰場
[00:01:07.680 --> 00:01:08.960]  不同的戰爭
[00:01:08.960 --> 00:01:11.200]  有時這些戰爭是來自外面的人
[00:01:11.200 --> 00:01:14.640]  人家的罪,有時是間接出了人家的罪
[00:01:14.640 --> 00:01:18.640]  有時是我們的際遇,有時是我們自己的身體
[00:01:18.640 --> 00:01:20.640]  有時是我們的家庭裡
[00:01:20.640 --> 00:01:23.120]  有時是我認識的人際的關係裡
[00:01:23.120 --> 00:01:24.560]  在我們事業裡
[00:01:24.560 --> 00:01:27.520]  我相信我這樣說的時候你會有共鳴感
[00:01:27.520 --> 00:01:29.520]  今天我們就看打仗
[00:01:29.520 --> 00:01:30.960]  看戰爭
[00:01:30.960 --> 00:01:37.520]  我們今天就集中看約書亞紀的戰爭
[00:01:37.520 --> 00:01:44.240]  以色列人在約書亞紀裡記載了很多次他們的戰爭
[00:01:44.240 --> 00:01:53.360]  大家應該都記得約書亞紀就是以色列人經過了漫長的抗野的漂流
[00:01:53.360 --> 00:01:59.120]  終於進入了神所應許的應許之地
[00:01:59.120 --> 00:02:06.240]  相反當年神應許給他們祖宗阿伯拉罕
[00:02:06.240 --> 00:02:10.400]  說這個地方是被他們應許給他們的地方
[00:02:10.400 --> 00:02:12.400]  已經是七百年
[00:02:12.400 --> 00:02:19.200]  七百年的時間今天終於來到這個應許之地
[00:02:19.200 --> 00:02:22.480]  經過了無數的歷史的困難
[00:02:22.480 --> 00:02:27.360]  以色列人嚴格來說真正打仗
[00:02:27.360 --> 00:02:34.080]  攻防戰可以說是去到加南地就是約書亞紀才會有
[00:02:34.080 --> 00:02:37.520]  之前在抗野當然有零零星星的戰爭
[00:02:37.520 --> 00:02:41.040]  多些是外族對他們的入侵
[00:02:41.040 --> 00:02:47.280]  但以色列人真正組織整個軍隊去打仗的是約書亞紀
