
[00:00:00.000 --> 00:00:03.040]  當我們說自己是福音派的基督徒的時候
[00:00:03.040 --> 00:00:05.780]  究竟福音派是代表什麼呢?
[00:00:05.780 --> 00:00:08.580]  是否代表我們信仰很保守?
[00:00:08.580 --> 00:00:12.640]  還是可能代表某一種政治立場等等呢?
[00:00:12.640 --> 00:00:14.420]  大家好,我是Daniel
[00:00:14.420 --> 00:00:17.180]  今天想和大家介紹John Stott
[00:00:17.180 --> 00:00:20.780]  斯托德牧師所寫的《認識福音派信仰》
[00:00:20.780 --> 00:00:22.780]  Evangelical Faith
[00:00:22.780 --> 00:00:24.780]  說起斯托德牧師
[00:00:24.780 --> 00:00:27.580]  相信很多弟兄姊妹都聽過他的名字
[00:00:27.580 --> 00:00:31.780]  他是20世紀全球非常著名的福音派領袖
[00:00:31.780 --> 00:00:34.180]  他有份起草落喪信約
[00:00:34.180 --> 00:00:36.180]  他寫這本書的時候
[00:00:36.180 --> 00:00:39.180]  其實已經服侍了主超過60年了
[00:00:39.180 --> 00:00:44.680]  當時他看到雖然全世界信主的人越來越多
[00:00:44.680 --> 00:00:47.680]  但是教會內部卻是越來越分裂
[00:00:47.680 --> 00:00:50.380]  分裂了很多不同的山頭出來
[00:00:50.380 --> 00:00:52.380]  而在教會外面
[00:00:52.380 --> 00:00:54.380]  社會又對福音派
[00:00:54.380 --> 00:00:56.380]  好像有很多誤解一樣
[00:00:56.380 --> 00:00:59.380]  所以斯托德牧師在晚年的時候
[00:00:59.380 --> 00:01:01.380]  很想提醒我們一件事
[00:01:01.380 --> 00:01:04.880]  究竟我們所信的是一個怎樣的福音呢?
[00:01:04.880 --> 00:01:07.880]  所謂的福音派究竟是一個什麼意思呢?
[00:01:07.880 --> 00:01:11.380]  在這本書裡面斯托德牧師很強調
[00:01:11.380 --> 00:01:14.880]  福音派信仰其實不是什麼新的發明
[00:01:14.880 --> 00:01:17.880]  也不是什麼極端的基要主義
[00:01:17.880 --> 00:01:19.880]  斯托德牧師說
[00:01:19.880 --> 00:01:21.880]  福音派信仰其實是
[00:01:21.880 --> 00:01:25.880]  原始的、是使徒的、是新約的基督教
[00:01:25.880 --> 00:01:28.880]  他說要認識福音派信仰
[00:01:28.880 --> 00:01:32.880]  其實最核心是要認識我們所相信的三一上帝
[00:01:32.880 --> 00:01:36.380]  而這份福音
[00:01:36.380 --> 00:01:38.380]  他也稱之為一個三一的福音
[00:01:38.380 --> 00:01:42.380]  他用了兩個很特別的希臘文去描述
[00:01:42.380 --> 00:01:44.380]  甚至去總結這份信仰
[00:01:44.380 --> 00:01:47.880]  第一個希臘文叫做Hapax
[00:01:47.880 --> 00:01:52.380]  意思就是一次過完全完成了的意思
[00:01:52.380 --> 00:01:54.380]  第二個希臘文叫做Malon
[00:01:54.380 --> 00:01:56.880]  意思就是越來越多、不斷進心
[00:01:56.880 --> 00:01:57.880]  什麼意思呢?
[00:01:57.880 --> 00:01:59.880]  就是斯托德牧師說
[00:01:59.880 --> 00:02:02.880]  我們的上帝天父既然在聖經裡面
[00:02:02.880 --> 00:02:07.880]  啟示透過耶穌基督的十字架的救贖
[00:02:07.880 --> 00:02:10.880]  這個其實是Hapax來的
[00:02:10.880 --> 00:02:13.880]  是一次過完成了的事情
[00:02:13.880 --> 00:02:16.880]  上帝不需要再啟示另一本聖經給我們
[00:02:16.880 --> 00:02:20.880]  耶穌也不需要再在十字架裡面被釘死一次
[00:02:20.880 --> 00:02:24.880]  所以我們要對這個真理是絕對去持守住
[00:02:24.880 --> 00:02:29.880]  但是聖靈卻在我們生命裡面工作
[00:02:29.880 --> 00:02:32.880]  所以就好像Malon那樣
[00:02:32.880 --> 00:02:34.880]  是越來越多的
[00:02:34.880 --> 00:02:36.880]  我們需要被聖靈光照
[00:02:36.880 --> 00:02:39.880]  令到我們對聖經的認識越來越深
[00:02:39.880 --> 00:02:41.880]  我們需要被聖靈去充滿
[00:02:41.880 --> 00:02:45.880]  令到我們的生命結出越來越多的果子
[00:02:45.880 --> 00:02:48.880]  這個就是福音信息最核心的信仰
[00:02:48.880 --> 00:02:52.880]  基於這個三一的福音
[00:02:52.880 --> 00:02:57.880]  斯託德穆斯就認為有三個很重要的重點
[00:02:57.880 --> 00:03:01.880]  第一就是他講到我們對聖經的態度
[00:03:01.880 --> 00:03:05.880]  既要敬畏也要用我們的頭腦
[00:03:05.880 --> 00:03:07.880]  斯託德穆斯就指出
[00:03:07.880 --> 00:03:09.880]  聖經是上帝的話語
[00:03:09.880 --> 00:03:14.880]  但是同時也是透過人手所寫下來的
[00:03:14.880 --> 00:03:23.880]  所以他很強調聖經裡面所說的一個雙重作者
[00:03:23.880 --> 00:03:25.880]  是一個雙重的作者
[00:03:25.880 --> 00:03:29.880]  他說我們很多時候會走到兩個極端
[00:03:29.880 --> 00:03:34.880]  一面就是完全盲目地自勉解精
[00:03:34.880 --> 00:03:35.880]  不再用腦
[00:03:35.880 --> 00:03:40.880]  另一方面就當聖經是一個很普通的歷史書
[00:03:40.880 --> 00:03:42.880]  隨便去批評
[00:03:42.880 --> 00:03:44.880]  斯託德穆斯提醒我們
[00:03:44.880 --> 00:03:47.880]  因為聖經既是上帝的話語
[00:03:47.880 --> 00:03:51.880]  也是人手所寫下來的
[00:03:51.880 --> 00:03:55.880]  所以當我們打開聖經的時候
[00:03:55.880 --> 00:03:56.880]  我們的心態應該是
[00:03:56.880 --> 00:04:00.880]  第一我們要謙卑地尋求聖靈的指引
[00:04:00.880 --> 00:04:03.880]  但同時因為它是經過聖經
[00:04:03.880 --> 00:04:07.880]  是經過人類的歷史和文化所寫成
[00:04:07.880 --> 00:04:10.880]  我們都要好好運用上帝給我們的理智
[00:04:10.880 --> 00:04:12.880]  認真去研讀
[00:04:12.880 --> 00:04:14.880]  去思考聖經
[00:04:14.880 --> 00:04:18.880]  第二,約翰·斯託德說到我們對十字架的態度
[00:04:18.880 --> 00:04:23.880]  他說十字架其實不是純粹用來得救那麼簡單
[00:04:23.880 --> 00:04:26.880]  十字架是影響我們的生活
[00:04:26.880 --> 00:04:31.880]  約翰·斯託德提到保羅在迦拉太書六章十四節說到
[00:04:31.880 --> 00:04:34.880]  我斷不以別的誇口
[00:04:34.880 --> 00:04:38.880]  只誇我主耶穌基督的十字架
[00:04:38.880 --> 00:04:44.880]  他說很多時候我們覺得十字架只是一個初信栽培班的內容
[00:04:44.880 --> 00:04:47.880]  似乎信了耶穌就可以畢業
[00:04:47.880 --> 00:04:49.880]  斯託德牧師說不是
[00:04:49.880 --> 00:04:55.880]  斯託德牧師說十字架是我們被神接納的唯一原因
[00:04:55.880 --> 00:04:59.880]  也是我們每天作門徒的指標
[00:04:59.880 --> 00:05:02.880]  所以在今天這個鼓吹自我中心
[00:05:02.880 --> 00:05:05.880]  鼓吹成功神學的社會裏
[00:05:05.880 --> 00:05:07.880]  十字架是呼召我們去寫記
[00:05:07.880 --> 00:05:13.880]  將我們的肉體和我們的邪情私慾和耶穌一起釘在十字架上
[00:05:13.880 --> 00:05:17.880]  這個就是斯託德牧師所說的生活方式
[00:05:17.880 --> 00:05:23.880]  第三斯託德牧師說到我們對教會合一應有的態度
[00:05:23.880 --> 00:05:28.880]  他說我們要在基要真理上合一
[00:05:28.880 --> 00:05:33.880]  但在次要的問題上我們卻要包容
[00:05:33.880 --> 00:05:35.880]  斯託德牧師很心痛
[00:05:35.880 --> 00:05:40.880]  教會之間經常因為一些無關核心信仰的問題而分裂
[00:05:40.880 --> 00:05:43.880]  他引用一句很出名的名言
[00:05:43.880 --> 00:05:46.880]  他說我們要在基要真理上合一
[00:05:46.880 --> 00:05:49.880]  在非基要的真理上自由
[00:05:49.880 --> 00:05:52.880]  在所有的事上要有愛心
[00:05:52.880 --> 00:05:59.880]  所以如果我們是為了教會的洗禮究竟要灑水還是要傳浸
[00:05:59.880 --> 00:06:05.880]  敬拜究竟要唱傳統的聖詩還是唱現代的敬拜讚美
[00:06:05.880 --> 00:06:11.880]  為了教會某些行政體系而吵得面紅耳赤的話
[00:06:11.880 --> 00:06:14.880]  斯託德牧師認為這樣其實是破壞了福音的見證
[00:06:14.880 --> 00:06:18.880]  他認為只要我們大家都是堅守聖經的權位
[00:06:18.880 --> 00:06:21.880]  我們都堅守基督十字架的舊恩
[00:06:21.880 --> 00:06:26.880]  其實其他的事我們可以是彼此包容彼此相愛
[00:06:26.880 --> 00:06:30.880]  最後斯託德牧師講到真正的福音派信仰
[00:06:30.880 --> 00:06:35.880]  是絕對不應該令人越來越驕傲自以為是
[00:06:35.880 --> 00:06:39.880]  當我們越認識上帝的啟示
[00:06:39.880 --> 00:06:42.880]  越認識十字架的恩典的時候
[00:06:42.880 --> 00:06:45.880]  當我們越經歷聖靈的大能
[00:06:45.880 --> 00:06:49.880]  我們其實越會發現自己是何等軟弱
[00:06:49.880 --> 00:06:51.880]  何等需要上帝的一個
