
[00:00:00.000 --> 00:00:03.000]  在催令會的十天之中
[00:00:03.000 --> 00:00:05.000]  所以催令會的十天之中
[00:00:05.000 --> 00:00:07.700]  有九天是風風雨雨
[00:00:07.700 --> 00:00:09.700]  九天雖然風風雨雨
[00:00:09.700 --> 00:00:14.400]  但是各位弟兄姊妹仍然來赴會
[00:00:14.400 --> 00:00:16.900]  各位弟兄姊妹仍然來赴會
[00:00:16.900 --> 00:00:20.900]  更加顯出各位愛主的心
[00:00:20.900 --> 00:00:23.400]  更加顯出各位愛主的心
[00:00:23.400 --> 00:00:25.600]  和愛母主話的心
[00:00:25.600 --> 00:00:27.600]  還有愛母主話的心
[00:00:27.600 --> 00:00:30.100]  有人為天氣打造
[00:00:30.100 --> 00:00:31.600]  有人為天氣祈禱
[00:00:31.600 --> 00:00:33.100]  這兩種的打造
[00:00:33.100 --> 00:00:34.600]  有兩種祈禱的方式
[00:00:34.600 --> 00:00:35.600]  第一種
[00:00:35.600 --> 00:00:39.600]  第一 求主讓雨不要下
[00:00:39.600 --> 00:00:41.600]  求主讓雨不要下來
[00:00:41.600 --> 00:00:44.600]  第二種的打造
[00:00:44.600 --> 00:00:46.100]  第二種的祈禱方式
[00:00:46.100 --> 00:00:49.600]  祂說求祢讓祢的旨意成就
[00:00:49.600 --> 00:00:51.600]  祂說求祢讓祢的旨意成就
[00:00:51.600 --> 00:00:53.600]  如果是祢的旨意
[00:00:53.600 --> 00:00:54.600]  祂說要雨停止
[00:00:54.600 --> 00:00:55.600]  如果是祢的旨意
[00:00:55.600 --> 00:00:57.100]  祂說要雨停止
[00:00:57.100 --> 00:00:59.600]  如果是祢的旨意要下雨
[00:00:59.600 --> 00:01:01.600]  如果是祢的旨意要下雨
[00:01:01.600 --> 00:01:03.600]  祂說祢是我們勝過雨
[00:01:03.600 --> 00:01:05.600]  祂說祢是我們勝過雨
[00:01:05.600 --> 00:01:07.600]  這是第二種的打造
[00:01:07.600 --> 00:01:09.600]  是更成熟的打造
[00:01:09.600 --> 00:01:12.600]  第二種的祈禱是更成熟的祈禱
[00:01:12.600 --> 00:01:13.600]  感謝主
[00:01:13.600 --> 00:01:16.600]  感謝主在任何的環境裏面
[00:01:16.600 --> 00:01:18.600]  在任何的環境裏面
[00:01:18.600 --> 00:01:21.600]  是給我們祂的多生的力量
[00:01:21.600 --> 00:01:23.600]  是給我們一種特性的力量
[00:01:23.600 --> 00:01:25.600]  跟這個祈禱會有一個特點
[00:01:25.600 --> 00:01:27.600]  跟這個祈禱會有一個特點
[00:01:27.600 --> 00:01:29.600]  就是沒有任何的節目
[00:01:29.600 --> 00:01:31.600]  就是沒有任何的節目
[00:01:31.600 --> 00:01:33.100]  只有一個節目
[00:01:33.100 --> 00:01:34.100]  只有一個節目
[00:01:34.100 --> 00:01:35.600]  就是聽神的話
[00:01:35.600 --> 00:01:37.600]  就是聽神的話
[00:01:37.600 --> 00:01:40.100]  對三世道父面前的人
[00:01:40.100 --> 00:01:42.100]  對法律、對主面前的人
[00:01:42.100 --> 00:01:46.100]  都是單純的為了聽的話而來
[00:01:46.100 --> 00:01:48.600]  不是單純因為聽了話而來
[00:01:48.600 --> 00:01:51.100]  這是我們感謝主的
[00:01:51.100 --> 00:01:53.100]  這是我們要感謝主的
[00:01:53.100 --> 00:01:57.600]  這就是講究的每一節教會裏面
[00:01:57.600 --> 00:02:00.600]  都有主的話的能力的企業
[00:02:00.600 --> 00:02:02.600]  主要是講教會
[00:02:02.600 --> 00:02:06.600]  每一間教會都有主的話語的能力吸引
[00:02:06.600 --> 00:02:08.100]  今天晚上
[00:02:08.100 --> 00:02:12.600]  今晚我們要看第十三座和第十四座山
[00:02:12.600 --> 00:02:16.600]  我們要看第十三座和十四座的山
[00:02:16.600 --> 00:02:19.600]  第十三座的山是甘南山
[00:02:19.600 --> 00:02:21.600]  第十三座的山是江南山
[00:02:21.600 --> 00:02:25.100]  請大家看馬達福音二十四章
[00:02:25.100 --> 00:02:28.100]  請大家翻到馬達福音二十四章
[00:02:28.100 --> 00:02:30.100]  第三節
[00:02:30.100 --> 00:02:34.100]  馬達福音二十四章第三節
[00:02:34.100 --> 00:02:37.100]  耶穌在江南山上坐著
[00:02:37.100 --> 00:02:39.100]  門徒萬萬的來說
[00:02:39.100 --> 00:02:42.100]  請告訴我們基督
[00:02:42.100 --> 00:02:44.100]  什麼時候有這些事
[00:02:44.100 --> 00:02:49.100]  你江南和世界的幕僚有什麼意義呢
[00:02:49.100 --> 00:02:54.100]  主耶穌在江南山上
[00:02:54.100 --> 00:02:59.100]  門徒和祂在一起
[00:02:59.100 --> 00:03:04.100]  門徒向主問兩個問題
[00:03:04.100 --> 00:03:06.100]  第一
[00:03:06.100 --> 00:03:08.100]  就是第一節所說的
[00:03:08.100 --> 00:03:10.100]  第二節所說的
[00:03:10.100 --> 00:03:12.100]  第二節所講的
[00:03:12.100 --> 00:03:14.100]  這裡說
[00:03:14.100 --> 00:03:18.100]  耶穌對他們說你們不是看見石碑與墓
[00:03:18.100 --> 00:03:22.100]  我特在告訴你們將來在這裡會有一塊石頭
[00:03:22.100 --> 00:03:26.100]  留在石頭上不被拆毀了
[00:03:26.100 --> 00:03:29.100]  門徒的第一個問題是關於這件事
[00:03:29.100 --> 00:03:32.100]  門徒第一個問題關於這件事
[00:03:32.100 --> 00:03:35.100]  就是聖殿被撤回的事
[00:03:35.100 --> 00:03:37.100]  就說聖殿被拆毀的事
