
[00:00:00.000 --> 00:00:04.000]  大家翻開剛才讀的彼得前書第一章
[00:00:04.000 --> 00:00:06.000]  我們一起思想
[00:00:06.000 --> 00:00:09.000]  我們如何因為耶穌基督得以重生
[00:00:09.000 --> 00:00:12.000]  當我們說到我們這次是第一個祝日的時候
[00:00:12.000 --> 00:00:13.000]  大家或許會想起
[00:00:13.000 --> 00:00:15.000]  在前幾天之前
[00:00:15.000 --> 00:00:17.000]  在新一年開始
[00:00:17.000 --> 00:00:19.000]  報紙有很多不同的報道
[00:00:19.000 --> 00:00:21.000]  很多地方的慶祝
[00:00:21.000 --> 00:00:22.000]  但是每年都會報道
[00:00:22.000 --> 00:00:26.000]  哪一個是新生的嬰孩
[00:00:26.000 --> 00:00:28.000]  很多家庭都希望自己的嬰孩
[00:00:28.000 --> 00:00:31.000]  是新一年當中第一個的嬰孩
[00:00:31.000 --> 00:00:33.000]  報紙有報道一位太太
[00:00:33.000 --> 00:00:36.000]  她在產房當中
[00:00:36.000 --> 00:00:38.000]  疼痛了二十個小時
[00:00:38.000 --> 00:00:41.000]  有一點點等待的成份
[00:00:41.000 --> 00:00:45.000]  等到剛剛開始新年的時候
[00:00:45.000 --> 00:00:47.000]  就讓嬰孩出生
[00:00:47.000 --> 00:00:49.000]  我記得報紙訪問她的時候
[00:00:49.000 --> 00:00:51.000]  你辛苦嗎?
[00:00:51.000 --> 00:00:53.000]  她一看到嬰孩
[00:00:53.000 --> 00:00:55.000]  什麼辛苦都忘記了
[00:00:55.000 --> 00:00:57.000]  之前很多的痛楚
[00:00:57.000 --> 00:00:58.000]  很多的憂慮
[00:00:58.000 --> 00:01:00.000]  一掃而光
[00:01:00.000 --> 00:01:02.000]  完全不再記得那些痛楚
[00:01:02.000 --> 00:01:04.000]  因為看到新生命
[00:01:04.000 --> 00:01:06.000]  我想回想很多時候
[00:01:06.000 --> 00:01:09.000]  當我們人生到某個階段的時候
[00:01:09.000 --> 00:01:11.000]  當我們經歷神的恩惠
[00:01:11.000 --> 00:01:15.000]  就會忘記了以前的很多苦痛
[00:01:15.000 --> 00:01:17.000]  先說到當主耶穌再回來的時候
[00:01:17.000 --> 00:01:19.000]  我們會提到空中
[00:01:19.000 --> 00:01:22.000]  在雲中與主相遇
[00:01:22.000 --> 00:01:23.000]  在那個時候
