
[00:00:00.000 --> 00:00:08.000]  (主席)各位聽眾朋友平安
[00:00:08.000 --> 00:00:12.000]  (主席)今個星期的周刊
[00:00:12.000 --> 00:00:14.000]  周牧師寫了一篇文章
[00:00:14.000 --> 00:00:18.000]  提到回家真是好
[00:00:18.000 --> 00:00:21.000]  神賜給我們有自己的家庭
[00:00:21.000 --> 00:00:23.000]  也賜給我們有屬靈的家
[00:00:23.000 --> 00:00:26.000]  在你身邊的是很多的家人
[00:00:26.000 --> 00:00:29.000]  所以今天仍然是年初五
[00:00:29.000 --> 00:00:33.000]  所以不如你和祂再一次祝賀祂
[00:00:33.000 --> 00:00:35.000]  感謝神可以一齊敬拜神
[00:00:35.000 --> 00:00:37.000]  大家給一次祝賀
[00:00:37.000 --> 00:00:50.000]  祝福大家新年蒙印
[00:00:50.000 --> 00:00:56.000]  也祝福大家在家庭和教會的生活裏
[00:00:56.000 --> 00:00:57.000]  我們見到的人
[00:00:57.000 --> 00:00:59.000]  我們今天會繼續思想聖經
[00:00:59.000 --> 00:01:01.000]  《創世紀》十二章的經文
[00:01:01.000 --> 00:01:04.000]  我們一起和心先祈禱
[00:01:04.000 --> 00:01:13.000]  我們的主,我們的神
[00:01:13.000 --> 00:01:15.000]  我們感謝祢
[00:01:15.000 --> 00:01:17.000]  因為祢賜下生命
[00:01:17.000 --> 00:01:21.000]  又賜下弟兄姊妹在我們身邊
[00:01:21.000 --> 00:01:25.000]  在我們人生的路上成為我們的支持
[00:01:25.000 --> 00:01:27.000]  我們的鼓勵
[00:01:27.000 --> 00:01:29.000]  我們的同行者
[00:01:29.000 --> 00:01:31.000]  主我們今天在祢面前
[00:01:31.000 --> 00:01:33.000]  為祢賜給我們屬靈的家
[00:01:33.000 --> 00:01:36.000]  我們衷心的感謝
[00:01:36.000 --> 00:01:38.000]  我們也在祢面前仰望祢
[00:01:38.000 --> 00:01:39.000]  保守我們
[00:01:39.000 --> 00:01:42.000]  都能夠成為我們家人的祝福
[00:01:42.000 --> 00:01:44.000]  讓我們知道去愛
[00:01:44.000 --> 00:01:45.000]  去輔助
[00:01:45.000 --> 00:01:47.000]  去虧欠
[00:01:47.000 --> 00:01:48.000]  去幫助
[00:01:48.000 --> 00:01:51.000]  讓我們在彼此幫助的過程裏
[00:01:51.000 --> 00:01:53.000]  我們一同成長
