
[00:00:00.000 --> 00:00:05.800]  那么今天我们就看第一方面
[00:00:05.800 --> 00:00:11.800]  从识图形状看圣灵的引导
[00:00:11.800 --> 00:00:16.800]  这是着重认识圣灵的引导
[00:00:16.800 --> 00:00:21.800]  明天我们要看如何的追求
[00:00:21.800 --> 00:00:26.800]  我们和圣灵一致合而为一
[00:00:26.800 --> 00:00:31.800]  能够按照圣灵的引导去行事为人
[00:00:31.800 --> 00:00:34.800]  去侍奉去见证
[00:00:34.800 --> 00:00:37.800]  这是着重接受方面
[00:00:37.800 --> 00:00:40.800]  所以今天我们着重认识方面
[00:00:40.800 --> 00:00:44.800]  明天我们着重接受方面
[00:00:44.800 --> 00:00:47.800]  接受是根据认识
[00:00:47.800 --> 00:00:53.800]  我们前面如何和过去圣灵的作为有密切的关系
[00:00:53.800 --> 00:00:58.800]  所以识图形状帮助我们认识圣灵
[00:00:58.800 --> 00:01:05.800]  如何的当时引导侍奉神的人和一般的弟兄姊妹
[00:01:05.800 --> 00:01:12.800]  我们也可以根据过去圣灵的作为来等候他
[00:01:12.800 --> 00:01:18.800]  期待他今天照样的按照这些基本的原则
[00:01:18.800 --> 00:01:22.800]  要点来引导我们每一个人
[00:01:22.800 --> 00:01:26.800]  我首先要提出来
[00:01:26.800 --> 00:01:32.800]  圣灵的引导常常是超出我们的意料之外的
[00:01:32.800 --> 00:01:40.800]  我们不要限制圣灵引导各方面的可能性
[00:01:40.800 --> 00:01:46.800]  我们要用信心来接受圣灵的引导
[00:01:46.800 --> 00:01:49.800]  第二我要指出来
[00:01:49.800 --> 00:01:54.800]  圣灵的引导证明了旧约的一句话
[00:01:54.800 --> 00:01:57.800]  以色列书第55章
[00:01:57.800 --> 00:02:00.800]  神的道路高过我们的道路
[00:02:00.800 --> 00:02:03.800]  神的意念高过我们的意念
[00:02:03.800 --> 00:02:06.800]  我们不能够用自己的意念和道路
[00:02:06.800 --> 00:02:15.800]  来限制圣灵引导的方式和可能性
[00:02:15.800 --> 00:02:22.800]  要把我们的观念扩大来接纳圣灵的引导
[00:02:22.800 --> 00:02:28.800]  我先举一个事实的例子
[00:02:28.800 --> 00:02:36.800]  然后我再举出来圣经里面几个圣灵出人意外引导的例子
[00:02:36.800 --> 00:02:39.800]  我先提一个教科历史里面的例子
[00:02:39.800 --> 00:02:46.800]  有一次斯布真牧师是英国的大用的一位仆人
[00:02:46.800 --> 00:02:48.800]  斯伯珍
[00:02:48.800 --> 00:02:56.800]  他要在伦敦的一个大的会场叫Crystal Palace开布道会
[00:02:56.800 --> 00:02:59.800]  在举行大会之前
[00:02:59.800 --> 00:03:04.800]  头一天他先到会场看看会场的情况
[00:03:04.800 --> 00:03:07.800]  那么当他站在讲台上的时候
[00:03:07.800 --> 00:03:10.800]  忽然他内心有一个感动
