
[00:00:00.000 --> 00:00:11.000]  我相信我們中間每一位基督徒都曾經有過失敗的軟弱的經歷
[00:00:11.000 --> 00:00:17.000]  如果你沒有,我相信沒有人相信
[00:00:17.000 --> 00:00:25.000]  感謝神,祂有豐富的恩典
[00:00:27.000 --> 00:00:32.000]  祂伸出祂的恩典,有能力的手扶持我們
[00:00:32.000 --> 00:00:36.000]  跌下去的人,祂扶起來
[00:00:36.000 --> 00:00:38.000]  灰心的人,祂鼓勵
[00:00:38.000 --> 00:00:41.000]  軟弱的人,祂加力量
[00:00:41.000 --> 00:00:48.000]  我們常常地記得那一隻釘死架的手
[00:00:48.000 --> 00:00:54.000]  是恩典的手,是慈愛的手,能力的手
[00:00:55.000 --> 00:01:00.000]  拖帶著我們,保守著我們,引導著我們
[00:01:00.000 --> 00:01:03.000]  我們永不孤單
[00:01:03.000 --> 00:01:10.000]  如果我們過去有過失敗,我們認罪,悔改,當天妃
[00:01:10.000 --> 00:01:15.000]  同時我們不讓過去的失敗的因應
[00:01:15.000 --> 00:01:21.000]  影響我們今天跟通主的心智
[00:01:22.000 --> 00:01:27.000]  我們的主是赦免的主,滿有恩典憐憫
[00:01:27.000 --> 00:01:36.000]  當我們認罪,悔改,憂傷痛悔在祂面前,在祂腳前的時候
[00:01:36.000 --> 00:01:40.000]  祂的豐富的恩典立刻更新
[00:01:40.000 --> 00:01:44.000]  再一次地臨到我們身上
[00:01:44.000 --> 00:01:49.000]  使我們能夠忘記過去,努力面前
[00:01:49.000 --> 00:01:55.000]  我們能夠繼續地跟通主的腳步快跑
[00:01:55.000 --> 00:02:03.000]  我相信一個沒有跌倒過的人,不會急速同情跌倒的人
[00:02:03.000 --> 00:02:10.000]  他會批評,他會定罪,他會驕傲,他會自以為是
[00:02:10.000 --> 00:02:14.000]  跟著怕跌倒就會來呀
[00:02:14.000 --> 00:02:15.000]  沒有試過跌倒
[00:02:15.000 --> 00:02:20.000]  如果你不謙卑,你前面可能跌倒
[00:02:20.000 --> 00:02:25.000]  當撒旦是一個人驕傲,直視依靠自己的時候
[00:02:25.000 --> 00:02:31.000]  撒旦放心了,這個人離開跌倒不遠了
[00:02:31.000 --> 00:02:36.000]  當彼得自發以後,跟著就跌倒了
[00:02:36.000 --> 00:02:41.000]  三次不認主,跌得很慘很慘
[00:02:41.000 --> 00:02:45.000]  所以我們想到榮耀的勝利的時候
[00:02:45.000 --> 00:02:49.000]  我們靠著主再接再厲
[00:02:49.000 --> 00:02:57.000]  榮耀的勝是奇妙的勝,也是出人意外的勝
[00:02:57.000 --> 00:03:00.000]  神的道路高過我們的道路
[00:03:00.000 --> 00:03:04.000]  神的意念高過我們的意念
[00:03:04.000 --> 00:03:08.000]  我們不斷地矚目向主
[00:03:08.000 --> 00:03:11.000]  我們望著主
