
[00:00:00.000 --> 00:00:02.000]  我給了一個很特別的名字
[00:00:02.000 --> 00:00:03.000]  今晚的講題
[00:00:03.000 --> 00:00:05.000]  叫做「自愛卻逍遙」
[00:00:05.000 --> 00:00:08.000]  我想了很久用什麼名字
[00:00:08.000 --> 00:00:12.000]  希望這個名字不像一些流行曲
[00:00:12.000 --> 00:00:16.000]  而是我覺得是一個理想
[00:00:16.000 --> 00:00:18.000]  一個理想就是
[00:00:18.000 --> 00:00:21.000]  我們能夠很熱情地去愛
[00:00:21.000 --> 00:00:23.000]  去分享生命
[00:00:23.000 --> 00:00:25.000]  和家人也好
[00:00:25.000 --> 00:00:28.000]  和你的伴侶也好
[00:00:28.000 --> 00:00:30.000]  和你的死黨朋友也好
[00:00:30.000 --> 00:00:33.000]  和你教會裏面的弟兄姊妹也好
[00:00:33.000 --> 00:00:35.000]  我們能夠熱情地盡情地
[00:00:35.000 --> 00:00:38.000]  去將我們的生命去愛
[00:00:38.000 --> 00:00:40.000]  去分享
[00:00:40.000 --> 00:00:43.000]  但同時我們不會失去我們自我
[00:00:43.000 --> 00:00:46.000]  我們又能夠自由
[00:00:46.000 --> 00:00:49.000]  所以我今晚和大家思想的就是
[00:00:49.000 --> 00:00:51.000]  這個獨處和團契
[00:00:51.000 --> 00:00:54.000]  或者我們建立一個關係的
[00:00:54.000 --> 00:00:56.000]  心理治療作用
[00:00:56.000 --> 00:00:58.000]  我們知道獨處
[00:00:58.000 --> 00:00:59.000]  solitude
[00:00:59.000 --> 00:01:00.000]  和團契
[00:01:00.000 --> 00:01:03.000]  communion
[00:01:03.000 --> 00:01:04.000]  fellowship
[00:01:04.000 --> 00:01:06.000]  是一個比較近代的字眼
[00:01:06.000 --> 00:01:07.000]  也挺好的
[00:01:07.000 --> 00:01:08.000]  fellow
[00:01:08.000 --> 00:01:09.000]  即是老友記
[00:01:09.000 --> 00:01:10.000]  fellowship
[00:01:10.000 --> 00:01:12.000]  但是我不太喜歡聽
[00:01:12.000 --> 00:01:15.000]  這個名稱比較膚淺
[00:01:15.000 --> 00:01:16.000]  communion
[00:01:16.000 --> 00:01:18.000]  即是兩個生命結合為一
[00:01:18.000 --> 00:01:20.000]  我們和神也可以有communion
[00:01:20.000 --> 00:01:22.000]  我們和人有communion
[00:01:22.000 --> 00:01:24.000]  這兩樣東西
[00:01:24.000 --> 00:01:26.000]  我想大家都應該知道
[00:01:26.000 --> 00:01:28.000]  在基督教屬靈的傳統裏面
[00:01:28.000 --> 00:01:33.000]  是一個很重要的屬靈的標誌
[00:01:33.000 --> 00:01:35.000]  在二千年來基督教的傳統裏面
[00:01:35.000 --> 00:01:36.000]  屬靈操練
[00:01:36.000 --> 00:01:38.000]  當然有很多時刻
[00:01:38.000 --> 00:01:41.000]  它是要求受操練的人
[00:01:41.000 --> 00:01:43.000]  靈情要突破的人
[00:01:43.000 --> 00:01:45.000]  他有一個長時間的安靜
[00:01:45.000 --> 00:01:47.000]  獨處的時間
[00:01:47.000 --> 00:01:49.000]  同時我們也知道
[00:01:49.000 --> 00:01:51.000]  基督教的信仰是一個愛的信仰
[00:01:51.000 --> 00:01:53.000]  是一個團契的信仰
[00:01:53.000 --> 00:01:55.000]  是一個群體的信仰
[00:01:55.000 --> 00:01:59.000]  所以在教會的生活裏面
[00:01:59.000 --> 00:02:01.000]  在他和人的關係裏面
[00:02:01.000 --> 00:02:02.000]  在愛裏面
[00:02:02.000 --> 00:02:04.000]  它又是一個很重要的
[00:02:04.000 --> 00:02:07.000]  另外一個屬靈的質素
[00:02:07.000 --> 00:02:10.000]  我相信很多的書
[00:02:10.000 --> 00:02:12.000]  很多的作品
[00:02:12.000 --> 00:02:13.000]  已經告訴我們
[00:02:13.000 --> 00:02:17.000]  獨處和團契兩方面
[00:02:17.000 --> 00:02:18.000]  屬靈的意思
[00:02:18.000 --> 00:02:20.000]  聖經的基礎
[00:02:20.000 --> 00:02:24.000]  和甚至是靈修的意義在哪裏
[00:02:24.000 --> 00:02:27.000]  但是我覺得不是很多書
[00:02:27.000 --> 00:02:30.000]  是直接的
[00:02:30.000 --> 00:02:33.000]  從一個心理治療的角度
