
[00:00:00.000 --> 00:00:03.000]  大家再翻開聖經的《約翰福音》第八章
[00:00:03.000 --> 00:00:08.000]  我們今天思想從三十一節開始的經文
[00:00:08.000 --> 00:00:09.800]  我們提及到神的話
[00:00:09.800 --> 00:00:15.500]  和非道德化的社會之間的一些關係
[00:00:15.500 --> 00:00:17.000]  我先分享幾句
[00:00:17.000 --> 00:00:20.200]  就是大家都會留意到香港的社會
[00:00:20.200 --> 00:00:25.000]  是越來越趨向一種所謂非道德化的情況
[00:00:25.000 --> 00:00:29.700]  很多人都不想有什麼道德的規範
[00:00:29.700 --> 00:00:36.000]  認為道德的規範會限制了人的自由發展
[00:00:36.000 --> 00:00:41.000]  認為這些規範會窒息了人的創意
[00:00:41.000 --> 00:00:45.800]  又或者說會壓抑了人很多個人的需要
[00:00:45.800 --> 00:00:49.800]  所以很多人都不喜歡有什麼道德的規範
[00:00:49.800 --> 00:00:53.000]  因此很多時候你會察覺到這個社會
[00:00:53.000 --> 00:00:56.700]  過去講及很多重要的道德觀念
[00:00:56.700 --> 00:00:59.500]  譬如說一些人倫的觀念
[00:00:59.500 --> 00:01:02.800]  譬如說尊重生命
[00:01:02.800 --> 00:01:05.200]  譬如說要有忠誠
[00:01:05.200 --> 00:01:09.000]  要對人有一種的誠信等等
[00:01:09.000 --> 00:01:11.800]  又或者會講到很多良性之間
[00:01:11.800 --> 00:01:15.600]  或者夫妻之間的相處的關係等等
[00:01:15.600 --> 00:01:19.100]  這些事情過去很清楚有一個道德的觀念
[00:01:19.100 --> 00:01:21.500]  但是這個世界慢慢的發展
[00:01:21.500 --> 00:01:25.200]  這些觀念越來越淡化了
[00:01:25.200 --> 00:01:26.800]  對於什麼是道德的事情
[00:01:26.800 --> 00:01:28.300]  什麼不是道德的事情
[00:01:28.300 --> 00:01:30.500]  這些都開始模糊了
[00:01:30.500 --> 00:01:32.500]  那個界線開始模糊
[00:01:32.500 --> 00:01:34.800]  整個趨勢有一種情況就是
[00:01:34.800 --> 00:01:39.500]  很想在一切的生活行為上非道德化
[00:01:39.500 --> 00:01:43.600]  不要有道德的觀念或者規範
[00:01:43.600 --> 00:01:45.500]  因此你會聽到一些在
[00:01:45.500 --> 00:01:48.800]  無論香港或者中國內地一些的大學
[00:01:48.800 --> 00:01:52.000]  開始傳一個觀念就是
[00:01:52.000 --> 00:01:55.900]  如果是婚前懷孕
