
[00:00:00.000 --> 00:00:02.640]  我們今天思想的題目是
[00:00:02.640 --> 00:00:06.000]  「負羔羊婚宴的有福了」
[00:00:06.000 --> 00:00:10.000]  凡是信靠耶穌的人領受神給我們的救恩
[00:00:10.000 --> 00:00:14.640]  因此能夠被神邀請去到永恆的國度
[00:00:14.640 --> 00:00:18.560]  亦都是參赴這個羔羊的婚宴
[00:00:18.560 --> 00:00:21.760]  當然大家在社會上生活的時候
[00:00:21.760 --> 00:00:25.360]  很多時候都會見到很多社會上很多黑暗的事情
[00:00:25.360 --> 00:00:26.960]  一些邪惡的事情
[00:00:26.960 --> 00:00:29.600]  有時候會讓我們心裏面很不開心
[00:00:29.600 --> 00:00:35.360]  我最近看到一些報道是關於在印度的初忌的情況
[00:00:35.360 --> 00:00:37.760]  當我看到的時候心裏面很難受
[00:00:37.760 --> 00:00:41.920]  一些小女孩在一個村莊當中被拐賣
[00:00:41.920 --> 00:00:43.760]  去到另一邊的村莊
[00:00:43.760 --> 00:00:46.000]  完全沒有人認識
[00:00:46.000 --> 00:00:48.560]  但是被放到一些忌寨當中
[00:00:48.560 --> 00:00:51.760]  就是每一天被強迫去接客
[00:00:51.760 --> 00:00:55.760]  而且在當中他們完全沒有盼望
[00:00:55.760 --> 00:00:57.760]  不知道將來日子會怎樣
[00:00:57.760 --> 00:01:00.960]  只是每天成為人賺錢的工具
[00:01:00.960 --> 00:01:03.520]  或者是蝕慾的工具
[00:01:03.520 --> 00:01:06.000]  一邊看這些事情的時候感覺到
[00:01:06.000 --> 00:01:09.920]  其實不單單是一些惡人在當中做這些惡事
[00:01:09.920 --> 00:01:14.240]  很感受到背後有很強的邪惡的勢力
[00:01:14.240 --> 00:01:16.480]  在當中操控這些一切
[00:01:16.480 --> 00:01:19.760]  而且已經講到這個世界裏面的惡勢力
[00:01:19.760 --> 00:01:25.280]  是天空屬靈氣的惡魔在當中操控這些一切的事情
[00:01:25.280 --> 00:01:27.680]  其實不單單在印度
[00:01:27.680 --> 00:01:29.920]  大家都會留心到香港最近提及
[00:01:29.920 --> 00:01:32.960]  很多青少年是濫毒的情況
[00:01:32.960 --> 00:01:37.280]  很多報道講到學生在學校接觸到毒品
[00:01:37.280 --> 00:01:39.600]  但很多熟悉的人都會講
[00:01:39.600 --> 00:01:41.440]  其實這些只不過是冰山一角
[00:01:41.440 --> 00:01:44.160]  是有很嚴重的問題在背後
[00:01:44.160 --> 00:01:47.440]  現在學生去吸食的小孩
[00:01:47.440 --> 00:01:49.680]  不是一個兩個躲起來吸食
[00:01:49.680 --> 00:01:53.280]  是五六個一起圍起來很開心地一起吸食
[00:01:53.280 --> 00:01:56.160]  吸食的時候騙大家
[00:01:56.160 --> 00:01:57.840]  沒事的我們是年輕人
[00:01:57.840 --> 00:01:59.360]  將來沒事的
[00:01:59.360 --> 00:02:01.600]  不斷挑戰同學
[00:02:01.600 --> 00:02:03.280]  夠膽的才會吸食
[00:02:03.280 --> 00:02:04.720]  不夠膽的怎會吸食
[00:02:04.720 --> 00:02:07.280]  因此有些學生說我都夠膽
[00:02:07.280 --> 00:02:08.400]  所以就會吸食
[00:02:08.400 --> 00:02:10.400]  但他們不知道
[00:02:10.400 --> 00:02:11.760]  很快就經驗到
[00:02:11.760 --> 00:02:14.240]  他們發覺吸食之後
[00:02:14.240 --> 00:02:16.320]  口齒不清
[00:02:16.320 --> 00:02:18.240]  思想混亂
[00:02:18.240 --> 00:02:19.760]  醫生講到
[00:02:19.760 --> 00:02:26.560]  很多人因受到一些長久的心靈身體傷害
[00:02:26.560 --> 00:02:30.320]  這是很值得我們常常留心的事情
[00:02:30.320 --> 00:02:33.200]  各位聽眾在面對這些惡勢力的時候
[00:02:33.200 --> 00:02:35.680]  我們心裡雖然有一種難受
[00:02:35.680 --> 00:02:37.200]  但同時我們很清楚知道
[00:02:37.200 --> 00:02:38.640]  聖經告訴我們
[00:02:38.640 --> 00:02:42.080]  耶穌基督有一天要再回來
[00:02:42.080 --> 00:02:47.040]  祂要消滅一切邪惡的勢力
[00:02:47.040 --> 00:02:48.640]  在其中我們會見到
[00:02:48.640 --> 00:02:50.240]  這位上帝
[00:02:50.240 --> 00:02:53.360]  祂讓我們知道將來的盼望
[00:02:53.360 --> 00:02:55.040]  耶穌基督再回來的時候
[00:02:55.040 --> 00:02:57.680]  終局是確定了的
[00:02:57.680 --> 00:03:02.080]  就是祂要懲罰一切作惡
[00:03:02.080 --> 00:03:04.880]  這正是你和我今天的盼望
[00:03:04.880 --> 00:03:06.080]  我們帶著這樣的盼望
[00:03:06.080 --> 00:03:08.320]  一起思想今天啟示錄的經文
[00:03:08.320 --> 00:03:10.560]  在剛才大家看的十九章
[00:03:10.560 --> 00:03:14.720]  在之前的第十七十八章
[00:03:14.720 --> 00:03:17.840]  在十七章就提到有大淫婦
[00:03:17.840 --> 00:03:19.840]  她沉淪了
[00:03:19.840 --> 00:03:21.520]  這個淫婦是誰呢?
[00:03:21.520 --> 00:03:25.520]  在十七章第十八節
[00:03:25.520 --> 00:03:26.800]  聖經說
[00:03:26.800 --> 00:03:29.200]  「你所看見的那女人
[00:03:29.200 --> 00:03:33.600]  就是管轄地上縱橫的大城」
[00:03:33.600 --> 00:03:35.520]  這個大城是什麼城市呢?
[00:03:35.520 --> 00:03:36.960]  在第十八章說
[00:03:36.960 --> 00:03:39.120]  就是大巴比倫城
[00:03:39.120 --> 00:03:42.160]  這個大巴比倫城是什麼呢?
[00:03:42.160 --> 00:03:45.920]  當然未必一定是一座固定的城
[00:03:45.920 --> 00:03:50.800]  這座巴比倫城正代表著撒旦區的權勢
[00:03:50.800 --> 00:03:54.880]  代表著撒旦區整個角度的體系
[00:03:54.880 --> 00:03:56.720]  或者不一定是一座城
[00:03:56.720 --> 00:03:59.040]  而且在全世界不同的歷史
[00:03:59.040 --> 00:04:01.200]  不同的城市當中
[00:04:01.200 --> 00:04:04.400]  都彰顯出它的權勢
[00:04:04.400 --> 00:04:05.280]  聖經提及
[00:04:05.280 --> 00:04:08.400]  這座大巴比倫城要傾覆了
[00:04:08.400 --> 00:04:12.320]  聖經說到十八章第二節
[00:04:12.320 --> 00:04:14.160]  「使者大聲喊」說
[00:04:14.160 --> 00:04:17.760]  巴比倫的大城傾覆了
[00:04:17.760 --> 00:04:19.440]  兩字重覆地說
[00:04:19.440 --> 00:04:23.440]  是在表示一個完全徹底的傾覆
[00:04:23.440 --> 00:04:25.200]  這一座邪惡的大城
[00:04:25.200 --> 00:04:27.120]  這個邪惡的角度
[00:04:27.120 --> 00:04:29.520]  被神傾覆了
[00:04:29.520 --> 00:04:32.960]  然後聖經在啟示錄二十一、二十二
[00:04:32.960 --> 00:04:34.880]  最後兩章
[00:04:34.880 --> 00:04:37.280]  就提及到有另一座城
[00:04:37.280 --> 00:04:41.280]  這座城就是神的聖城
[00:04:41.280 --> 00:04:43.360]  是新耶路撒冷
[00:04:43.360 --> 00:04:46.880]  是傳到永遠光明的聖城
[00:04:46.880 --> 00:04:50.640]  而提及到這兩座聖城的情況
[00:04:50.640 --> 00:04:53.360]  而在中間的第十九章
[00:04:53.360 --> 00:04:55.840]  就提及到我們今天所說的
[00:04:55.840 --> 00:04:58.880]  這個羔羊的婚宴
[00:04:58.880 --> 00:05:04.160]  大家一起看十九章的第五節
[00:05:04.160 --> 00:05:05.920]  十九章第五節
[00:05:05.920 --> 00:05:08.800]  「有聲音從寶座出來說
[00:05:08.800 --> 00:05:10.800]  神的重覆人那
[00:05:10.800 --> 00:05:12.000]  凡敬畏他的
[00:05:12.000 --> 00:05:13.200]  無論大小
[00:05:13.200 --> 00:05:16.160]  都要讚美我們的神
[00:05:16.160 --> 00:05:17.760]  使者從寶座當中
[00:05:17.760 --> 00:05:19.840]  發出一個宣召」
[00:05:19.840 --> 00:05:21.280]  好像我們剛才主席
[00:05:21.280 --> 00:05:24.080]  發出崇拜的宣召一樣
