
[00:00:00.000 --> 00:00:01.840]  大家知道接下來的季度
[00:00:01.840 --> 00:00:04.160]  教會有一個崇拜的新主題
[00:00:04.160 --> 00:00:09.200]  我們一起思想基督徒的信心生活及侍奉
[00:00:09.200 --> 00:00:13.680]  基督徒的生活必然是一個信心的生活
[00:00:13.680 --> 00:00:17.600]  因為我們所信的是一位永恆的上帝
[00:00:17.600 --> 00:00:22.160]  我們所信的上帝不是眼能夠見到的
[00:00:22.160 --> 00:00:23.120]  因此聖經說到
[00:00:23.120 --> 00:00:28.080]  我們所顧念的不是那些能見到的事情
[00:00:28.080 --> 00:00:30.880]  是那些見不到的事情
[00:00:30.880 --> 00:00:34.160]  見不到的事情是永遠的
[00:00:34.160 --> 00:00:37.280]  見到的事情是短暫的
[00:00:37.280 --> 00:00:39.280]  所以聖經就常常提醒我們
[00:00:39.280 --> 00:00:45.440]  我們行事為人要憑著信心
[00:00:45.440 --> 00:00:48.880]  不是憑著眼見
[00:00:48.880 --> 00:00:50.720]  既然憑著信心生活
[00:00:50.720 --> 00:00:51.920]  我們就需要知道
[00:00:51.920 --> 00:00:55.280]  基督徒每一天的很多抉擇
[00:00:55.280 --> 00:00:56.880]  很多判斷
[00:00:56.880 --> 00:01:00.960]  如何按照對神的信心行出來
[00:01:00.960 --> 00:01:03.200]  所以這段日子我請弟兄姊妹
[00:01:03.200 --> 00:01:06.160]  你也常常為自己的信心祈禱
[00:01:06.160 --> 00:01:08.160]  確實是堅固你的信心
[00:01:08.160 --> 00:01:11.120]  以至你在世上生活的時候
[00:01:11.120 --> 00:01:14.800]  真的能夠憑信不憑眼見
[00:01:14.800 --> 00:01:15.920]  我們今天思想的
[00:01:15.920 --> 00:01:19.760]  在聖經裡面有不同的社會地位的人物
[00:01:19.760 --> 00:01:21.200]  他們如何在信心當中
[00:01:21.200 --> 00:01:24.000]  都經歷神的恩惠及能力
[00:01:24.000 --> 00:01:27.840]  我們一起看回聖經《馬太》第八章的經文
[00:01:27.840 --> 00:01:37.360]  在第八章的第五節
[00:01:37.360 --> 00:01:41.360]  耶穌到了加伯隆
[00:01:41.360 --> 00:01:43.680]  有一個伯夫長前來懇求他
[00:01:43.680 --> 00:01:44.640]  說主啊
[00:01:44.640 --> 00:01:46.560]  我的僕人癱瘓了
