
[00:00:00.000 --> 00:00:02.000]  我們今天繼續來到聖經的
[00:00:02.000 --> 00:00:05.040]  《貼索律例》前書第四章的經文
[00:00:05.040 --> 00:00:08.400]  史上其中頭的八節
[00:00:08.400 --> 00:00:11.760]  我們提及神給我們的祝福
[00:00:11.760 --> 00:00:14.240]  是帶著愛給我們的祝福
[00:00:14.240 --> 00:00:17.800]  就是「遠避淫行」
[00:00:17.800 --> 00:00:20.800]  聖經有很多次地方是上上提及
[00:00:20.800 --> 00:00:23.840]  在這個世界裏面有各種的情慾
[00:00:23.840 --> 00:00:25.720]  和淫亂的事情
[00:00:25.720 --> 00:00:28.240]  而聖經勉勵我們要留心
[00:00:28.240 --> 00:00:30.480]  要遠避淫行
[00:00:30.480 --> 00:00:35.040]  得著神給我們誠信的聖潔的生活
[00:00:35.040 --> 00:00:36.760]  我想起這個題目的時候就想起
[00:00:36.760 --> 00:00:37.800]  在好幾年之前
[00:00:37.800 --> 00:00:40.000]  我曾經有機會去到荷蘭
[00:00:40.000 --> 00:00:42.960]  參加一個國際性的會議
[00:00:42.960 --> 00:00:47.080]  在當中和當地一些華人的目者來聊天
[00:00:47.080 --> 00:00:49.960]  他們就分享荷蘭是早期
[00:00:49.960 --> 00:00:55.760]  其中一個通過了同性婚姻合法化的國家
[00:00:55.760 --> 00:00:59.600]  在國家裏面有很多很多的情慾的事情
[00:00:59.600 --> 00:01:02.840]  而他就提及到當時在教會裏面
[00:01:02.840 --> 00:01:04.280]  很大的挑戰就是
[00:01:04.280 --> 00:01:06.640]  不知如何和弟兄姊妹講及到
[00:01:06.640 --> 00:01:08.320]  貞潔的問題
[00:01:08.320 --> 00:01:10.440]  對於一些青少年弟兄姊妹
[00:01:10.440 --> 00:01:13.800]  甚至有些時候有些不敢
[00:01:13.800 --> 00:01:15.720]  不知如何和他們講及
[00:01:15.720 --> 00:01:18.240]  這一方面的聖經的真理
[00:01:18.240 --> 00:01:20.960]  因為整個環境太過普遍
[00:01:20.960 --> 00:01:23.400]  有很多很多情慾的事情
[00:01:23.400 --> 00:01:25.440]  而婚前的性行為
[00:01:25.440 --> 00:01:30.280]  似乎是一件很被整個國民接納的事情
[00:01:30.280 --> 00:01:31.960]  當他們一路分享的時候
[00:01:31.960 --> 00:01:35.040]  就體會到其實在整個世界
[00:01:35.040 --> 00:01:37.280]  特別很多不同的國家裏面
[00:01:37.280 --> 00:01:39.600]  今天很多的家庭
[00:01:39.600 --> 00:01:42.840]  很多的婚姻倫理的事情
[00:01:42.840 --> 00:01:46.360]  是一個很急速惡化的情況
[00:01:46.360 --> 00:01:47.800]  剛才提及荷蘭
[00:01:47.800 --> 00:01:51.880]  如果你留意到早年和今天有一個很大的分別
[00:01:51.880 --> 00:01:56.360]  就是其中講及到一些非婚生子
