
[00:00:00.000 --> 00:00:01.240]  我深深感謝神
[00:00:01.240 --> 00:00:04.080]  因為能夠再一次回到北宣家
[00:00:04.080 --> 00:00:06.520]  可以在台上跟大家分享訊息
[00:00:06.520 --> 00:00:09.160]  是完全是神的恩典
[00:00:09.160 --> 00:00:11.080]  也是你們的代徒
[00:00:11.080 --> 00:00:14.080]  我很記得5月13日早上
[00:00:14.080 --> 00:00:15.600]  在醫院接受手術
[00:00:15.600 --> 00:00:17.880]  當時我知道在北宣家禮堂
[00:00:17.880 --> 00:00:21.000]  有一大群弟兄姊妹同步為我祈禱
[00:00:21.000 --> 00:00:23.080]  在手術過程當中
[00:00:23.080 --> 00:00:26.760]  醫生幫助我去補回心反
[00:00:26.760 --> 00:00:30.640]  要加上一個金屬的圓環
[00:00:30.640 --> 00:00:32.440]  在心反裏面
[00:00:32.440 --> 00:00:34.560]  做完之後
[00:00:34.560 --> 00:00:36.320]  他做了一些測試
[00:00:36.320 --> 00:00:41.520]  發覺心反這個圓環不成功
[00:00:41.520 --> 00:00:46.600]  他才發覺我的心反比一般人的情況複雜
[00:00:46.600 --> 00:00:48.040]  在那個時候
[00:00:48.040 --> 00:00:50.040]  一般沒有經驗的醫生
[00:00:50.040 --> 00:00:53.880]  可能會馬上決定將整個心反切除
[00:00:53.880 --> 00:00:55.880]  換一個人工的心反
[00:00:55.880 --> 00:00:58.600]  人工心反要不就是豬的心反
[00:00:58.600 --> 00:01:01.400]  即將來可能有一個豬心反
[00:01:01.400 --> 00:01:03.480]  又或者是金屬的心反
[00:01:03.480 --> 00:01:06.760]  金屬心反在你晚上睡覺時
[00:01:06.760 --> 00:01:08.000]  都會很響亮的
[00:01:08.000 --> 00:01:10.000]  滴答滴答滴答
[00:01:10.000 --> 00:01:13.680]  但當時神秘醫生有一個智慧
[00:01:13.680 --> 00:01:17.960]  他就馬上將心反裏面的圓環
[00:01:17.960 --> 00:01:19.320]  拆出來
[00:01:19.320 --> 00:01:22.880]  然後再加一個不同形狀的
[00:01:22.880 --> 00:01:25.760]  U形的一個金屬圈
[00:01:26.160 --> 00:01:27.760]  再放上去
[00:01:27.760 --> 00:01:29.560]  再嘗試
[00:01:29.560 --> 00:01:31.280]  終於成功了
[00:01:31.280 --> 00:01:34.520]  我當然是後來才知道這些事情
[00:01:34.520 --> 00:01:37.760]  當時知道嚇得我再暈兩次
[00:01:37.760 --> 00:01:42.640]  但我很清楚知道是神自己聽弟兄姊妹的代禱
[00:01:42.640 --> 00:01:46.800]  以致我可以健康地繼續站立來侍奉
[00:01:46.800 --> 00:01:48.440]  當然不單止手術的時間
[00:01:48.440 --> 00:01:50.960]  之後很多弟兄姊妹對我的代禱
[00:01:50.960 --> 00:01:52.960]  你們的問候電郵
[00:01:52.960 --> 00:01:54.840]  你們問候卡禮物等等
