
[00:00:00.000 --> 00:00:06.880]  究竟我們如何在一個越來越懷疑基督教的世界裏繼續分享信仰呢?
[00:00:06.880 --> 00:00:08.400]  大家好,我是Daniel
[00:00:08.400 --> 00:00:11.920]  今天想和大家分享 Tim Keller 的經典著作
[00:00:11.920 --> 00:00:16.840]  Preaching, Communicating Faith in an Age of Skepticism
[00:00:16.840 --> 00:00:22.640]  中文翻譯為「文化講道學,向懷疑世代傳講基督」
[00:00:22.640 --> 00:00:26.360]  Tim Keller 在紐約曼哈頓默會了數十年
[00:00:26.360 --> 00:00:31.200]  大家都知道曼哈頓是一個極度世俗化的城市
[00:00:31.200 --> 00:00:36.120]  裏面當然有很多知識份子,但同時有很多懷疑論者
[00:00:36.120 --> 00:00:44.200]  Tim Keller 特別之處是他的講道在當中吸引了不單純圖
[00:00:44.200 --> 00:00:46.000]  還有非純圖
[00:00:46.000 --> 00:00:50.120]  這本書嘗試回應一個很重要的問題
[00:00:50.120 --> 00:00:56.480]  為何傳統的講道模式在今天好像越來越無力呢?
[00:00:56.480 --> 00:01:04.440]  如何才能真正穿透到對現代人對權威的抗拒呢?
[00:01:04.440 --> 00:01:10.040]  這本書的書名雖然叫做Preaching 中文翻譯為「講道學」
[00:01:10.040 --> 00:01:13.600]  但我們不要以為這本書只是寫給牧師看
[00:01:13.600 --> 00:01:20.520]  Tim Keller 在書中一開始講明聖經裏的華語的即時
[00:01:20.520 --> 00:01:23.840]  Ministry of the Word 其實分三個層次
[00:01:23.840 --> 00:01:27.440]  第一層是信徒之間日常的信仰分享
[00:01:27.440 --> 00:01:32.240]  第二層是帶領小組查經或寫作
[00:01:32.240 --> 00:01:37.800]  第三層才是主日崇拜裏面的公開講道
[00:01:37.800 --> 00:01:42.280]  所以無論我們是主日學老師、團計職員、神學生
[00:01:42.280 --> 00:01:48.920]  還是純粹想和身邊的微信朋友分享福音
[00:01:48.920 --> 00:01:53.040]  其實這本書都很值得我們閱讀
[00:01:53.040 --> 00:01:57.040]  究竟Tim Keller 對講道的理解是甚麼呢?
[00:01:57.040 --> 00:01:59.960]  他的核心訊息就是
[00:01:59.960 --> 00:02:05.480]  講道絕對不只是把聖經的知識傳遞出去那麼簡單
[00:02:05.480 --> 00:02:10.000]  他認為講道每一次都是在傳講福音
[00:02:10.000 --> 00:02:14.200]  每一次都是在傳教福音,以及講道是以基督為重心
[00:02:14.200 --> 00:02:17.480]  是一個基督標準的傳教
[00:02:17.480 --> 00:02:22.600]  我們可以想想,平時講道或查經會否很容易落入一個陷阱
[00:02:22.600 --> 00:02:28.560]  就是很容易把聖經變成一本道德指南或心靈雞湯的物體
[00:02:28.560 --> 00:02:32.960]  例如我們說大衛打倒哥利亞
[00:02:32.960 --> 00:02:38.880]  我們很容易會說我們要靠著神勇敢面對生命中的巨人
[00:02:38.880 --> 00:02:41.520]  但Tim Keller提醒我們
[00:02:41.520 --> 00:02:46.520]  如果我們講道只是解釋經文和教人應該怎樣做
[00:02:46.520 --> 00:02:50.400]  而沒有把人帶到耶穌面前
[00:02:50.400 --> 00:02:55.680]  其實我們只是在推廣道德主義
[00:02:55.680 --> 00:03:00.200]  Tim Keller指出真正的福音講道是要告訴別人
[00:03:00.200 --> 00:03:04.200]  我們根本靠自己的話是做不到
[00:03:04.200 --> 00:03:09.080]  但耶穌已經幫我們做到了
[00:03:09.080 --> 00:03:12.080]  所以我們每一次去看一段經文的時候
[00:03:12.080 --> 00:03:17.400]  我們都需要指明人為何無法自救
[00:03:17.400 --> 00:03:20.320]  而唯有耶穌才可以拯救我們
[00:03:20.320 --> 00:03:26.680]  否則我們就未真的明白那一段經文
[00:03:26.680 --> 00:03:29.560]  所以講道不只是解釋經文這麼簡單
[00:03:29.560 --> 00:03:34.400]  更重要的是怎樣向人的心去說話
[00:03:34.400 --> 00:03:37.920]  因為真正的改變
[00:03:37.920 --> 00:03:41.200]  不只是靠頭腦去接受一些新的知識
[00:03:41.200 --> 00:03:48.920]  而是當我們心裏面那份最深入的渴望
[00:03:48.920 --> 00:03:51.320]  被基督的榮美所吸引
[00:03:51.320 --> 00:03:54.400]  我們才會得到真正的改變
[00:03:54.400 --> 00:03:57.120]  這本書有很多精彩的內容
[00:03:57.120 --> 00:04:03.040]  我選了三個特別對我們今天教會有啟發性的觀點
