
[00:00:00.000 --> 00:00:04.000]  今天進入我們培靈會第四天的講道
[00:00:04.000 --> 00:00:07.720]  我們星期六的時候提及到兩種的義
[00:00:07.720 --> 00:00:12.120]  第一種的義是提到法利賽人民事那種表面
[00:00:12.120 --> 00:00:15.720]  一種律法主義式的義
[00:00:15.720 --> 00:00:18.440]  但是相對於神所賜給我們的義
[00:00:18.440 --> 00:00:23.080]  是一種內心真實的、盡心的義
[00:00:23.080 --> 00:00:25.400]  而且提醒我們要確確實實
[00:00:25.400 --> 00:00:28.680]  切切實實地追求這一種真正的義
[00:00:28.680 --> 00:00:32.400]  我們上次提到主耶穌提出有三種的生活例子
[00:00:32.400 --> 00:00:36.040]  而接著的三種我們今天會繼續來到思想
[00:00:36.040 --> 00:00:39.520]  我們所提的就是誠實和完全的愛
[00:00:39.520 --> 00:00:44.240]  這幾方面主耶穌給我們生活上很重要的教訓
[00:00:44.240 --> 00:00:47.200]  昨天我去一間教會講道
[00:00:47.200 --> 00:00:49.400]  講道之後遇到一位姊妹
[00:00:49.400 --> 00:00:52.120]  這位姊妹跟我分享她自己的一些經歷
[00:00:52.120 --> 00:00:56.320]  我聽的時候一直在驚嘆神的作為
[00:00:56.320 --> 00:00:58.880]  這位姊妹以前信主一段長時間
[00:00:58.880 --> 00:01:01.800]  也都經歷神給她的家庭很特別的保守
[00:01:01.800 --> 00:01:03.760]  她的女兒患了腦膜炎
[00:01:03.760 --> 00:01:06.400]  照人看就是沒什麼機會能夠復原
[00:01:06.400 --> 00:01:08.560]  但是神很奇妙醫治了她的女兒
[00:01:08.560 --> 00:01:10.360]  因此她的女兒康復了
[00:01:10.360 --> 00:01:12.480]  但是後來因為很多工作的緣故
[00:01:12.480 --> 00:01:15.640]  生意的緣故、經濟的情況
[00:01:15.640 --> 00:01:17.840]  慢慢將信仰淡忘了
[00:01:17.840 --> 00:01:22.400]  一路賺錢炒股票做很多不同的工作
[00:01:22.400 --> 00:01:25.240]  但是回教會的心就一路一路減少
[00:01:25.240 --> 00:01:27.080]  侍奉的心也減少
[00:01:27.080 --> 00:01:29.280]  突然有一次她發現自己身體不舒服
[00:01:29.280 --> 00:01:30.680]  鼻子很不舒服
[00:01:30.680 --> 00:01:32.520]  又流出鼻血
[00:01:32.520 --> 00:01:35.400]  去檢查醫生就看各方面的跡象
[00:01:35.400 --> 00:01:38.160]  又發現有一些特別的組織在裡面
[00:01:38.160 --> 00:01:42.360]  因此就推算你多數是有鼻咽癌
[00:01:42.360 --> 00:01:43.720]  當她聽到這件事的時候
[00:01:43.720 --> 00:01:45.040]  真的好像是晴天霹靂
[00:01:45.040 --> 00:01:47.520]  完全沒想過自己會發生這樣的事情
[00:01:47.520 --> 00:01:49.200]  在自己身上
[00:01:49.200 --> 00:01:52.080]  因為突然她覺得她需要回到神的面前
[00:01:52.080 --> 00:01:54.640]  她就祈禱認罪
[00:01:54.640 --> 00:01:57.160]  並求主醫治她
[00:01:57.160 --> 00:01:58.960]  在過程當中很奇妙
[00:01:58.960 --> 00:02:00.120]  在夢境裡面
[00:02:00.120 --> 00:02:03.320]  神向她印證要醫治她
[00:02:03.320 --> 00:02:04.680]  後來當她去醫生那裡
[00:02:04.680 --> 00:02:07.400]  再正式地切片化驗的時候
[00:02:07.400 --> 00:02:10.440]  一切片出來發現沒事
[00:02:10.440 --> 00:02:12.800]  醫生說沒事
[00:02:12.800 --> 00:02:15.960]  這位姐妹心裡面很驚訝神自己的工作
[00:02:15.960 --> 00:02:17.360]  因此她就回到教會當中
[00:02:17.360 --> 00:02:19.600]  一路告訴傳道人知道
[00:02:19.600 --> 00:02:21.400]  「我很感謝神」
[00:02:21.400 --> 00:02:22.880]  「如果神給我完全的醫治」
[00:02:22.880 --> 00:02:26.080]  「我要一心來服侍祂」
[00:02:26.080 --> 00:02:28.200]  當我聽她說她的見證的時候
[00:02:28.200 --> 00:02:30.520]  我心裡有一種感受就是
[00:02:30.520 --> 00:02:33.320]  神的憐憫太大了
[00:02:33.320 --> 00:02:35.600]  這個人不配得神的憐憫
[00:02:35.600 --> 00:02:38.560]  這個人其實離開了神一段很長的時間
[00:02:38.560 --> 00:02:40.080]  神用不同的方法
[00:02:40.080 --> 00:02:43.480]  來將她拉回頭
[00:02:43.480 --> 00:02:46.240]  因此她得到一些不配得的恩典
[00:02:46.240 --> 00:02:48.080]  不配得的憐憫
[00:02:48.080 --> 00:02:49.480]  但當她說的時候
[00:02:49.480 --> 00:02:52.000]  我就再次印證這位天父
[00:02:52.000 --> 00:02:54.120]  是不斷思慈愛的神
[00:02:54.120 --> 00:02:56.840]  不斷思慈愛的天父
[00:02:56.840 --> 00:02:58.640]  「弟兄姐妹」
[00:02:58.640 --> 00:03:00.320]  「你和我都是天國的公民」
[00:03:00.320 --> 00:03:01.160]  「天國的子民」
[00:03:01.160 --> 00:03:03.040]  我們上上講
[00:03:03.040 --> 00:03:04.560]  「但作為天國的子民」
[00:03:04.560 --> 00:03:08.720]  「我們理當像我們的天父」
[00:03:08.720 --> 00:03:10.720]  在《聖經二弗》所書第五章
[00:03:10.720 --> 00:03:12.080]  很清楚地說
[00:03:12.080 --> 00:03:13.640]  「你們該孝發神」
[00:03:13.640 --> 00:03:17.560]  「好像蒙慈愛的兒女一樣」
[00:03:17.560 --> 00:03:19.400]  「如果你是曾經蒙過神的恩惠」
[00:03:19.400 --> 00:03:20.840]  「領受過慈愛的」
[00:03:20.840 --> 00:03:21.840]  「你要記住」
[00:03:21.840 --> 00:03:22.760]  「《聖經》所說」
[00:03:22.760 --> 00:03:26.240]  「你們該孝發神」
[00:03:26.240 --> 00:03:29.320]  讓神那種生命的本性
[00:03:29.320 --> 00:03:31.560]  流露在我們生命當中
[00:03:31.560 --> 00:03:32.760]  經歷過愛的人
[00:03:32.760 --> 00:03:35.040]  更加能夠去象神
