
[00:00:00.000 --> 00:00:06.000]  我們提到:那應許我們的是可信的
[00:00:06.000 --> 00:00:10.000]  大家記得這段時間我們說到雲彩的見證
[00:00:10.000 --> 00:00:13.000]  有很多很多不同的先賢
[00:00:13.000 --> 00:00:18.000]  他們留下美好的見證成為我們今天一個重要的榜樣
[00:00:18.000 --> 00:00:23.000]  我們提到這位神是「應許次因典」的上帝
[00:00:23.000 --> 00:00:27.000]  或者你會問:是甚麼「應許」?
[00:00:27.000 --> 00:00:30.000]  我都再問:如果我要問
[00:00:30.000 --> 00:00:35.000]  究竟你會不會即時想起神給你有甚麼「應許」呢?
[00:00:35.000 --> 00:00:38.000]  你會想起甚麼?
[00:00:38.000 --> 00:00:41.000]  有沒有三、四、四、五項很多不同的「應許」?
[00:00:41.000 --> 00:00:44.000]  大家一定會想到很多
[00:00:44.000 --> 00:00:48.000]  最簡單最直接的就是我們上上說到
[00:00:48.000 --> 00:00:54.000]  「口裡承認,心裡相信,就必得救」
[00:00:54.000 --> 00:00:59.000]  神「應許」信靠他的人領受他給我們的拯救
[00:00:59.000 --> 00:01:01.000]  我們都會立善想起聖經說:
[00:01:01.000 --> 00:01:07.000]  「凡是敬畏耶和華的,一樣好處都不缺乏」
[00:01:07.000 --> 00:01:09.000]  是神的「應許」來的
[00:01:09.000 --> 00:01:12.000]  他「應許」我們信靠他的時候
[00:01:12.000 --> 00:01:17.000]  凡是信靠他的人必不至於羞愧
[00:01:17.000 --> 00:01:18.000]  當你小心想的時候
[00:01:18.000 --> 00:01:21.000]  聖經充滿著各種的「應許」
[00:01:21.000 --> 00:01:23.000]  但可能突然間你會感覺
[00:01:23.000 --> 00:01:27.000]  「哦!信心,怎樣相信?」
[00:01:27.000 --> 00:01:31.000]  在聖經裡面提及神的各種「應許」的時候
[00:01:31.000 --> 00:01:33.000]  領受「應許」的途徑
[00:01:33.000 --> 00:01:38.000]  最簡單最直接說就是「信心」
[00:01:38.000 --> 00:01:41.000]  但真正的信心是有行動的
[00:01:41.000 --> 00:01:45.000]  因此絕對不可以單有信心而沒有信服
[00:01:45.000 --> 00:01:50.000]  真正的信心是信而聽從
