
[00:00:00.000 --> 00:00:03.680]  這次我回來看見牆牌的兩邊
[00:00:03.680 --> 00:00:06.380]  有非常好看的兩棵樹
[00:00:06.380 --> 00:00:10.600]  (中文字幕)
[00:00:10.600 --> 00:00:13.040]  樹葉很清脆美麗
[00:00:13.040 --> 00:00:15.480]  (中文字幕)
[00:00:15.480 --> 00:00:17.120]  是很好的象徵
[00:00:17.120 --> 00:00:18.680]  (中文字幕)
[00:00:18.680 --> 00:00:22.980]  象徵主的恩典慈愛是常青的
[00:00:22.980 --> 00:00:27.720]  (中文字幕)
[00:00:27.720 --> 00:00:30.800]  我們對主也願意是常青的
[00:00:30.800 --> 00:00:33.320]  (中文字幕)
[00:00:33.320 --> 00:00:35.120]  我們對主的愛
[00:00:35.120 --> 00:00:37.760]  對主的忠心也不改變
[00:00:37.760 --> 00:00:41.400]  (中文字幕)
[00:00:41.400 --> 00:00:43.920]  但至少再有一次機會
[00:00:43.920 --> 00:00:47.360]  回到香港和大家一同敬拜主
[00:00:47.360 --> 00:00:52.600]  (中文字幕)
[00:00:52.600 --> 00:00:57.920]  每次回來身邊主的新的恩典作為
[00:00:57.920 --> 00:01:01.080]  (中文字幕)
[00:01:01.080 --> 00:01:03.120]  就心裡非常的快樂
[00:01:03.120 --> 00:01:04.760]  (中文字幕)
[00:01:04.760 --> 00:01:07.640]  我們的金句
[00:01:07.640 --> 00:01:09.720]  (中文字幕)
[00:01:09.720 --> 00:01:11.520]  耶和華是我的目者
[00:01:11.520 --> 00:01:12.880]  (中文字幕)
[00:01:12.880 --> 00:01:14.680]  我必不自缺乏
[00:01:14.680 --> 00:01:16.200]  (中文字幕)
[00:01:16.200 --> 00:01:18.000]  在這一整年的裏面
[00:01:18.000 --> 00:01:19.680]  (中文字幕)
[00:01:19.680 --> 00:01:21.400]  主都是我們的目者
[00:01:21.400 --> 00:01:23.600]  (中文字幕)
[00:01:23.600 --> 00:01:25.320]  他是真的好目人
[00:01:25.320 --> 00:01:28.000]  (中文字幕)
[00:01:28.000 --> 00:01:30.240]  他帶領我們奔走前程
[00:01:30.240 --> 00:01:31.960]  (中文字幕)
[00:01:31.960 --> 00:01:33.240]  剛才詩班唱詩
[00:01:33.240 --> 00:01:34.920]  (中文字幕)
[00:01:34.920 --> 00:01:35.920]  到了最後的時候
[00:01:35.920 --> 00:01:39.480]  (中文字幕)
[00:01:39.480 --> 00:01:41.440]  聲音越高又越有力
[00:01:41.440 --> 00:01:45.320]  (中文字幕)
[00:01:45.320 --> 00:01:48.440]  但代表我們的靈性是振奮復興
[00:01:48.440 --> 00:01:51.080]  (中文字幕)
[00:01:51.080 --> 00:01:53.920]  將一切的榮耀都歸給主
[00:01:53.920 --> 00:01:55.000]  (中文字幕)
