
[00:00:00.000 --> 00:00:04.000]  今天和大家思想的就是神為他子民征戰的原則
[00:00:04.000 --> 00:00:07.000]  繼續在《聖經》裏面的信息
[00:00:07.000 --> 00:00:10.000]  這段時間我自己也比較留意多一點
[00:00:10.000 --> 00:00:13.000]  有關一個題目就是天使
[00:00:13.000 --> 00:00:18.000]  原因是我太太在中學生的著學裏面
[00:00:18.000 --> 00:00:22.000]  搞過一個題目是關於《聖經》裏面的天使
[00:00:22.000 --> 00:00:24.000]  我記得我曾經提及過一件事情
[00:00:24.000 --> 00:00:28.000]  就是葛珮莉博士所寫的一本書叫做《Angels》
[00:00:28.000 --> 00:00:30.000]  在裏面提及有關《聖經》這方面的真理
[00:00:30.000 --> 00:00:33.000]  和一些實在的例子
[00:00:33.000 --> 00:00:36.000]  其中一件事情是傳頌了很多年的例子
[00:00:36.000 --> 00:00:39.000]  就是在十九世紀初期
[00:00:39.000 --> 00:00:43.000]  一位很重要的宣教士John Payton
[00:00:43.000 --> 00:00:45.000]  他本身是一個很特別的宣教士
[00:00:45.000 --> 00:00:49.000]  因為他選擇去到一些很偏遠的地方
[00:00:49.000 --> 00:00:50.000]  去到一些食人族
[00:00:50.000 --> 00:00:52.000]  當時真的有的食人族當中
[00:00:52.000 --> 00:00:54.000]  來傳福音
[00:00:54.000 --> 00:00:56.000]  過去至少宣教士是這樣做的
[00:00:56.000 --> 00:00:58.000]  他去到一個地方
[00:00:58.000 --> 00:01:01.000]  一個群島叫做The Hybrids
[00:01:01.000 --> 00:01:06.000]  這個群島裏面有很多很多的不同的民族
[00:01:06.000 --> 00:01:08.000]  但都是一些食人族
[00:01:08.000 --> 00:01:11.000]  當宣教士去到當中的時候
[00:01:11.000 --> 00:01:13.000]  遇到很大的抗拒
[00:01:13.000 --> 00:01:15.000]  甚至他的生命都很危險
[00:01:15.000 --> 00:01:17.000]  後來他找了一個地方來居住
[00:01:17.000 --> 00:01:19.000]  他和他太太兩個人
[00:01:19.000 --> 00:01:22.000]  就以那個地方為他們的宣教站
[00:01:22.000 --> 00:01:25.000]  他的工作、他的宣教從那裏延伸
[00:01:25.000 --> 00:01:27.000]  但初初去到的時候
[00:01:27.000 --> 00:01:30.000]  他們就發覺因為周圍的人對他們很敵視
[00:01:30.000 --> 00:01:32.000]  他們都很擔心
[00:01:32.000 --> 00:01:34.000]  一個晚上他們發現
[00:01:34.000 --> 00:01:38.000]  突然間在家裏周圍圍了很多的土族
[00:01:38.000 --> 00:01:40.000]  而且帶了很多的武器
[00:01:40.000 --> 00:01:42.000]  對他們很不利
[00:01:42.000 --> 00:01:44.000]  甚至很想衝進來
[00:01:44.000 --> 00:01:46.000]  想好像抓他們
[00:01:46.000 --> 00:01:48.000]  甚至殘害他們
[00:01:48.000 --> 00:01:50.000]  當時他們不敢開門出去
[00:01:50.000 --> 00:01:52.000]  但是他們只能夠做的
[00:01:52.000 --> 00:01:54.000]  就是一直這樣祈禱
[00:01:54.000 --> 00:01:56.000]  兩個人跪在地上一直祈禱
[00:01:56.000 --> 00:01:59.000]  求神保護他們、求神看顧他們
[00:01:59.000 --> 00:02:00.000]  一直祈禱、祈禱
[00:02:00.000 --> 00:02:03.000]  出現的聲音仍然都很嘈吵
[00:02:03.000 --> 00:02:05.000]  到了差不多半夜的時候
[00:02:05.000 --> 00:02:08.000]  才察覺好像外面靜了下來
[00:02:08.000 --> 00:02:10.000]  稍微裝一下出去
[00:02:10.000 --> 00:02:12.000]  發覺那些土族都走了
[00:02:12.000 --> 00:02:13.000]  他們很感恩
[00:02:13.000 --> 00:02:15.000]  感謝神給他們的保守
[00:02:15.000 --> 00:02:17.000]  他們就繼續他們的工作
[00:02:17.000 --> 00:02:20.000]  後來他們接受到這個環境
[00:02:20.000 --> 00:02:23.000]  土族也都開始接受他們
[00:02:23.000 --> 00:02:25.000]  慢慢有些人信得住
[00:02:25.000 --> 00:02:27.000]  甚至酋長都信得住
[00:02:27.000 --> 00:02:28.000]  很多年之後
[00:02:28.000 --> 00:02:32.000]  有一次酋長就問這個宣教士John Patton
[00:02:32.000 --> 00:02:33.000]  就說為什麼你們當時
[00:02:33.000 --> 00:02:35.000]  你們第一次初初來到的時候
[00:02:35.000 --> 00:02:39.000]  帶了這麼多衛兵來保衛你們
[00:02:39.000 --> 00:02:41.000]  宣教士說衛兵?
[00:02:41.000 --> 00:02:43.000]  我們沒有衛兵的
[00:02:43.000 --> 00:02:44.000]  還說沒有?
[00:02:44.000 --> 00:02:46.000]  那晚我們一群人圍著你們的家
[00:02:46.000 --> 00:02:49.000]  想把你們抓出來燒死你們
[00:02:49.000 --> 00:02:52.000]  但是發覺你們家門口
[00:02:52.000 --> 00:02:56.000]  有幾十個很勇猛的衛兵在那裡
[00:02:56.000 --> 00:02:58.000]  每個人都拿著一把長刀
[00:02:58.000 --> 00:03:00.000]  站在你們的門口
[00:03:00.000 --> 00:03:03.000]  我們一步都不敢走過來
[00:03:03.000 --> 00:03:04.000]  後來我們都走了
[00:03:04.000 --> 00:03:05.000]  我們很害怕
[00:03:05.000 --> 00:03:06.000]  我們都走了
[00:03:06.000 --> 00:03:10.000]  那些衛兵你怎麼請回來的?
[00:03:10.000 --> 00:03:12.000]  在那個時候
[00:03:12.000 --> 00:03:14.000]  宣教士才知道
[00:03:14.000 --> 00:03:16.000]  當他們祈禱的時候
[00:03:16.000 --> 00:03:18.000]  原來神差遣了天使、天君
[00:03:18.000 --> 00:03:20.000]  是他們自己看不到
[00:03:20.000 --> 00:03:22.000]  但是這些敵人看見
[00:03:22.000 --> 00:03:24.000]  因此他們很恐懼
[00:03:24.000 --> 00:03:27.000]  就離開了他們
[00:03:27.000 --> 00:03:28.000]  其實這些事情
[00:03:28.000 --> 00:03:30.000]  不單單是一些單獨的事件
