
[00:00:00.000 --> 00:00:07.520]  好 今天我們繼續思考約翰一書
[00:00:07.520 --> 00:00:11.320]  有人說 大家可能聽過一句英文說話
[00:00:11.320 --> 00:00:13.320]  就是Practice makes perfect
[00:00:13.320 --> 00:00:16.200]  即是你不斷去實踐一件事
[00:00:16.200 --> 00:00:21.400]  就越來越完備 完善 甚至有進步
[00:00:21.400 --> 00:00:26.160]  九月底 我有一次在崇拜
[00:00:26.160 --> 00:00:30.600]  他還說柏林馬拉松有機會破世界紀錄
[00:00:30.600 --> 00:00:34.800]  果然 果然真的破了世界紀錄
[00:00:34.800 --> 00:00:40.920]  2月10日 兩小時1分鐘09秒
[00:00:40.920 --> 00:00:42.920]  推前了30秒
[00:00:42.920 --> 00:00:47.720]  這就是這張圖的選手 潔祖智
[00:00:47.720 --> 00:00:51.120]  在柏林九月底的主日
[00:00:51.120 --> 00:00:53.120]  所創出的新世界紀錄
[00:00:53.640 --> 00:00:56.760]  賽後 潔祖智感謝很多人
[00:00:56.760 --> 00:01:02.920]  太太 團隊的教練 一起跑的選手
[00:01:02.920 --> 00:01:05.920]  但他特別感謝一個人
[00:01:05.920 --> 00:01:09.440]  就是一個56歲的德國義工
[00:01:09.440 --> 00:01:11.680]  我不懂得讀他的名字 因為是特文
[00:01:11.680 --> 00:01:14.200]  我怕讀錯了 被人恥笑
[00:01:14.200 --> 00:01:20.040]  總之是一個穿著左上角
[00:01:20.040 --> 00:01:22.880]  藍色衣服 黃色背包的那個就是
[00:01:22.880 --> 00:01:24.320]  56歲的義工
[00:01:24.320 --> 00:01:26.320]  他做什麼呢
[00:01:26.320 --> 00:01:32.400]  他每5公里就將水 或者是能量的飲品
[00:01:32.400 --> 00:01:37.960]  遞給這個潔祖智 馬拉松的肯亞選手
[00:01:37.960 --> 00:01:42.520]  他要怎樣做呢 他要很多練習
[00:01:42.520 --> 00:01:45.040]  因為他不是遞水給他 不是的
[00:01:45.040 --> 00:01:48.440]  因為他跑得很快
[00:01:48.440 --> 00:01:55.440]  我們選手每小時20公里 開車就很慢
[00:01:55.440 --> 00:01:56.760]  但跑得很快
[00:01:56.760 --> 00:02:01.640]  所以他要計算到什麼高度 遞的時候 怎樣遞
[00:02:01.640 --> 00:02:05.640]  你看到他遞完之後
[00:02:05.640 --> 00:02:09.480]  譬如右上角 潔祖智拿了他的水 他就很興奮
[00:02:09.480 --> 00:02:11.000]  YEAH 拿了
[00:02:11.000 --> 00:02:14.000]  那他要怎樣呢 他要在下層
[00:02:14.000 --> 00:02:17.640]  拿著單車 狂踩 要比他快
[00:02:17.640 --> 00:02:20.640]  比他快到下一個5公里的水站
[00:02:20.640 --> 00:02:23.840]  再預備遞水的過程
[00:02:23.840 --> 00:02:26.960]  於是5公里 10公里 15公里 20公里
[00:02:26.960 --> 00:02:28.640]  到40公里
[00:02:28.640 --> 00:02:30.640]  差不多整個馬拉松
[00:02:30.640 --> 00:02:33.560]  這個56歲的德國義工
[00:02:33.560 --> 00:02:36.960]  就不斷重複一個動作 就是遞水
[00:02:36.960 --> 00:02:40.560]  他說 完了這個賽事 非常累
[00:02:40.560 --> 00:02:42.080]  你可以想像
[00:02:42.080 --> 00:02:44.400]  他踩了40公里的單車
[00:02:44.400 --> 00:02:48.800]  要每一個水站遞到一點水給肯亞選手
[00:02:48.800 --> 00:02:51.400]  但是他超開心
[00:02:51.400 --> 00:02:53.600]  很開心 不單止完成任務
[00:02:53.600 --> 00:03:00.000]  並且協助肯亞選手創了世界紀錄
[00:03:00.000 --> 00:03:03.200]  今天金國季代 講楊一書
[00:03:03.200 --> 00:03:05.200]  楊一書一起頭就說
[00:03:05.200 --> 00:03:07.200]  我們有個生命的道
[00:03:07.200 --> 00:03:10.200]  我們可以與道的光 神就是光
[00:03:10.200 --> 00:03:13.200]  與光相遇 與他有團契
[00:03:13.200 --> 00:03:15.200]  不單止與神有團契
[00:03:15.200 --> 00:03:18.200]  並且與弟兄姊妹 眾人有團契
[00:03:18.200 --> 00:03:20.200]  以致我們的喜樂可以滿足
[00:03:20.200 --> 00:03:27.200]  這個不斷的相交 團契 喜樂 滿足
[00:03:27.200 --> 00:03:28.200]  是如何達成的呢
[00:03:28.200 --> 00:03:31.200]  上一堂就說 楊一書一章九節
[00:03:31.200 --> 00:03:33.200]  懂不懂得背
[00:03:33.200 --> 00:03:36.200]  見記第一個彈出來
[00:03:36.200 --> 00:03:40.200]  我們若認自己的罪 神是信實的 是公義的
[00:03:40.200 --> 00:03:44.200]  必要赦免我們的罪 洗淨我們一切的不義
[00:03:44.200 --> 00:03:48.200]  所以第一個 每一天行在光明中
[00:03:48.200 --> 00:03:52.200]  因為我們每一天都有犯罪
[00:03:52.200 --> 00:03:57.200]  所以我們每一天行在光明中 去認罪
[00:03:57.200 --> 00:03:59.200]  第二個向導
[00:03:59.200 --> 00:04:02.200]  我們如何不斷每天與神相交
[00:04:02.200 --> 00:04:05.200]  與弟兄姊妹相交 以致我們生命有喜樂
[00:04:05.200 --> 00:04:07.200]  彼此相愛
[00:04:07.200 --> 00:04:09.200]  這就是第二個向導
[00:04:09.200 --> 00:04:16.200]  不斷地實踐 以致我們生命越來越成熟 成性
[00:04:16.200 --> 00:04:19.200]  經文一開始是這樣說
[00:04:19.200 --> 00:04:21.200]  一開始二章三節
[00:04:21.200 --> 00:04:28.200]  我們若遵守他的誡命 就曉得是認識他
[00:04:28.200 --> 00:04:35.200]  使徒若翰說 若我們真的信耶穌 跟從神
[00:04:35.200 --> 00:04:40.200]  我們要守他的誡命
[00:04:40.200 --> 00:04:46.200]  當我們認識神的時候 生命會有改變
[00:04:46.200 --> 00:04:50.200]  你想想 信耶穌之前會否看聖經
[00:04:50.200 --> 00:04:53.200]  或許會 但多數不會
[00:04:53.200 --> 00:04:56.200]  更加當神的話語無道
[00:04:56.200 --> 00:04:58.200]  神說什麼 關我什麼事
[00:04:58.200 --> 00:05:00.200]  我講的是我的生活
[00:05:00.200 --> 00:05:03.200]  我為什麼要守神的話語
[00:05:03.200 --> 00:05:06.200]  神是誰 我過回自己的生活就行了
[00:05:06.200 --> 00:05:10.200]  但若你真的認識神 跟從神
[00:05:10.200 --> 00:05:12.200]  你就會守他的誡命
[00:05:12.200 --> 00:05:16.200]  即是與信耶穌 跟從神之前的生活 截然不同
[00:05:16.200 --> 00:05:21.200]  所以若翰說 若你真的認識神的時候
[00:05:21.200 --> 00:05:24.200]  生命會有一個習慣性
[00:05:24.200 --> 00:05:27.200]  不斷做一件事 以前不會做的
[00:05:27.200 --> 00:05:31.200]  就是聽從神的話語
[00:05:31.200 --> 00:05:39.200]  我們知道 守律法不是得救的門徑
[00:05:39.200 --> 00:05:46.200]  我們只能夠得清為宜 因著信 因著神的恩典
[00:05:46.200 --> 00:05:52.200]  但我們的生命改變反照出一個特質
[00:05:52.200 --> 00:05:55.200]  我們願意跟從神
