
[00:00:00.000 --> 00:00:05.000]  我們下午的這個時間呢
[00:00:05.000 --> 00:00:07.000]  用的題目就是
[00:00:07.000 --> 00:00:10.000]  熟靈的分辨
[00:00:10.000 --> 00:00:16.000]  我們需要用一些熟靈的原則來做標準
[00:00:16.000 --> 00:00:21.000]  不是按照我們自己的心態
[00:00:21.000 --> 00:00:23.000]  按照我們自己的理論
[00:00:23.000 --> 00:00:25.000]  按照我們自己的經驗
[00:00:25.000 --> 00:00:29.000]  按照我們自己的喜好來分辨
[00:00:29.000 --> 00:00:32.000]  我們來是按照神的話語
[00:00:32.000 --> 00:00:36.000]  按照真理來分辨
[00:00:36.000 --> 00:00:41.000]  這樣我們就不會有大的錯誤
[00:00:41.000 --> 00:00:45.000]  大家手中都有一份獎勵
[00:00:45.000 --> 00:00:51.000]  我們一共有25個小題目
[00:00:51.000 --> 00:00:57.000]  我們就在這個範圍裡面來分辨
[00:00:57.000 --> 00:01:01.000]  我們今天看頭八個
[00:01:01.000 --> 00:01:15.000]  明天後天我們就按照這個平均的分量來思想領受
[00:01:15.000 --> 00:01:17.000]  第一個
[00:01:17.000 --> 00:01:23.000]  喜歡和愛之間的分別
[00:01:23.000 --> 00:01:30.000]  我們很容易不知不覺將我們的愛當作喜歡
[00:01:30.000 --> 00:01:33.000]  把喜歡當作愛
[00:01:33.000 --> 00:01:39.000]  其實這兩者之間有很重要的分別
[00:01:39.000 --> 00:01:43.000]  特別是對一個基督徒來講
[00:01:43.000 --> 00:01:47.000]  如果我們把喜歡和愛混淆在一起
[00:01:47.000 --> 00:01:52.000]  我們就不容易瞭解到那個愛的真意
[00:01:52.000 --> 00:01:57.000]  我們就不知不覺用喜歡來取代了愛
[00:01:57.000 --> 00:02:02.000]  那是一個很容易犯的錯誤
[00:02:02.000 --> 00:02:06.000]  喜歡和愛有什麼分別呢?
[00:02:06.000 --> 00:02:11.000]  喜歡是由對方來決定的
[00:02:11.000 --> 00:02:14.000]  如果對方有優點
[00:02:14.000 --> 00:02:17.000]  有可喜歡的地方
[00:02:17.000 --> 00:02:19.000]  有可喜歡的條件
[00:02:19.000 --> 00:02:28.000]  那我們就對這些條件因素所決定來喜歡這個人
[00:02:28.000 --> 00:02:33.000]  而不是我們自己有愛
