
[00:00:00.000 --> 00:00:03.440]  究竟甚麼是東方色經學呢?
[00:00:03.440 --> 00:00:08.480]  用農夫的眼光去看耶穌的比喻又是甚麼一回事呢?
[00:00:08.480 --> 00:00:14.160]  今天想和大家介紹貝里(Kenneth E. Bailey)的書
[00:00:14.160 --> 00:00:17.680]  我們上次也看過,不過今次會再看另一本
[00:00:17.680 --> 00:00:23.920]  就是《詩人與農夫:從文學與文化進路再思耶穌的比喻》
[00:00:23.920 --> 00:00:25.920]  Poet and Peasant
[00:00:25.920 --> 00:00:34.240]  其實這本書最特別的地方不是貢獻多一個查經的標準答案
[00:00:34.240 --> 00:00:39.840]  而是作者嘗試帶我們回到第一世紀巴勒斯坦的世界
[00:00:39.840 --> 00:00:45.600]  用當時農民的眼光去重新再次聽一聽耶穌的比喻
[00:00:45.600 --> 00:00:47.600]  看看究竟有甚麼不同
[00:00:47.600 --> 00:00:52.960]  作者認為現在特別是西方教會,很多時候讀耶穌的比喻
[00:00:52.960 --> 00:00:56.960]  一是太抽象,一是很個人化
[00:00:56.960 --> 00:01:03.600]  但耶穌當時是和一群生活在中東農村文化中的人說話
[00:01:03.600 --> 00:01:10.400]  所以他們對於名譽、修育、家庭、怎樣接待客人等等
[00:01:10.400 --> 00:01:13.760]  其實是有一套共同的理解
[00:01:13.760 --> 00:01:24.080]  作者就用這套方法去閱讀聖經的一套東西叫做東方式經學
[00:01:24.080 --> 00:01:26.080]  Oriental Exegesis
[00:01:26.080 --> 00:01:28.080]  即是作者想做甚麼呢?
[00:01:28.080 --> 00:01:30.800]  就是他覺得要理解耶穌的比喻
[00:01:30.800 --> 00:01:34.880]  就不可以只用一些現代西方的思維
[00:01:34.880 --> 00:01:38.400]  而是要回到整個中東的文化世界
[00:01:38.400 --> 00:01:42.320]  所以他就建議我們要用這個方法
[00:01:42.320 --> 00:01:44.320]  他嘗試分四點
[00:01:44.320 --> 00:01:51.840]  第一,他真的研究現在現代中東農民的文化是怎樣
[00:01:51.840 --> 00:01:58.160]  因為他覺得中東農村的社會在二千年來其實變化不算大
[00:01:58.160 --> 00:02:04.880]  例如人際關係、名譽的觀念、怎樣接待客人
[00:02:04.880 --> 00:02:06.880]  這些很多東西都保存了下來
[00:02:06.880 --> 00:02:13.840]  所以研究現在現代的中東農民文化是可以看到很多東西的
[00:02:13.840 --> 00:02:19.040]  第二,他就會直接研究一些古代的中東文獻
[00:02:19.040 --> 00:02:22.240]  例如他會看一些猶太文獻
[00:02:22.240 --> 00:02:25.040]  例如米斯拿、塔拉木亞等等
[00:02:25.040 --> 00:02:30.720]  第三,他也會參考敘利亞文、阿拉伯文這些東方教會的聖經譯本
[00:02:30.720 --> 00:02:36.640]  因為他覺得早期東方教會的生活比較貼近聖經
[00:02:36.640 --> 00:02:38.640]  特別是耶穌比喻的世界
[00:02:38.640 --> 00:02:44.000]  第四,他也會分析希伯來的文學結構
[00:02:44.000 --> 00:02:48.160]  例如交叉、對稱、詩歌的不同結構
[00:02:48.160 --> 00:02:54.560]  所以作者貝里認為其實耶穌的比喻很多時候不是隨意排列的
[00:02:54.560 --> 00:02:57.440]  而是有精心的文學設計
[00:02:57.440 --> 00:03:02.400]  而他覺得中心就是神學的焦點
[00:03:02.400 --> 00:03:08.000]  我看作者的分析,我覺得有一個地方頗特別的
[00:03:08.000 --> 00:03:15.680]  就是作者頗反對傳統覺得比喻只有一個重點
[00:03:15.680 --> 00:03:19.120]  我們很多時候也會這樣理解
[00:03:19.120 --> 00:03:23.040]  比喻好像只有一個中心思想,其他細節也不重要
[00:03:23.040 --> 00:03:27.360]  但是作者不認同這個解法
[00:03:27.360 --> 00:03:32.480]  他提出一個概念叫Theological Cluster
[00:03:32.480 --> 00:03:37.600]  即是類似神學的集群
[00:03:37.600 --> 00:03:44.000]  他想說的是比喻當中有一組很多不同互相呼應的神學主題
[00:03:44.000 --> 00:03:53.200]  例如因典、悔改、修育、接納、身份、群體、審判等等的主題
[00:03:53.200 --> 00:03:59.600]  他說這些元素一起推向一個最後的回應
[00:03:59.600 --> 00:04:06.000]  我覺得頗有趣或頗重要的一個地方就是
[00:04:06.000 --> 00:04:10.000]  作者其實想我們再次看耶穌的比喻時
[00:04:10.000 --> 00:04:13.680]  不要當成是一些很單薄的道德故事
[00:04:13.680 --> 00:04:19.440]  作者認為其實每一個比喻都是一個神學的衝擊
[00:04:19.440 --> 00:04:23.280]  書中有幾個例子和大家分享一下
[00:04:23.280 --> 00:04:27.520]  第一個,我想很多人都熟悉,就是半夜求餅的比喻
[00:04:27.520 --> 00:04:30.800]  很多時候我們看半夜求餅的比喻
[00:04:30.800 --> 00:04:37.120]  都會覺得經文是教我們祈禱要堅持、迫切的祈求
[00:04:37.120 --> 00:04:41.760]  但貝利就說其實這裡的重點不是求那個人
[00:04:41.760 --> 00:04:43.760]  而是給那個人
[00:04:43.760 --> 00:04:49.520]  為甚麼呢?因為在中東文化中,接待客人不是個人責任
[00:04:49.520 --> 00:04:52.720]  而是整條村的共同榮譽
[00:04:52.720 --> 00:04:57.520]  如果有客人在半夜來到,而你家沒有餅供應
[00:04:57.520 --> 00:05:00.160]  整條村都會感到羞恥
[00:05:00.160 --> 00:05:04.960]  所以隔壁的朋友起床借餅不是因為他很煩
[00:05:04.960 --> 00:05:06.960]  所以頂不住純粹借給他
[00:05:06.960 --> 00:05:14.400]  而是因為他不想第二天早上,整條村都會說他沒有羞恥
[00:05:14.400 --> 00:05:19.760]  比喻的核心就是
[00:05:19.760 --> 00:05:24.240]  一個普通的鄰舍都會因為榮譽而回應
[00:05:24.240 --> 00:05:26.240]  何況天父呢?
[00:05:26.240 --> 00:05:29.840]  所以重點不是我們求得夠不夠力
[00:05:29.840 --> 00:05:36.560]  而是說上帝其實是可信的、可靠的
[00:05:36.560 --> 00:05:38.560]  亦是很慷慨的上帝
[00:05:38.560 --> 00:05:48.000]  如果這樣理解,似乎對我們半夜求餅這個經文的比喻有很不同的看法
[00:05:48.000 --> 00:05:52.080]  第二個例子更加熟悉,就是浪子的比喻
[00:05:52.080 --> 00:05:57.440]  很多時候我們讀浪子的比喻都會集中在小兒子的悔改
[00:05:57.440 --> 00:06:00.880]  或者父親的慈愛
[00:06:00.880 --> 00:06:05.520]  但貝利提醒我們,其實在第一世的中東文化中
[00:06:05.520 --> 00:06:08.080]  當小兒子要分家產的時候
[00:06:08.080 --> 00:06:13.840]  其實是等於跟父親說「我恨不得你快點死」
[00:06:13.840 --> 00:06:16.720]  其實是一個很嚴重的羞辱
[00:06:16.720 --> 00:06:21.920]  更加重要的是當小兒子擺乾家產回到村子的時候
[00:06:21.920 --> 00:06:26.000]  按照中東習俗,其實村民是可以公開羞辱他
[00:06:26.000 --> 00:06:30.160]  甚至是舉行一些切斷關係的儀式
[00:06:30.160 --> 00:06:37.600]  所以當父親見到他的小兒子的時候,他就立即跑出去
[00:06:37.600 --> 00:06:46.800]  這一幕是很特別的,因為中東老人其實是不會奔跑的
[00:06:46.800 --> 00:06:50.240]  因為奔跑是代表失去尊嚴
[00:06:50.240 --> 00:06:53.680]  即是你要拉高長袍,其實是一件很羞辱的事
[00:06:53.680 --> 00:07:00.320]  所以父親奔跑出去,其實不單是說他很愛小兒子那麼簡單
[00:07:00.320 --> 00:07:05.200]  而是他是主動承受羞辱
[00:07:05.200 --> 00:07:09.440]  他是趕在村民羞辱小兒子之前
[00:07:09.440 --> 00:07:12.880]  用自己的羞辱去保護小兒子
[00:07:12.880 --> 00:07:18.320]  所以作者認為這個畫面帶有某種袋鼠的意味
[00:07:18.320 --> 00:07:26.640]  即是父親用自己承受羞辱去換取小兒子被重新接納
[00:07:26.640 --> 00:07:31.760]  所以如果這樣理解,這個比喻就不再純粹說父愛那麼簡單
[00:07:31.760 --> 00:07:35.040]  而是說十字架的恩典
[00:07:35.040 --> 00:07:40.320]  第三個比喻我們再看就是好撒瑪利亞人
[00:07:40.320 --> 00:07:43.600]  很多時候我們看到好撒瑪利亞人的比喻
[00:07:43.600 --> 00:07:49.680]  都會理解成我們要幫助別人、幫助我們的鄰舍
[00:07:49.680 --> 00:07:55.920]  貝利提醒一件事,背後其實是一場神學辯論
[00:07:55.920 --> 00:07:59.440]  律法師問誰是我的鄰舍
[00:07:59.440 --> 00:08:05.120]  其實背後是在問究竟我應該愛哪一類人
[00:08:05.120 --> 00:08:13.920]  耶穌反而反問:誰是那個落在強盜手中的人的鄰舍呢?
[00:08:13.920 --> 00:08:19.280]  即是說焦點不是界定哪一個人更加值得我愛
[00:08:19.280 --> 00:08:25.600]  而是你願不願意成為別人的鄰舍呢?
[00:08:25.600 --> 00:08:29.360]  更加特別的是在這個比喻中
[00:08:29.360 --> 00:08:34.000]  耶穌竟然選擇了撒瑪利亞人成為英雄
[00:08:34.000 --> 00:08:42.960]  對猶太人來說,撒瑪利亞人是異端、混血、宗教污穢的人
[00:08:42.960 --> 00:08:49.120]  所以可以說是我們今天最不喜歡見到、最有偏見的那一類人
[00:08:49.120 --> 00:08:54.480]  而他們正正成為了上帝國度的榜樣
[00:08:54.480 --> 00:09:01.360]  我想對當時的聽眾來說,其實聽完耶穌這樣說會非常不舒服
[00:09:01.360 --> 00:09:10.960]  但我覺得貝利舉這堆例子對我們特別是華人教會來說是頗有價值的
[00:09:10.960 --> 00:09:21.200]  因為華人教會在普遍上讀經時都會傾向靈修化或道德化
[00:09:21.200 --> 00:09:28.560]  但貝利提醒我們重點是耶穌的比喻不是在說心靈雞湯
[00:09:28.560 --> 00:09:33.920]  而是耶穌透過文化的衝擊、透過人際的張力
[00:09:33.920 --> 00:09:37.920]  去迫我們去面對上帝的國度
[00:09:37.920 --> 00:09:47.120]  另外,對華人教會來說都很重要的是
[00:09:47.120 --> 00:09:51.520]  作者貝利頗重視群體而不是單純個人
[00:09:51.520 --> 00:09:57.440]  在西方世界,很多時候都會傾向個人主義
[00:09:57.440 --> 00:10:01.600]  但中東的文化其實是一個群體的世界
[00:10:01.600 --> 00:10:07.680]  名譽是群體的,修育是群體的,接納也是群體的
[00:10:07.680 --> 00:10:11.520]  所以如果我們私下福音時只想著「我得救」
[00:10:11.520 --> 00:10:23.440]  可能我們會很容易誤解在福音書或新約聖經所講的很多比喻或其他意思
[00:10:23.440 --> 00:10:30.480]  所以最後一句,作者在這本書很重要的提醒就是
[00:10:30.480 --> 00:10:34.480]  耶穌的比喻不是一些很平面的道德故事
[00:10:34.480 --> 00:10:40.320]  而是說當上帝的國度進入到我們人類的世界
[00:10:40.320 --> 00:10:43.920]  所產生的震撼和反轉
[00:10:43.920 --> 00:10:48.720]  所以我們重新用這個方式去看福音書時
[00:10:48.720 --> 00:10:56.400]  我們會發現耶穌的比喻比我們想像中有意思得多
[00:10:56.400 --> 00:10:59.600]  而不是一些單純的道德教訓
[00:10:59.600 --> 00:11:03.520]  今日我們分享到這裏,我們下次再見,拜拜
