
[00:00:00.000 --> 00:00:02.280]  大家或許會記得一位人物
[00:00:02.280 --> 00:00:03.480]  陶樹博士
[00:00:03.480 --> 00:00:06.000]  是宣導了一位很重要的先賢
[00:00:06.000 --> 00:00:08.520]  他曾經說過這樣的說話
[00:00:08.520 --> 00:00:12.680]  他說聖誕節是眾多節日當中
[00:00:12.680 --> 00:00:15.560]  最富宗教氣息的節日
[00:00:15.560 --> 00:00:20.440]  但同時是最少敬虔儀式的日子
[00:00:20.440 --> 00:00:23.800]  很多宗教的活動
[00:00:23.800 --> 00:00:26.200]  很多宗教的美道的活動
[00:00:26.440 --> 00:00:30.480]  但亦是最少敬虔時刻的日子
[00:00:30.480 --> 00:00:33.320]  他繼續說
[00:00:33.320 --> 00:00:36.520]  很多人期望聖誕節有很多歡樂
[00:00:36.520 --> 00:00:41.240]  因此聖誕節亦成為了特許放縱的日子
[00:00:41.240 --> 00:00:44.000]  認為可以尋找歡樂
[00:00:44.000 --> 00:00:46.000]  因此隨便放縱自己
[00:00:46.000 --> 00:00:50.720]  這是很多年前一位屬靈的長輩
[00:00:50.720 --> 00:00:54.040]  他的觀察、他的體會
[00:00:54.800 --> 00:00:59.240]  聖誕節時很多人很願意尋找歡樂
[00:00:59.240 --> 00:01:01.880]  但同時很多報告指出
[00:01:01.880 --> 00:01:06.880]  聖誕節是世界大城市自殺率最高的一天
[00:01:06.880 --> 00:01:10.040]  當然當我們說這些事情時
[00:01:10.040 --> 00:01:12.360]  好像比較灰暗的情況
[00:01:12.360 --> 00:01:15.320]  聖誕節確實是值得我們歡欣的
[00:01:15.320 --> 00:01:17.400]  值得我們感恩的
[00:01:17.400 --> 00:01:18.840]  去快樂的日子
[00:01:18.840 --> 00:01:23.600]  但如果我們未曾經歷過神自己赦罪的恩惠
[00:01:23.920 --> 00:01:27.560]  若不是能夠遠離罪惡的捆綁
[00:01:27.560 --> 00:01:30.280]  我們不會得到真正的快樂
[00:01:30.280 --> 00:01:35.760]  真正的快樂是源於我們那份從天而來的拯救
[00:01:35.760 --> 00:01:39.520]  因此我們今天作為教徒領受救恩的一群
[00:01:39.520 --> 00:01:41.920]  我們可以學習去快樂
[00:01:41.920 --> 00:01:45.440]  這種快樂叫我們常常想起
[00:01:45.440 --> 00:01:47.600]  是從主耶穌基督而來的
