
[00:00:00.000 --> 00:00:02.720]  歡迎大家來到《神學茶館》
[00:00:02.720 --> 00:00:04.720]  我們來到第二節
[00:00:04.720 --> 00:00:07.720]  很開心繼續有黃錦雯神父
[00:00:07.720 --> 00:00:09.720]  和我們一起對話
[00:00:09.720 --> 00:00:13.720]  我們上一節就有提到
[00:00:13.720 --> 00:00:16.720]  新教和公教
[00:00:16.720 --> 00:00:20.720]  大家常常都有舊約新教
[00:00:20.720 --> 00:00:22.720]  我們今天就來講一下
[00:00:22.720 --> 00:00:26.720]  新教和公教的關聯
[00:00:26.720 --> 00:00:30.720]  大家常常都有舊約新約聖經
[00:00:30.720 --> 00:00:32.720]  但看法已經很不同
[00:00:32.720 --> 00:00:36.720]  例如我們聖餐很強調紀念
[00:00:36.720 --> 00:00:40.720]  公教就很強調奧秘
[00:00:40.720 --> 00:00:42.720]  很強調在禮儀裏面
[00:00:42.720 --> 00:00:46.720]  教會一同去獻祭
[00:00:46.720 --> 00:00:50.720]  這一節我們進入到更加核心的話題
[00:00:50.720 --> 00:00:55.720]  特別是可能大家更加有分歧的地方
[00:00:55.720 --> 00:00:58.720]  就是有關基督的臨在
[00:00:58.720 --> 00:01:01.720]  公教對公教來說
[00:01:01.720 --> 00:01:03.720]  很核心的一個信念
[00:01:03.720 --> 00:01:05.720]  就是在感恩祭裏面
[00:01:05.720 --> 00:01:08.720]  基督是真實地臨在
[00:01:08.720 --> 00:01:11.720]  在餅和酒裏面
[00:01:11.720 --> 00:01:14.720]  請神父幫我們去講解一下
[00:01:14.720 --> 00:01:18.720]  首先我要補充一點
[00:01:18.720 --> 00:01:22.720]  其實楊博士上次講到
[00:01:22.720 --> 00:01:24.720]  在新教傳統裏面
[00:01:24.720 --> 00:01:26.720]  特別是他自己的傳統裏面
[00:01:26.720 --> 00:01:29.720]  他強調聖餐的紀念
[00:01:29.720 --> 00:01:32.720]  這個為我們公教完全接受
[00:01:32.720 --> 00:01:35.720]  感恩祭其中一個意思就是紀念
[00:01:35.720 --> 00:01:37.720]  這個我們完全接受
[00:01:37.720 --> 00:01:39.720]  因為這個是事實
[00:01:39.720 --> 00:01:41.720]  兩千年前真的發生過這件事
[00:01:41.720 --> 00:01:43.720]  我們需要每一個世代
[00:01:43.720 --> 00:01:45.720]  每一個時刻都要紀念這件事
[00:01:45.720 --> 00:01:47.720]  這一方面我認為
[00:01:47.720 --> 00:01:49.720]  我們和新教是沒有任何衝突的
[00:01:49.720 --> 00:01:52.720]  只不過我們除了紀念
[00:01:52.720 --> 00:01:54.720]  我們還強調一件事
[00:01:54.720 --> 00:01:58.720]  感恩祭是一個真實的獻祭
[00:01:58.720 --> 00:02:00.720]  好像上次所講
[00:02:00.720 --> 00:02:03.720]  我們每一次舉行感恩祭的時候
[00:02:03.720 --> 00:02:06.720]  就是以那些可以見到的禮儀的標記
[00:02:06.720 --> 00:02:09.720]  將兩千年前主耶穌的如意傲職
[00:02:09.720 --> 00:02:12.720]  在此時此刻真實呈現出來
[00:02:12.720 --> 00:02:14.720]  讓我們能夠參與
[00:02:14.720 --> 00:02:16.720]  也因為這樣
[00:02:16.720 --> 00:02:19.720]  所以我們在感恩祭裏面
[00:02:19.720 --> 00:02:21.720]  我們所祝聖的那個
[00:02:21.720 --> 00:02:24.720]  麵餅已經不是麵餅了
[00:02:24.720 --> 00:02:26.720]  它已經成為基督的身體
[00:02:26.720 --> 00:02:29.720]  因為這個是按照主耶穌的命令
[00:02:29.720 --> 00:02:33.720]  所以當我們在感恩祭裏面
[00:02:33.720 --> 00:02:36.720]  當我們祝聖這個聖體聖血的時候
