
[00:00:00.000 --> 00:00:06.000]  我們今天思想就是領受了普世猜拳使命的教會
[00:00:06.000 --> 00:00:10.000]  有些人會問什麼是猜拳呢?
[00:00:10.000 --> 00:00:14.000]  講宣教會明白,但是什麼叫猜拳呢?
[00:00:14.000 --> 00:00:19.000]  猜拳很明顯有兩方面的含義,第一是猜,第二是拳
[00:00:19.000 --> 00:00:24.000]  教會猜派宣教士去到前線
[00:00:24.000 --> 00:00:30.000]  在背後來支援、支持宣教士,背後做猜的工作
[00:00:30.000 --> 00:00:35.000]  宣教士被猜到前方,他們傳揚福音
[00:00:35.000 --> 00:00:41.000]  他們講述主耶穌的救恩,透過行動去服侍很多生命
[00:00:41.000 --> 00:00:47.000]  他們是傳達信仰,在前線他們工作,在後方配合
[00:00:47.000 --> 00:00:50.000]  成為了猜拳
[00:00:50.000 --> 00:00:57.000]  而猜和傳必須互相配合,才能完成神賜教會的大使命
[00:00:57.000 --> 00:01:01.000]  因此當我們想到猜拳的時候,可以說每一個人都有份
[00:01:01.000 --> 00:01:07.000]  無論前線或後方,都一齊關心宣教的事情
[00:01:07.000 --> 00:01:10.000]  當然當我們想到宣教的時候,其實我們會想到
[00:01:10.000 --> 00:01:15.000]  其實教會的存在目的就是為了宣教
[00:01:15.000 --> 00:01:20.000]  不單單我們蒙受救恩,甚至設立教會
[00:01:20.000 --> 00:01:25.000]  是讓我們成為了叫人與神和好的一個群體
[00:01:25.000 --> 00:01:30.000]  叫我們能夠將福音帶給別人,以至能夠叫人與神和好
[00:01:30.000 --> 00:01:35.000]  大家記得我們上星期是甚麼主人?
[00:01:35.000 --> 00:01:39.000]  很快就過了,是社關主人
[00:01:39.000 --> 00:01:45.000]  我們說社會關懷是教徒愛心的服事
[00:01:45.000 --> 00:01:51.000]  我們說到宣教,亦是教徒愛心的宣講
[00:01:51.000 --> 00:01:57.000]  服事和宣講結合一起,就成為了我們福音的見證
[00:01:57.000 --> 00:02:00.000]  在這個世界上去見證主耶穌的福音
[00:02:00.000 --> 00:02:05.000]  透過行動,透過說話,來清楚地表達出來
[00:02:05.000 --> 00:02:13.000]  如果教會不去傳福音,亦可以說是失去我們自己存在的目的
[00:02:13.000 --> 00:02:16.000]  好像甚麼呢?好像一間消防局
[00:02:16.000 --> 00:02:19.000]  消防局如果裡面有很多不同的活動
[00:02:19.000 --> 00:02:23.000]  包括了員工之間很多的聯誼的活動
[00:02:23.000 --> 00:02:27.000]  或者是包括了很多培訓的工作,訓練的工作
[00:02:27.000 --> 00:02:36.000]  但如果消防局不去救火,它就失去了它存在的價值
[00:02:36.000 --> 00:02:40.000]  我相信在我們當中,亦都需要神不斷地提醒我們
[00:02:40.000 --> 00:02:44.000]  如何能夠去按神給我們的心意,發揮我們的作用
[00:02:44.000 --> 00:02:46.000]  我們就真正的蒙恩
[00:02:46.000 --> 00:02:48.000]  因此聖經的《路加福音》第24章
[00:02:48.000 --> 00:02:53.000]  說到主耶穌復活之後,祂帶給我們一個重要的訊息
[00:02:53.000 --> 00:02:57.000]  大家一起翻看聖經,《路加福音》第24章
[00:02:57.000 --> 00:03:05.000]  在當時聖經提及在二馬五司路上遇見主的兩個門徒
[00:03:05.000 --> 00:03:09.000]  他們趕快返回耶路撒冷,告訴其他門徒知道
[00:03:09.000 --> 00:03:11.000]  他們見到耶穌了
[00:03:11.000 --> 00:03:15.000]  但當時門徒似乎都未能相信這件事情
[00:03:15.000 --> 00:03:18.000]  主幫助他們,堅固他們的信心
[00:03:18.000 --> 00:03:21.000]  就親自顯現在他們當中
[00:03:21.000 --> 00:03:23.000]  第36節
[00:03:23.000 --> 00:03:28.000]  正說者說的時候,耶穌親自站在他們當中說
[00:03:28.000 --> 00:03:31.000]  「願你們平安」
[00:03:31.000 --> 00:03:34.000]  你會記得聖經《路加福音》第20章
[00:03:34.000 --> 00:03:36.000]  同樣說這件事情
[00:03:36.000 --> 00:03:38.000]  當主耶穌差派我們的時候
[00:03:38.000 --> 00:03:42.000]  祂永遠將平安應許給我們
[00:03:42.000 --> 00:03:46.000]  應許平安在先,然後才會有差遣
[00:03:46.000 --> 00:03:49.000]  我們很多時候會有很多不同的掛慮
[00:03:49.000 --> 00:03:54.000]  除非我們憑著信心領受主的平安
[00:03:54.000 --> 00:03:58.000]  否則我們不能夠回應神對我們的心意
