
[00:00:00.000 --> 00:00:04.000]  在最近一年的報紙裏面
[00:00:04.000 --> 00:00:08.600]  在內文中會有一些調查的數字出來
[00:00:08.600 --> 00:00:12.360]  就是說無論是小學生還是中學生
[00:00:12.360 --> 00:00:16.960]  有多少成的學生是在抑鬱的狀況裏面呢
[00:00:16.960 --> 00:00:22.360]  我印象裏面在不同的時候
[00:00:22.360 --> 00:00:24.000]  無論是小學生還是中學生
[00:00:24.000 --> 00:00:29.560]  大約有三成的學生最少有抑鬱的狀況
[00:00:29.960 --> 00:00:34.680]  我相信這個狀況不單止是在
[00:00:34.680 --> 00:00:42.760]  在這個情況裏面
[00:00:42.760 --> 00:00:45.880]  不單止是在中學生和小學生的情況裏面
[00:00:45.880 --> 00:00:49.360]  我相信在一個成人裏面
[00:00:49.360 --> 00:00:53.960]  我估計最少三成人有抑鬱的狀況
[00:00:54.640 --> 00:01:00.320]  也有不少的數字或者一些訪問都可以說出
[00:01:00.320 --> 00:01:02.920]  一些社會如果越來越發達
[00:01:02.920 --> 00:01:06.160]  發展的國家、發展的城市
[00:01:06.160 --> 00:01:08.920]  當中的人的生活不是越來越快樂
[00:01:08.920 --> 00:01:11.480]  反而是越來越不快樂
[00:01:11.480 --> 00:01:14.920]  因為生活的壓力是越來越大
[00:01:14.920 --> 00:01:19.280]  反而那些物質沒有那麼豐富的地方生活的人
[00:01:19.280 --> 00:01:22.480]  他們可能相對來說物質生活沒有那麼豐富
[00:01:22.600 --> 00:01:27.280]  但是快樂的指數相對來說是會高一些的
[00:01:27.280 --> 00:01:30.000]  我想在我們的身處社會裏面
[00:01:30.000 --> 00:01:31.520]  我們都感受到一件事
[00:01:31.520 --> 00:01:35.120]  香港社會是一路發展的城市
[00:01:35.120 --> 00:01:38.240]  但是人所面臨的社會上
[00:01:38.240 --> 00:01:41.600]  生活上的壓力指數越來越高
[00:01:41.600 --> 00:01:45.120]  但是另一方面人去面對的困境
[00:01:45.120 --> 00:01:48.840]  和困難的能力
[00:01:49.040 --> 00:01:53.120]  相對來說好像越來越偏低
[00:01:53.120 --> 00:01:56.200]  所以因為這樣的緣故
[00:01:56.200 --> 00:01:59.680]  有很多時候我們會看到一些後果
[00:01:59.680 --> 00:02:02.840]  有很多不愉快的事情我們會看到
[00:02:02.840 --> 00:02:07.280]  所以今天都希望透過保羅的一些經歷和體會
[00:02:07.280 --> 00:02:08.240]  去幫助我們
[00:02:08.240 --> 00:02:12.800]  究竟我們怎樣可以看我們人生的困難
[00:02:12.800 --> 00:02:14.880]  或者人生的逆境呢?
[00:02:14.880 --> 00:02:17.640]  保羅怎樣看自己的困難和逆境?
[00:02:17.640 --> 00:02:19.320]  為何他會這樣看?
[00:02:19.320 --> 00:02:20.480]  去幫助我們
[00:02:20.480 --> 00:02:22.560]  如果我們在困難逆境裏面
[00:02:22.560 --> 00:02:27.000]  我們都學習可以同樣地去面對我們的困難
[00:02:27.000 --> 00:02:28.200]  和我們的逆境
[00:02:28.200 --> 00:02:32.240]  保羅在第一章
[00:02:32.240 --> 00:02:34.080]  保羅的《肥沃比書》第一章
[00:02:34.080 --> 00:02:36.360]  十二至十四章裏面提到
[00:02:36.360 --> 00:02:39.320]  他自己在坐牢的時候
[00:02:39.320 --> 00:02:41.320]  他說在福音
[00:02:41.320 --> 00:02:42.760]  無論在監裏面
[00:02:42.760 --> 00:02:44.000]  無論在監外面
[00:02:44.000 --> 00:02:46.360]  福音是更加的興旺
[00:02:47.360 --> 00:02:50.400]  這段經文是記載在《肥沃比書》的第一章
[00:02:50.400 --> 00:02:52.560]  《肥沃比書》在《新約聖經》裏面
[00:02:52.560 --> 00:02:54.720]  是有四卷的福音書
[00:02:54.720 --> 00:02:57.680]  四卷的書叫做《監獄書信》
[00:02:57.680 --> 00:02:59.080]  是保羅所寫的
[00:02:59.080 --> 00:03:00.560]  是保羅在坐牢的時候
[00:03:00.560 --> 00:03:06.680]  寫給不同教會的信徒的一些信息的內容
[00:03:06.680 --> 00:03:09.920]  《肥沃比書》就是保羅正正在坐牢裏面
[00:03:09.920 --> 00:03:11.920]  他講出了他自己的心境
[00:03:11.920 --> 00:03:13.440]  他在講出
[00:03:13.440 --> 00:03:15.120]  我坐牢的時候
[00:03:15.120 --> 00:03:18.320]  他所關心的不是他的困境
[00:03:18.320 --> 00:03:21.200]  他的焦點也不是在自己的困難裏面
[00:03:21.200 --> 00:03:23.440]  他所看見的就是福音
[00:03:23.440 --> 00:03:25.760]  如何在我坐牢的過程裏面
[00:03:25.760 --> 00:03:28.480]  仍然不斷地去傳開
