
[00:00:00.000 --> 00:00:03.800]  教會裡面失去了目者心
[00:00:03.800 --> 00:00:07.080]  我們就很難很難有作為了
[00:00:07.080 --> 00:00:10.560]  教會裡面我們失去了目者心
[00:00:10.560 --> 00:00:12.960]  我們就很難很難有作為了
[00:00:12.960 --> 00:00:16.000]  我們今天教會的希望
[00:00:16.000 --> 00:00:23.040]  就是每一個弟兄姊妹都有目者心
[00:00:23.040 --> 00:00:29.160]  不但只有一個傳道人做目人
[00:00:29.400 --> 00:00:32.240]  不但只有一個傳道人做目人
[00:00:32.240 --> 00:00:37.320]  但是一個目人變成幾十幾百個目人
[00:00:37.320 --> 00:00:43.680]  那樣教會一定興旺
[00:00:43.680 --> 00:00:47.720]  我們在這個時代裡頭
[00:00:47.720 --> 00:00:54.040]  我們常常聽見群眾運動
[00:00:54.040 --> 00:00:57.480]  我們常常聽見群眾運動
[00:00:57.520 --> 00:01:00.480]  在基督教會裡頭
[00:01:00.480 --> 00:01:11.880]  我們也要靠著主來發動所有的弟兄姊妹都起來
[00:01:11.880 --> 00:01:15.520]  沒有旁觀者
[00:01:15.520 --> 00:01:19.040]  沒有第三者
[00:01:19.040 --> 00:01:22.320]  都是當事人
[00:01:22.320 --> 00:01:25.560]  都投入其中
[00:01:25.800 --> 00:01:31.680]  將我們所領受的恩賜發揮出來
[00:01:31.680 --> 00:01:33.960]  伸出我們的手
[00:01:33.960 --> 00:01:38.160]  大家手牽手
[00:01:38.160 --> 00:01:40.880]  心連心
[00:01:40.880 --> 00:01:45.440]  一同跟從我們的大目人
[00:01:45.440 --> 00:01:50.760]  來走一條教會復興之路
[00:01:51.200 --> 00:01:56.480]  主再來的日子越來越近了
[00:01:56.480 --> 00:01:59.240]  我們向前看
[00:01:59.240 --> 00:02:02.880]  我們等候主的再來
[00:02:02.880 --> 00:02:08.400]  我們的天父還是坐在寶座上
[00:02:08.400 --> 00:02:11.600]  對我們向上看
[00:02:11.600 --> 00:02:16.240]  我們的時代有特殊的意義
[00:02:16.240 --> 00:02:19.280]  這個時代包圍我們
[00:02:19.280 --> 00:02:21.280]  所以我們向外看
[00:02:21.280 --> 00:02:24.880]  我們認識我們的時代
[00:02:24.880 --> 00:02:26.400]  我們要去認識我們的時代
[00:02:26.400 --> 00:02:34.000]  也在這個時代中發現了不改變的傳福音的原則
[00:02:34.000 --> 00:02:42.320]  我們一直是向外傳福音
[00:02:42.320 --> 00:02:46.720]  我們一直是向外的傳福音
[00:02:46.720 --> 00:02:51.280]  我們同時向後看
[00:02:51.280 --> 00:02:54.920]  我們今天晚上要向後看
[00:02:54.920 --> 00:02:56.600]  今天晚上我們要向後看
[00:02:56.600 --> 00:03:00.680]  要看使徒時代
[00:03:00.680 --> 00:03:04.320]  當聖靈降下
[00:03:04.320 --> 00:03:07.680]  充滿教會
[00:03:07.680 --> 00:03:14.320]  他們開始了新的行動
[00:03:14.320 --> 00:03:17.520]  有了新的活力
[00:03:17.520 --> 00:03:20.640]  有新的途徑
[00:03:20.640 --> 00:03:24.480]  發揮了新的作用
[00:03:24.480 --> 00:03:27.120]  教會發展長大
[00:03:27.120 --> 00:03:29.360]  教會發展長大
[00:03:29.360 --> 00:03:33.920]  我們想到使徒時代
[00:03:33.920 --> 00:03:38.160]  在使徒的帶領之下
[00:03:38.160 --> 00:03:42.400]  他們建立了一個教會生活的模式
[00:03:42.400 --> 00:03:44.960]  他們建立了一個教會生活的模式
[00:03:44.960 --> 00:03:48.400]  其中有十個要點
[00:03:48.400 --> 00:03:54.800]  都記載在《使徒行傳》第二章裏面
[00:03:54.800 --> 00:03:56.880]  當時教會的生活
[00:03:56.880 --> 00:04:02.640]  就是按照這十個要點的途徑來追求
[00:04:02.640 --> 00:04:06.720]  當時教會的生活是按照這十個途徑來追求的
[00:04:06.720 --> 00:04:14.400]  這是他們在聖靈的帶領之下
[00:04:14.400 --> 00:04:21.760]  一直學習一直實踐的
[00:04:21.760 --> 00:04:26.560]  我們要向他們學習
[00:04:26.560 --> 00:04:32.880]  感謝神在教會歷史一開始就設下這個模式
[00:04:32.880 --> 00:04:36.240]  主要教會歷史一開始的時候就是在這個模式裏面
[00:04:36.240 --> 00:04:38.640]  不管我們的時代如何的改變
[00:04:38.640 --> 00:04:40.400]  不管我們的時代如何改變
[00:04:40.400 --> 00:04:43.840]  但是這個基本的模式的要點
[00:04:43.840 --> 00:04:47.600]  還是活的還是真的
[00:04:47.600 --> 00:04:52.720]  這個基本模式的要點還是活的還是真的
[00:04:52.720 --> 00:04:55.920]  今天晚上我們的第一部分的時間
[00:04:55.920 --> 00:04:58.560]  就是看看這個模式
[00:04:58.560 --> 00:05:02.400]  萬世典型的模式
