
[00:00:00.000 --> 00:00:02.240]  大家會記得我們在上星期開始
[00:00:02.240 --> 00:00:06.360]  我們思想聖經大義利書裏面的經文
[00:00:06.360 --> 00:00:10.360]  我們都提及過大義利書裏面一個很核心的訊息
[00:00:10.360 --> 00:00:15.040]  就是神在人間掌權
[00:00:15.040 --> 00:00:21.440]  這位上帝祂的神權超越地上的王權
[00:00:21.440 --> 00:00:25.040]  超越地上所有的政權
[00:00:25.040 --> 00:00:30.040]  是你一路讀大義利書的時候很清楚地看見的
[00:00:30.040 --> 00:00:33.640]  當然聖經裏面都提及當時很多的皇帝
[00:00:33.640 --> 00:00:36.680]  包括了一些很殘暴的
[00:00:36.680 --> 00:00:41.680]  或者是我們所說的獨裁的一些君王
[00:00:41.680 --> 00:00:45.000]  但是大義利在整個過程當中很清楚地表明
[00:00:45.000 --> 00:00:49.480]  他相信有一位是萬王之王
[00:00:49.480 --> 00:00:52.520]  而因為對於這位上帝的信心
[00:00:52.520 --> 00:00:59.720]  他顯出一種很驚訝的勇敢和堅定
[00:00:59.720 --> 00:01:02.600]  是讓我們看見在他們生命當中
[00:01:02.600 --> 00:01:07.520]  透過他見證出自己的真實
[00:01:07.520 --> 00:01:11.800]  當然我們今天有些時候在我們所身處的環境
[00:01:11.800 --> 00:01:14.920]  我們有時都會很容易將我們的期望
[00:01:14.920 --> 00:01:17.560]  我們的盼望放在一些地上的
[00:01:17.560 --> 00:01:21.600]  一些有權勢的人或者政權的身上
[00:01:21.600 --> 00:01:28.440]  我們都會以為所有的事情都在乎這些權勢
[00:01:28.440 --> 00:01:34.440]  在過程中我們有時會用一些很短線的眼光看今天
[00:01:34.440 --> 00:01:39.640]  以為今天所發生的事情就是永遠的事實
[00:01:39.640 --> 00:01:41.240]  但是我們何時這樣看的時候
[00:01:41.240 --> 00:01:46.520]  我們心裏容易出現一種失望、失樂
[00:01:46.520 --> 00:01:49.000]  又或者裏面有一種感覺
[00:01:49.000 --> 00:01:52.200]  我們要靠自己去做一些事情
[00:01:52.200 --> 00:01:58.520]  而有時會不期然出現一些自恃、一些躁動
[00:01:58.520 --> 00:02:03.480]  一些不是真的能夠去祝福人的行動
[00:02:03.480 --> 00:02:06.480]  何時我們回頭看聖經
[00:02:06.480 --> 00:02:09.760]  但在《大義》書裏面講述這位大義尼
[00:02:09.760 --> 00:02:13.000]  他都面對著很多很多危難的日子
[00:02:13.000 --> 00:02:14.680]  但他很清楚地表明
[00:02:14.680 --> 00:02:20.800]  他相信最終的終局在神的手中
[00:02:20.800 --> 00:02:23.920]  他相信有一位萬王之王
[00:02:23.920 --> 00:02:26.040]  因此在過程裏面他信靠神
[00:02:26.040 --> 00:02:28.320]  他亦都不會讓自己失望
[00:02:28.320 --> 00:02:34.480]  亦都不會去靠自己的防備、自己的力量去解決問題
[00:02:34.480 --> 00:02:39.360]  而在過程當中他配合著神自己的工作
[00:02:39.360 --> 00:02:42.040]  做他當做的事
[00:02:42.040 --> 00:02:46.840]  而過程裏面神用他將平安帶給很多很多的人
[00:02:46.840 --> 00:02:49.640]  更重要的是他見證出
[00:02:49.640 --> 00:02:53.240]  這位上帝是一位掌權的上帝
[00:02:53.240 --> 00:02:57.920]  一位滿有恩惠的上帝
[00:02:57.920 --> 00:03:00.160]  我們會再讀《大義》書
[00:03:00.160 --> 00:03:01.240]  但當你再讀的時候
[00:03:01.240 --> 00:03:03.120]  純純想起一件事情
[00:03:03.120 --> 00:03:06.520]  就是這位的神是掌權的上帝
[00:03:06.520 --> 00:03:09.120]  我們看回聖經今天第二章的經文
[00:03:09.120 --> 00:03:15.400]  首先你會很快留意到
[00:03:15.400 --> 00:03:18.800]  但願你相信有一位萬王之王
[00:03:18.800 --> 00:03:23.800]  所以你會見到他內心有一種很自然的勇敢
[00:03:23.800 --> 00:03:27.920]  這種勇敢叫他能夠放膽面對
[00:03:27.920 --> 00:03:31.520]  在當前他所面對的那些危機
[00:03:31.520 --> 00:03:34.840]  在第二章剛才你沒有機會讀到的
[00:03:34.840 --> 00:03:37.240]  第一到第十六節有提及到
[00:03:37.240 --> 00:03:38.800]  就是當時尼泊爾加勒沙王
[00:03:38.800 --> 00:03:40.800]  他發了一個夢
[00:03:40.800 --> 00:03:42.600]  大家都知道
[00:03:42.600 --> 00:03:45.800]  他發了一個夢不是奇怪的事情
[00:03:45.800 --> 00:03:50.200]  但奇怪的事情是他自己要求別人
[00:03:50.200 --> 00:03:53.600]  將他的夢的內容說出來
[00:03:53.600 --> 00:03:57.000]  以及去解釋他的夢
[00:03:57.000 --> 00:04:03.200]  你說人的想法你尚且不會知道
[00:04:03.200 --> 00:04:06.480]  何況他發夢我怎會知道呢
[00:04:06.480 --> 00:04:09.400]  大家知道很多夢境不是這麼邏輯的
[00:04:09.400 --> 00:04:12.400]  我聽過一些朋友說起一些夢
[00:04:12.400 --> 00:04:14.600]  這樣的夢都可以?
[00:04:14.600 --> 00:04:18.400]  你現在幾十歲怎會是小學生呢?
[00:04:18.400 --> 00:04:20.880]  怎會現在回到自己的小學
[00:04:20.880 --> 00:04:25.280]  去見你的同學做些什麼呢?
[00:04:25.280 --> 00:04:29.080]  夢不可能是別人會知道的
[00:04:29.080 --> 00:04:33.280]  這位君王他心裏面煩擾
[00:04:33.280 --> 00:04:35.080]  其實當你小心看的時候
[00:04:35.080 --> 00:04:38.200]  聖經並不是說他忘記了他的夢
[00:04:38.200 --> 00:04:40.600]  否則就不會煩擾的
[00:04:40.600 --> 00:04:43.800]  忘記了他的夢怎會煩擾他的心呢?
[00:04:43.800 --> 00:04:46.400]  聖經本來有提及忘記
[00:04:46.400 --> 00:04:51.000]  但原來意思是在說他定命
[00:04:51.000 --> 00:04:53.400]  他立定了一個心意
[00:04:53.400 --> 00:04:55.600]  他要知道這些術士
