
[00:00:00.000 --> 00:00:05.000]  宣讀哥林多後書第五章十一到二十一節
[00:00:05.000 --> 00:00:10.000]  還有第六章第一到第二節
[00:00:10.000 --> 00:00:14.000]  既然我們知道主是可畏的
[00:00:14.000 --> 00:00:16.000]  就勸導人
[00:00:16.000 --> 00:00:19.000]  但是上帝是認識我們的
[00:00:19.000 --> 00:00:24.000]  我盼望你們的良心也認識我們
[00:00:24.000 --> 00:00:28.000]  我們不是向你們在推薦自己
[00:00:28.000 --> 00:00:33.000]  而是要讓你們有誇耀我們的機會
[00:00:33.000 --> 00:00:37.000]  使你們好面對那憑外貌
[00:00:37.000 --> 00:00:40.000]  不憑內心誇耀的人
[00:00:40.000 --> 00:00:44.000]  如果我們癲狂是為上帝
[00:00:44.000 --> 00:00:49.000]  如果我們清醒是為你們
[00:00:49.000 --> 00:00:53.000]  原來基督的愛激勵我們
[00:00:53.000 --> 00:00:56.000]  因我們這樣斷定
[00:00:56.000 --> 00:00:59.000]  一人既替眾人死
[00:00:59.000 --> 00:01:02.000]  眾人就都死了
[00:01:02.000 --> 00:01:05.000]  並且他替眾人死
[00:01:05.000 --> 00:01:08.000]  是叫那些活著的人
[00:01:08.000 --> 00:01:10.000]  不再為自己活
[00:01:10.000 --> 00:01:16.000]  乃為替他們死而復活的主活
[00:01:16.000 --> 00:01:19.000]  所以從今以後
[00:01:19.000 --> 00:01:24.000]  我們不再按照人的看法來認識人
[00:01:24.000 --> 00:01:29.000]  縱使我們曾經按照人的看法認識基督
[00:01:29.000 --> 00:01:34.000]  如今卻不再這樣認識他了
[00:01:34.000 --> 00:01:39.000]  所以若有人在基督裡
[00:01:39.000 --> 00:01:42.000]  他就是新造的人
[00:01:42.000 --> 00:01:44.000]  就是已過
[00:01:44.000 --> 00:01:48.000]  都變成新的了
[00:01:48.000 --> 00:01:51.000]  一切都是出於上帝
[00:01:51.000 --> 00:01:54.000]  他在基督裡
[00:01:54.000 --> 00:01:58.000]  他藉著基督使我們與他和好
[00:01:58.000 --> 00:02:03.000]  又將勸人與他和好的使命賜給我們
[00:02:03.000 --> 00:02:06.000]  這就是上帝在基督裡
[00:02:06.000 --> 00:02:09.000]  使世人與自己和好
[00:02:09.000 --> 00:02:15.000]  不將他們的過犯歸到他們身上
[00:02:15.000 --> 00:02:20.000]  並且將這和好的信息託付了我們
[00:02:20.000 --> 00:02:22.000]  我們做基督的特使
[00:02:22.000 --> 00:02:28.000]  就好像上帝藉我們勸你們一般
[00:02:28.000 --> 00:02:34.000]  我們替基督求你們與上帝和好吧
[00:02:34.000 --> 00:02:40.000]  上帝使那無罪的替我們成為罪
[00:02:40.000 --> 00:02:45.000]  好使我們在他裡面成為上帝的義
[00:02:45.000 --> 00:02:48.000]  第六章第一節
[00:02:48.000 --> 00:02:51.000]  我們與上帝同工的也勸你們
[00:02:51.000 --> 00:02:54.000]  不可白受他的恩典
