
[00:00:00.000 --> 00:00:03.220]  我們懇求祢光照我們
[00:00:03.220 --> 00:00:06.660]  讓我們看見自己的真相
[00:00:06.660 --> 00:00:09.820]  主啊,您因為您要的
[00:00:09.820 --> 00:00:12.860]  是我們的真相、真心
[00:00:12.860 --> 00:00:16.800]  主啊,我們何等的虧騙
[00:00:16.800 --> 00:00:19.860]  我們常常不知不覺
[00:00:19.860 --> 00:00:22.180]  注重了我們的外表
[00:00:22.180 --> 00:00:25.280]  過於我們的內心
[00:00:25.280 --> 00:00:28.380]  主啊,有的時候我們自己
[00:00:28.380 --> 00:00:30.380]  都被自己欺騙了
[00:00:30.380 --> 00:00:33.480]  我們懇求聖靈
[00:00:33.480 --> 00:00:35.680]  真理的靈
[00:00:35.680 --> 00:00:40.080]  帶領我們進入真理和真實
[00:00:40.080 --> 00:00:43.040]  讓我們在您面前
[00:00:43.040 --> 00:00:45.320]  蒙您悅納
[00:00:45.320 --> 00:00:48.640]  主啊,我們真知道
[00:00:48.640 --> 00:00:50.840]  人是看外貌
[00:00:50.840 --> 00:00:53.880]  但是您是看內心
[00:00:53.880 --> 00:00:57.200]  求主幫助我們
[00:00:57.800 --> 00:01:02.600]  向內心裡面去追求、去學習、去得道
[00:01:02.600 --> 00:01:07.080]  主啊,求您今天早上
[00:01:07.080 --> 00:01:09.400]  向我們講話
[00:01:09.400 --> 00:01:12.680]  除去我們一切的攔阻
[00:01:12.680 --> 00:01:17.600]  除去我們裡面的一切的巴黎賽人
[00:01:17.600 --> 00:01:22.000]  讓我們成為您的真實的門徒
[00:01:22.000 --> 00:01:25.280]  我們這樣仰望祈求
[00:01:25.880 --> 00:01:28.200]  奉主耶穌基督的名
[00:01:28.200 --> 00:01:30.200]  阿們
[00:01:30.200 --> 00:01:32.200]  我們繼續的
[00:01:32.200 --> 00:01:34.200]  領受真
[00:01:34.200 --> 00:01:39.800]  這一個寶貴的、重要的、基本的字
[00:01:39.800 --> 00:01:43.400]  我們信主的時候
[00:01:43.400 --> 00:01:46.200]  是因為聖靈光照
[00:01:46.200 --> 00:01:50.200]  我們看見了自己的罪人的真相
[00:01:50.200 --> 00:01:53.000]  所以我們悔改
[00:01:53.000 --> 00:01:56.000]  信主、接受真、救主
[00:01:56.000 --> 00:01:59.000]  我們信主的救育後
[00:01:59.000 --> 00:02:02.000]  我們的靈性的長進
[00:02:02.000 --> 00:02:05.000]  還是靠這個真字
[00:02:05.000 --> 00:02:10.000]  讓聖靈不斷的光照我們
[00:02:10.000 --> 00:02:15.000]  不斷讓主看見我們的真相
[00:02:15.000 --> 00:02:19.000]  我們自己也看見我們的真相
[00:02:21.000 --> 00:02:24.000]  人人都有一種的本領
[00:02:24.000 --> 00:02:28.000]  就是蒙蔽自己
[00:02:28.000 --> 00:02:31.000]  假的、假的
[00:02:31.000 --> 00:02:33.000]  說多了
[00:02:33.000 --> 00:02:35.000]  就成了真的了
[00:02:35.000 --> 00:02:41.000]  我們每一個人都是自欺的高手
[00:02:41.000 --> 00:02:44.000]  我們每一個人都有這個本領
[00:02:44.000 --> 00:02:47.000]  這個本領不需要學
[00:02:48.000 --> 00:02:51.000]  我們天性裡頭就有
[00:02:51.000 --> 00:02:53.000]  撒旦
[00:02:53.000 --> 00:02:55.000]  拿手的好戲
[00:02:55.000 --> 00:02:59.000]  就是裝作光明的天使
[00:02:59.000 --> 00:03:04.000]  他最恨的就是真
[00:03:04.000 --> 00:03:08.000]  所以他要以假亂真
[00:03:08.000 --> 00:03:11.000]  把假的代替真的
[00:03:11.000 --> 00:03:15.000]  還要同時讓我們不知不覺
[00:03:15.000 --> 00:03:17.000]  有這樣的轉變
[00:03:17.000 --> 00:03:20.000]  我們還以為是真的
[00:03:20.000 --> 00:03:22.000]  真的、真的
[00:03:22.000 --> 00:03:26.000]  撒旦是我們的仇敵
[00:03:26.000 --> 00:03:31.000]  他最厲害的這一項工作
[00:03:31.000 --> 00:03:34.000]  就是以假亂真
[00:03:34.000 --> 00:03:37.000]  以邪亂正
[00:03:37.000 --> 00:03:40.000]  所以我們在主的面前
[00:03:40.000 --> 00:03:44.000]  學習保守裡面的那個真
[00:03:44.000 --> 00:03:46.000]  這個字
[00:03:46.000 --> 00:03:48.000]  言行不音
[00:03:48.000 --> 00:03:50.000]  四十五次講真
[00:03:50.000 --> 00:03:53.000]  我們真實在人生裡面
[00:03:53.000 --> 00:03:57.000]  不但四十五次要提醒自己要真
[00:03:57.000 --> 00:04:00.000]  我們一生一久
[00:04:00.000 --> 00:04:07.000]  都要一直的保持向神真誠的心
[00:04:07.000 --> 00:04:13.000]  真實的神配得真誠的心
[00:04:13.000 --> 00:04:18.000]  我們這樣的來到神的面前
[00:04:18.000 --> 00:04:22.000]  我們來到第四個分題
[00:04:22.000 --> 00:04:24.000]  真門徒
[00:04:24.000 --> 00:04:28.000]  在八章三十一節
[00:04:28.000 --> 00:04:34.000]  我們看見主講的這樣明確的話
[00:04:34.000 --> 00:04:38.000]  八章三十一節
[00:04:38.000 --> 00:04:42.000]  耶穌對信他的猶太人說
[00:04:42.000 --> 00:04:46.000]  你們若常常遵守我的道
[00:04:46.000 --> 00:04:50.000]  就真是佛的門徒
[00:04:50.000 --> 00:04:54.000]  真是主的門徒
