
[00:00:00.000 --> 00:00:03.000]  第七十八篇七十二節
[00:00:03.000 --> 00:00:12.000]  七十八篇七十二節
[00:00:12.000 --> 00:00:21.000]  於是他按心中的純正牧養他們,用手中的巧妙引導他們。
[00:00:28.000 --> 00:00:31.000]  這裡提到主手中的奇妙。
[00:00:31.000 --> 00:00:38.000]  主的手代表祂的作為,
[00:00:38.000 --> 00:00:43.000]  也代表祂的引導。
[00:00:43.000 --> 00:00:50.000]  主的引導和作為實在非常奇妙。
[00:00:50.000 --> 00:00:57.000]  在這裡兩件事合在一起講。
[00:00:57.000 --> 00:01:00.000]  神心中的純正,
[00:01:00.000 --> 00:01:07.000]  還有祂手中的奇妙,
[00:01:07.000 --> 00:01:11.000]  這兩樣合在一起就好了。
[00:01:11.000 --> 00:01:22.000]  祂的奇妙是和祂心中的純正合在一起,是平衡的,是合作的。
[00:01:22.000 --> 00:01:26.000]  這對我們是一個很大的安慰。
[00:01:26.000 --> 00:01:30.000]  再看一節聖經。
[00:01:30.000 --> 00:01:34.000]  第七十七篇,
[00:01:34.000 --> 00:01:38.000]  第十九節,
[00:01:38.000 --> 00:01:43.000]  七十七篇,十九節,
[00:01:47.000 --> 00:01:52.000]  你的道在海中,你的路在大水中。
[00:01:52.000 --> 00:02:01.000]  這裡說神的路是在大水的深處。
[00:02:01.000 --> 00:02:07.000]  也是超過我們所能夠瞭解的,
[00:02:07.000 --> 00:02:12.000]  這個大海很深,
[00:02:14.000 --> 00:02:17.000]  這個深度是超過我們能測度的,
[00:02:17.000 --> 00:02:22.000]  神的道路也是這樣。
[00:02:22.000 --> 00:02:26.000]  有的時候我們不明白,
[00:02:26.000 --> 00:02:29.000]  但是我們心裡有一個保證,
[00:02:29.000 --> 00:02:34.000]  就是神心中的純正,
[00:02:34.000 --> 00:02:39.000]  也可以說是,
[00:02:41.000 --> 00:02:42.000]  也可以說是,
[00:02:42.000 --> 00:02:46.000]  也可以說是,
[00:02:46.000 --> 00:02:52.000]  神愛我們,是真純的愛我們。
[00:02:52.000 --> 00:02:57.000]  祂的愛是保證,
[00:02:57.000 --> 00:03:01.000]  不管祂的引導是怎麼樣,
[00:03:01.000 --> 00:03:07.000]  不管祂的作為是如何過於我們所瞭解的,
[00:03:07.000 --> 00:03:10.000]  只要祂是按照心中的愛去做,
[00:03:10.000 --> 00:03:14.000]  就我們可以放心了。
[00:03:14.000 --> 00:03:24.000]  有一首詩裡面有一句話,非常寶貴,
[00:03:24.000 --> 00:03:30.000]  就是領導我們的那一隻手,有丁橫,
[00:03:30.000 --> 00:03:35.000]  我們一看見手中的丁橫,
[00:03:36.000 --> 00:03:38.000]  我們立刻放心了,
[00:03:38.000 --> 00:03:44.000]  如果主愛我,為我釘十字架,
[00:03:44.000 --> 00:03:50.000]  無論祂領我到什麼地方,
[00:03:50.000 --> 00:03:55.000]  一定是呵護祂的愛的。
[00:03:55.000 --> 00:04:00.000]  今天晚上我們要在詩篇裡面,
[00:04:00.000 --> 00:04:03.000]  看神的奇妙的作為。
[00:04:04.000 --> 00:04:06.000]  今天晚上我們要在詩篇裡面,
[00:04:06.000 --> 00:04:08.000]  看神的奇妙的作為。
[00:04:08.000 --> 00:04:13.000]  我們也要看七處的經文,
[00:04:13.000 --> 00:04:16.000]  神七方面的奇妙的作為。
[00:04:16.000 --> 00:04:21.000]  第一處的經文,
[00:04:21.000 --> 00:04:23.000]  二十三篇,
[00:04:23.000 --> 00:04:26.000]  第五節,
[00:04:26.000 --> 00:04:31.000]  二十三篇,第五節,
[00:04:31.000 --> 00:04:33.000]  這是我們很熟悉的一節,
[00:04:33.000 --> 00:04:39.000]  在我敵人面前,你為我白色顏席,
[00:04:39.000 --> 00:04:42.000]  你用油高了我的頭,
[00:04:42.000 --> 00:04:45.000]  使我的腹背滿椅。
[00:04:45.000 --> 00:04:51.000]  神在大位的敵人的面前,
[00:04:51.000 --> 00:04:53.000]  白色顏席,
[00:04:53.000 --> 00:04:56.000]  你用油高了我的頭,
[00:04:56.000 --> 00:04:59.000]  使我的腹背滿椅。
[00:04:59.000 --> 00:05:01.000]  在我敵人的面前,
[00:05:01.000 --> 00:05:02.000]  白色顏席,
[00:05:02.000 --> 00:05:08.000]  敵人的面前是很危險的地方,
[00:05:08.000 --> 00:05:14.000]  是槍林彈雨的地方,
[00:05:14.000 --> 00:05:18.000]  但是神是那樣的地方,
[00:05:18.000 --> 00:05:21.000]  成為顏席的地方。
[00:05:21.000 --> 00:05:26.000]  兩個相反的情形,
[00:05:26.000 --> 00:05:28.000]  竟然合起來。
[00:05:29.000 --> 00:05:31.000]  這實在是神奇妙的作為。
[00:05:31.000 --> 00:05:36.000]  當我們有的時候受敵人逼迫,
[00:05:36.000 --> 00:05:43.000]  神卻在這一個逼迫之中,
[00:05:43.000 --> 00:05:45.000]  給我們恩典。
[00:05:45.000 --> 00:05:51.000]  有一次我跟謝玉光先生談話,
[00:05:56.000 --> 00:05:58.000]  他剛剛從非洲的伊斯歐比亞回來,
[00:05:58.000 --> 00:06:03.000]  那個時候,
[00:06:03.000 --> 00:06:06.000]  伊斯歐比亞已經是在
[00:06:06.000 --> 00:06:08.000]  共產的政權之下,
[00:06:08.000 --> 00:06:13.000]  教會受壓力,
[00:06:13.000 --> 00:06:17.000]  但是謝先生有機會進去傳福音,
[00:06:17.000 --> 00:06:23.000]  他回來這樣說,
[00:06:24.000 --> 00:06:26.000]  在伊斯歐比亞的南部有一帶地方,
[00:06:26.000 --> 00:06:32.000]  有很多的人信主,
[00:06:32.000 --> 00:06:35.000]  在短短的幾年裡面,
[00:06:35.000 --> 00:06:38.000]  有十幾萬人信主,
