
[00:00:00.000 --> 00:00:03.000]  各位住內的弟兄姊妹
[00:00:03.000 --> 00:00:07.000]  我非常的感謝主賜給我機會
[00:00:07.000 --> 00:00:13.000]  能夠到林契伯來和大家一同靈受主的話語
[00:00:13.000 --> 00:00:15.000]  彼此的綿密
[00:00:15.000 --> 00:00:19.000]  我們在主的面前等候仰望
[00:00:19.000 --> 00:00:27.000]  求保衛是聖靈將基督的真理帶到我們的心靈的裡面
[00:00:27.000 --> 00:00:34.000]  求主是我們每一個人都用預備好的心來等候主的話語
[00:00:34.000 --> 00:00:41.000]  我們願意在這個向靈會裡面與主面對面
[00:00:41.000 --> 00:00:44.000]  感受到主在我們中間
[00:00:44.000 --> 00:00:48.000]  主在我們的心中與我們同在
[00:00:48.000 --> 00:00:54.000]  是我們每一個人都一味空空的在這個地方
[00:00:54.000 --> 00:00:56.000]  求主除去一切的攔阻
[00:00:56.000 --> 00:00:58.000]  無論是講員
[00:00:58.000 --> 00:01:00.000]  無論是弟兄姊妹
[00:01:00.000 --> 00:01:03.000]  或是整個大會的節目的進行
[00:01:03.000 --> 00:01:06.000]  都得到主親自的同在
[00:01:06.000 --> 00:01:13.000]  讓每一個節目裡面的每一個細點都成為恩典的出口
[00:01:13.000 --> 00:01:18.000]  我相信主要應驗祂的話說
[00:01:18.000 --> 00:01:22.000]  我們心裡渴慕的人必不空手回去
[00:01:22.000 --> 00:01:24.000]  不渴慕空空回去
[00:01:24.000 --> 00:01:27.000]  渴慕就飽飽回去
[00:01:27.000 --> 00:01:31.000]  我們在主的面前這樣的等候仰望
[00:01:31.000 --> 00:01:34.000]  請大家為我禱告
[00:01:34.000 --> 00:01:37.000]  使我能夠所講的信息
[00:01:37.000 --> 00:01:42.000]  不是單單一篇信息或者道理或者講章而已
[00:01:42.000 --> 00:01:48.000]  那是我們大家在主的面前一同追求屬靈的長進
[00:01:48.000 --> 00:01:50.000]  屬靈的實際
[00:01:50.000 --> 00:01:53.000]  在主的面前猛恩更深
[00:01:53.000 --> 00:01:58.000]  我相信這是主對我們向靈會的希望
[00:01:58.000 --> 00:02:00.000]  祂的旨意
[00:02:00.000 --> 00:02:05.000]  願祂最好的旨意為了這一次向靈會得以成全
[00:02:05.000 --> 00:02:15.000]  這次我要和大家一同分享關於聖靈的工作的信息
[00:02:15.000 --> 00:02:18.000]  聖靈的工作
[00:02:18.000 --> 00:02:25.000]  很多的人覺得好像是靈恩派的專利品
[00:02:25.000 --> 00:02:28.000]  其實是所有屬主的人
[00:02:28.000 --> 00:02:33.000]  所應該追求精力寶貴的
[00:02:33.000 --> 00:02:38.000]  所以我們都能夠在靈恩裡面來享受
[00:02:38.000 --> 00:02:42.000]  我自己追求靈恩
[00:02:42.000 --> 00:02:45.000]  但我不是靈恩派
[00:02:45.000 --> 00:02:49.000]  我不是要把自己和靈恩派對立起來
[00:02:49.000 --> 00:02:50.000]  絕對不
[00:02:50.000 --> 00:02:53.000]  都是主內的弟兄姊妹
[00:02:53.000 --> 00:03:01.000]  但是我的領受是追求靈恩而沒有加入靈恩派
[00:03:01.000 --> 00:03:07.000]  靈恩是天父為了所有的弟兄姊妹預備的
[00:03:07.000 --> 00:03:11.000]  我們的主何能注重聖靈
