
[00:00:00.000 --> 00:00:09.400]  非常謝謝大會為我們預備那麼好的詩歌
[00:00:09.400 --> 00:00:13.400]  那麼好的短片
[00:00:13.400 --> 00:00:18.000]  我坐飛機來的時候
[00:00:18.000 --> 00:00:24.000]  飛機慢慢降落
[00:00:24.000 --> 00:00:30.000]  芝加哥的機場
[00:00:30.000 --> 00:00:38.000]  我一直為著中國福音大會禱告
[00:00:38.000 --> 00:00:43.000]  心裡面非常地感受到
[00:00:43.000 --> 00:00:50.000]  上帝從天上看我們地下的人
[00:00:50.000 --> 00:00:58.000]  深深地感受到萬民如水桶的一底
[00:00:58.000 --> 00:01:03.000]  又如一個圍城
[00:01:03.000 --> 00:01:06.000]  我們算什麼
[00:01:06.000 --> 00:01:10.000]  我們非常地渺小
[00:01:10.000 --> 00:01:14.000]  今天上帝聚集我們
[00:01:14.000 --> 00:01:18.000]  今天上帝要聚集我們
[00:01:18.000 --> 00:01:22.000]  今天上帝要呼召我們
[00:01:22.000 --> 00:01:26.000]  要使用我們
[00:01:26.000 --> 00:01:29.000]  二十多年前
[00:01:29.000 --> 00:01:33.000]  我來芝加哥進修
[00:01:33.000 --> 00:01:36.000]  前後有十年
[00:01:36.000 --> 00:01:40.000]  人生轉眼之間
[00:01:40.000 --> 00:01:43.000]  過了二十多年
[00:01:43.000 --> 00:01:49.000]  看著生命紀刊的創立
[00:01:49.000 --> 00:01:55.000]  看著上帝怎麼使用這個平台
[00:01:55.000 --> 00:01:58.000]  這一個紐帶
[00:01:58.000 --> 00:02:04.000]  不單單北美洲的華人
[00:02:04.000 --> 00:02:08.000]  特別是中國教會背景的
[00:02:08.000 --> 00:02:13.000]  也影響到國內那麼多
[00:02:13.000 --> 00:02:16.000]  特別是家庭教會
[00:02:16.000 --> 00:02:19.000]  讓我心存敬畏
[00:02:19.000 --> 00:02:22.000]  讓我深深地感受到
[00:02:22.000 --> 00:02:26.000]  一切都是上帝的作為
[00:02:26.000 --> 00:02:30.000]  我們只是在旁邊觀看
[00:02:30.000 --> 00:02:34.000]  驚訝感恩
[00:02:34.000 --> 00:02:39.000]  今天晚上來到宣教之夜
[00:02:39.000 --> 00:02:46.000]  雖然我的專科是念宣教學的
[00:02:46.000 --> 00:02:53.000]  但是每一次看到宣教士們的生命的奉獻
[00:02:53.000 --> 00:03:00.000]  我都傳著一個尊敬的心
[00:03:00.000 --> 00:03:03.000]  向他們致敬
[00:03:03.000 --> 00:03:09.000]  因為他們願意把生命壓上去
[00:03:09.000 --> 00:03:12.000]  因為是最有價值的
[00:03:12.000 --> 00:03:18.000]  就是把生命奉獻在上帝的手中
[00:03:18.000 --> 00:03:22.000]  這一次我謝謝主
[00:03:22.000 --> 00:03:24.000]  也謝謝大會
[00:03:24.000 --> 00:03:30.000]  安排我有四次的分享
[00:03:30.000 --> 00:03:35.000]  我會繼續三個專題
[00:03:35.000 --> 00:03:40.000]  教會的步道事工
[00:03:40.000 --> 00:03:44.000]  我們學習從大使命
[00:03:44.000 --> 00:03:47.000]  馬太福音24章
[00:03:47.000 --> 00:03:53.000]  主給我們在大使命裡面有七個重點
[00:03:53.000 --> 00:03:58.000]  我們怎麼領受,怎麼學習,什麼實踐
[00:03:58.000 --> 00:04:03.000]  我們怎麼看待這三個重題
[00:04:03.000 --> 00:04:07.000]  教會的宣教事工
[00:04:07.000 --> 00:04:12.000]  怎麼從《使徒行傳》第一章第八節
[00:04:12.000 --> 00:04:16.000]  看整卷的《使徒行傳》
[00:04:16.000 --> 00:04:19.000]  看見初期教會
[00:04:19.000 --> 00:04:23.000]  族已經讓我們同步的
[00:04:23.000 --> 00:04:27.000]  執行宗教的宗教基傳
[00:04:27.000 --> 00:04:32.000]  同文化、次文化、靜文化、跨文化
[00:04:32.000 --> 00:04:34.000]  同步的進發
[00:04:34.000 --> 00:04:36.000]  盡力而為
[00:04:36.000 --> 00:04:43.000]  教會的職員應該投放、集中在宣教
[00:04:43.000 --> 00:04:48.000]  在傳揚福音這個焦點裡面
[00:04:48.000 --> 00:04:52.000]  求主憐憫今天的教會
[00:04:52.000 --> 00:04:55.000]  我們學習這三個專題
[00:04:55.000 --> 00:04:59.000]  通過教募書信
