
[00:00:00.000 --> 00:00:03.000]  大家知道我們這段時間一直在說
[00:00:03.000 --> 00:00:05.120]  怎樣能夠去施予
[00:00:05.120 --> 00:00:07.280]  我們今天一起思想的題目就是
[00:00:07.280 --> 00:00:11.200]  「恩待人的 是必蒙大恩」
[00:00:11.200 --> 00:00:14.120]  大家一定都在人生的很多不同的階段
[00:00:14.120 --> 00:00:16.560]  經歷過別人怎樣幫助你
[00:00:16.560 --> 00:00:20.480]  有沒有試過別人曾經在某些事情上幫助你?
[00:00:20.480 --> 00:00:23.840]  你一定試過 或多或少你試過
[00:00:23.840 --> 00:00:27.240]  我自己想起一件很久之前的事
[00:00:27.240 --> 00:00:31.640]  或者說一些兒時的 兒童時期的往事
[00:00:31.640 --> 00:00:33.400]  這件事情對我自己都很深刻
[00:00:33.400 --> 00:00:36.480]  就是在我自己大概七歲八歲的時候
[00:00:36.480 --> 00:00:37.880]  很小的時候
[00:00:37.880 --> 00:00:42.560]  我記得當時我自己的家庭是一個比較基層的家庭
[00:00:42.560 --> 00:00:44.400]  很緊張那些錢
[00:00:44.400 --> 00:00:47.720]  有一次我爸爸就叫我下去買報紙
[00:00:47.720 --> 00:00:52.520]  當時的報紙是很便宜的 兩毫子一份
[00:00:52.520 --> 00:00:55.640]  但是當然在當時來說都是不少錢
[00:00:55.640 --> 00:00:58.560]  我很開心 有一次就帶著兩個毫子
[00:00:58.560 --> 00:01:02.640]  就下去街 在自己家門口有個報紙檔
[00:01:02.640 --> 00:01:04.760]  就預備買報紙
[00:01:04.760 --> 00:01:08.120]  因為很興奮 拿著兩個毫子 扎著扎著扎著
[00:01:08.120 --> 00:01:10.560]  一路走的時候 一不小心
[00:01:10.560 --> 00:01:13.400]  兩個毫子一起掉到地上
[00:01:13.400 --> 00:01:17.040]  不單這樣 剛剛那裡有個坑渠
[00:01:17.040 --> 00:01:20.680]  兩個毫子都掉到坑渠裡面
[00:01:20.680 --> 00:01:23.320]  我一怕 馬上走到坑渠去看
[00:01:23.320 --> 00:01:26.440]  看到兩個毫子在下面閃來閃去
[00:01:26.440 --> 00:01:32.280]  但是坑渠面和坑渠底 距離有七八尺那麼高
[00:01:32.280 --> 00:01:35.520]  我當時很焦急 也很難過
[00:01:35.520 --> 00:01:39.240]  很擔心爸爸會打 會罵
[00:01:39.240 --> 00:01:42.080]  在旁邊的報紙檔 看到我這樣的情況
[00:01:42.080 --> 00:01:46.600]  就過來看看 掉了嗎?不能買了
[00:01:46.600 --> 00:01:49.560]  我很焦急的時候 看到他的報紙檔
[00:01:49.560 --> 00:01:53.280]  有一把鐵尺 扎著報紙
[00:01:53.280 --> 00:01:57.080]  我就問叔叔可不可以借給我撩毫子上來
[00:01:57.080 --> 00:01:59.000]  他十分不願意之下
