
[00:00:00.000 --> 00:00:19.000]  十天的晚上,各位弟兄姊妹,對於說話語的科目,聽到的精神,使兄弟得到很大的鼓勵。
[00:00:19.000 --> 00:00:37.000]  每天晚上,我心裏都有壓力,我怕的就是,我說講的不能夠真正幫助弟兄姊妹們的靈性。
[00:00:37.000 --> 00:00:58.000]  當有這個壓力的時候,我就轉一個方向來想,工作的是主,食恩的是主,這樣我心裏就安息下來。
[00:00:58.000 --> 00:01:08.000]  我們繼續的仰望著,今天晚上,最後的一個晚上,向我們講話。
[00:01:08.000 --> 00:01:25.000]  在詩篇裏頭,有六篇有共同的特點,就是世人表達他們對於聖殿和聖城的熱愛。
[00:01:25.000 --> 00:01:38.000]  同時呢,他們也描寫他們在聖殿聖城裏面最愛慕的一些事物。
[00:01:38.000 --> 00:01:50.000]  這些詩篇對我們有兩方面的啟發。
[00:01:50.000 --> 00:02:10.000]  第一方面,是感動我們也愛神的教會,感動我們也愛神的教會,第二方面,也感動我們去追求在我們的教會裏面建立世人所愛慕的那些事物。
[00:02:10.000 --> 00:02:35.000]  也鼓勵我們在教會裏面建立世人所愛慕的一些事物。昨天晚上我們看了兩篇,八十四篇和八十七篇,在那裏我們看見了祭壇,我們要靠著主在我們自己的教會裏面建立祭壇。
[00:02:35.000 --> 00:03:00.000]  我們也看見了福音門,我們要靠著主在我們的教會裏面建立福音門,讓福音門大大的開放,得到更多的人來信主的救。
[00:03:00.000 --> 00:03:29.000]  今天晚上我們還有四篇要看,我們的重點是在一百二十二篇和一百三十二篇,最後的兩篇我們只能夠比較簡單地提一提,大家可以回去自己查看頂受。
[00:03:29.000 --> 00:03:52.000]  請先翻到一百二十二篇,這是非常寶貴的一篇詩,世人在這裏表達他對聖殿聖神的熱愛。
[00:03:52.000 --> 00:04:09.000]  我們先看頭兩節,一百二十二篇頭兩節,人對我說:我們往耶和華的殿去,我就歡喜。耶路撒冷喔!我們的腳站在你的門內。
[00:04:09.000 --> 00:04:28.000]  世人說:有人對他說:讓我們到耶和華的殿去,他一聽見這個話就歡喜,他歡喜到神的面前,他愛神的殿。
[00:04:28.000 --> 00:04:43.000]  因為他愛神,愛神就愛神的殿,歡歡喜喜地去敬拜親近神,這是多麼寶貴。
[00:04:43.000 --> 00:05:06.000]  第二節,耶路撒冷喔!我們的腳站在你的門內,這是表達歸屬感。耶路撒冷神的聖神,我們的腳站在你的門內。
[00:05:06.000 --> 00:05:17.000]  我們是屬你的,我們是你的子民,這是一個歸屬感的表達。
[00:05:17.000 --> 00:05:38.000]  這個世人他絕對不把自己當作旁觀者,神的家就是他的家,神的殿就是他的殿,他把自己投入在其中。
[00:05:38.000 --> 00:05:53.000]  這樣的歸屬感是今天教會所需要的。我們在自己的教會裏面,你投入沒有投入呢?
[00:05:53.000 --> 00:06:09.000]  你還是把你自己當作第三者嗎?旁觀者嗎?還是你深深感覺基督的教會就是你的家呢?
[00:06:09.000 --> 00:06:33.000]  世人在這裏以神的殿,神的城為榮,神的聖城我是屬你的,神的精神我是屬你的,這種以之為榮的態度很寶貴。
[00:06:33.000 --> 00:06:50.000]  把自己和神的殿認同在一起,但願今天每一個教會裏面的會友,都有這樣的歸屬感。
[00:06:50.000 --> 00:07:09.000]  美國的總統艾森豪,在他總統的任內,在他總統的任內接受洗禮,在華盛頓大禮拜堂接受洗禮,
[00:07:09.000 --> 00:07:31.000]  他公開地表示他對神和基督的信仰,他把自己和教會認同在一起,他把自己和眾基督徒,眾弟兄姊妹認同在一起,
[00:07:31.000 --> 00:07:54.000]  他是唯一美國的總統在任內受洗的,我相信他以基督的教會為榮耀,他投入在其中,這是一個寶貴的見證。
[00:07:54.000 --> 00:08:11.000]  另一位美國總統卡特,做了總統以後,還是繼續在他的教會裏面教諸如學,他認為這是他的榮耀。
[00:08:11.000 --> 00:08:33.000]  弟兄姊妹們,我們是屬神的,我們是屬教會的,教會是我們的家,我們要投入在其中,我們在其中每一個人有所貢獻,
[00:08:33.000 --> 00:08:44.000]  把我們所領受的一切獻上,同心合一地滿足主的心。
[00:08:44.000 --> 00:08:57.000]  第二節裏面請注意,世人不是說耶路撒冷啊,我的腳站在你的門內,而是說我們的腳站在你的門內。
[00:08:57.000 --> 00:09:06.000]  這個世人不是說耶路撒冷啊,我的腳站在你的門內,而是說我們的腳站在你的門內。
[00:09:06.000 --> 00:09:20.000]  我們,世人不是把自己隔在一旁,把自己單獨地放在一起,
[00:09:20.000 --> 00:09:34.000]  而是把他自己和其他屬神的人放在一起,這是一個團聚的感覺,是非常寶貴。
[00:09:34.000 --> 00:09:51.000]  在前個禮拜,我參加了一件教會的夏令會,夏令會的主題是「偽身」,有三個分題。
[00:09:51.000 --> 00:10:11.000]  第一個分題是「向神偽身」,第二個分題是「向教會偽身」,第三個分題是「向弟兄姊妹偽身」,我覺得非常之好。
[00:10:11.000 --> 00:10:28.000]  一個向神偽身的人,一定同時也向教會偽身,一個向教會偽身的人,一定也同時向弟兄姊妹偽身。
[00:10:28.000 --> 00:10:53.000]  在這裡提到我們,彼此的偽身,我們都是屬主的人,我們彼此是弟兄姊妹,我們互相有歸屬感,我們屬於神,我們屬於神教會,我們也屬於弟兄姊妹。
[00:10:53.000 --> 00:11:05.000]  彼此的建立,彼此的關心,彼此的代禱,彼此的鼓勵,彼此的幫助。
[00:11:05.000 --> 00:11:18.000]  在非洲傳福音的歷史裡面,有兩個最著名的人物,一位是李文斯頓,
[00:11:18.000 --> 00:11:24.000]  另外一位是馬發特,
[00:11:24.000 --> 00:11:33.000]  Livingston and Moffat,這兩位為主做了很好的工作。
[00:11:33.000 --> 00:11:41.000]  馬發特年長,李文斯頓年輕,
[00:11:41.000 --> 00:11:51.000]  當李文斯頓他想侍奉主的時候,他住在愛丁堡,
[00:11:51.000 --> 00:12:01.000]  當他第一次上台講道的時候,他站在台上講了幾句話以後,
[00:12:01.000 --> 00:12:08.000]  他的思想一片空白,他的講章都忘記了,
[00:12:08.000 --> 00:12:17.000]  他說弟兄姊妹很抱歉,我講不下去了,我忘記了我的講章,
[00:12:17.000 --> 00:12:30.000]  他就離開講台,這是鼎鼎大名的李文斯頓侍奉主的第一個經驗,
[00:12:30.000 --> 00:12:39.000]  在那個聚會裡,馬發特在場,他看見這個情況,
[00:12:39.000 --> 00:12:48.000]  他就走到李文斯頓身邊,抓住他的手,他說弟兄,
[00:12:48.000 --> 00:12:54.000]  他說這一次的失敗不是最後的失敗,
[00:12:54.000 --> 00:13:02.000]  三會以後再跟他談話,他說一個侍奉主的人不一定要講道,
[00:13:02.000 --> 00:13:10.000]  你可以做一個醫生侍奉主,李文斯頓就讀醫學了,
[00:13:10.000 --> 00:13:19.000]  他畢業以後,又做醫生又講道,他兩樣都做得好,
[00:13:19.000 --> 00:13:27.000]  這位主的僕人,安慰了鼓勵了一個青年,
[00:13:27.000 --> 00:13:42.000]  這是互相歸屬的作用,屬神的人,彼此的聯繫,彼此的幫助,耶路撒冷教會,
[00:13:42.000 --> 00:13:53.000]  我們是屬於你的,我們的腳站在你的門內,不是門外的旁觀者,
[00:13:53.000 --> 00:14:04.000]  我們在看愛聖殿聖神的人,在第六節裡面表達出來,
[00:14:04.000 --> 00:14:12.000]  第六節,你們要為耶路撒冷求平安,耶路撒冷愛你的人必然興旺,
[00:14:12.000 --> 00:14:22.000]  在這裡提到愛耶路撒冷的人,這樣的人怎麼樣呢?必然興旺,
[00:14:22.000 --> 00:14:36.000]  興旺有兩個意思,第一,就是蒙恩典,愛耶路撒冷的人蒙神恩代,
[00:14:36.000 --> 00:14:46.000]  他在各方面有亨通,在各方面蒙福,他的靈性會更興旺,
[00:14:46.000 --> 00:14:57.000]  他整個人更興旺,第二個意思,興旺是人數增加的意思,
[00:14:57.000 --> 00:15:06.000]  耶路撒冷,愛你的人人數會增加,這個話很寶貴,
[00:15:06.000 --> 00:15:16.000]  在教會歷史裡面,在每一個時代裡面,每一個地區裡面,每一間教會裡面,
[00:15:16.000 --> 00:15:26.000]  神都興起了一些愛他的人,這些人靈性蒙恩,靈性有根基,
[00:15:26.000 --> 00:15:37.000]  愛主的心堅固,侍奉的熱心繼續下去,做了別人的榜樣,
[00:15:37.000 --> 00:15:48.000]  神又借了這些人,興起了更多愛主的人,教會啊,愛你的人必然興旺,
[00:15:48.000 --> 00:15:58.000]  這是歷史的事實,歷史的見證,但願今天在座的眾弟兄姊妹,
[00:15:58.000 --> 00:16:12.000]  剛才楊牧師報告,這次培靈園靜大會參加的人有五萬人次,
[00:16:12.000 --> 00:16:25.000]  如果這些弟兄姊妹,都是愛主的人,投入了愛主的行列,投入了愛主的陣營,
[00:16:25.000 --> 00:16:34.000]  你想一想,剛才的教會怎麼會不興旺?一定更加興旺,
[00:16:34.000 --> 00:16:45.000]  愛主的人啊,必然興旺,人數要增加,教會也跟著興旺,
[00:16:45.000 --> 00:16:52.000]  那麼我們再看,這些愛耶路撒冷的人有什麼表現呢?
[00:16:52.000 --> 00:17:07.000]  他們求,這個求字用了四次,就是愛耶路撒冷的人在那兒求,求,求,求,
[00:17:07.000 --> 00:17:19.000]  他們求什麼?第六節第一句,你們要為耶路撒冷求平安,
[00:17:19.000 --> 00:17:34.000]  第七節,願你城中平安,第八節下半節,我要說願平安在你中間,求平安,
[00:17:34.000 --> 00:17:44.000]  為了耶路撒冷求平安,這是很重要,平安是什麼意思?
[00:17:44.000 --> 00:17:54.000]  兩個意思,第一個意思,第七節上半節,願你城中平安,
[00:17:54.000 --> 00:18:08.000]  這個意思就是在敵人的攻擊之下得到平安,在敵人的侵犯之下得到平安,
[00:18:08.000 --> 00:18:22.000]  換句話說,得到城的保守看護,這是第一種的平安,從敵人得平安,也就是勝過仇敵,
[00:18:22.000 --> 00:18:32.000]  第二個意思,第八節第二句,願平安在你中間,
[00:18:32.000 --> 00:18:44.000]  這個平安是合而為一的平安,是和睦的平安,是彼此相愛的平安,
[00:18:44.000 --> 00:18:56.000]  這個平安更寶貴,所有的裂口都醫好了,所有的紛爭都除去了,
[00:18:56.000 --> 00:19:07.000]  現在同心合一的來愛神,來榮耀神,來見證神,來侍奉神,
[00:19:07.000 --> 00:19:19.000]  從這個平安裏面產生合一的力量,讓教會興旺,使人很注重平安,
[00:19:19.000 --> 00:19:34.000]  所以連這三次說平安,平安,平安,弟兄姊妹們,教會蒙的最大的恩典之一就是能得到平安,
