
[00:00:00.000 --> 00:00:04.000]  當我們思想到按真理行紀律的時候
[00:00:04.000 --> 00:00:09.000]  我們會想起《聖經》裡面特別講述耶穌基督的一個特點
[00:00:09.000 --> 00:00:15.000]  《聖經》講到主耶穌的時候就說祂喜愛公義、恆護罪惡
[00:00:15.000 --> 00:00:17.000]  我們說要高舉真理
[00:00:17.000 --> 00:00:19.000]  當然我們要實行真理
[00:00:19.000 --> 00:00:21.000]  但是實行真理的同時
[00:00:21.000 --> 00:00:25.000]  是必須是恆護罪惡的
[00:00:25.000 --> 00:00:29.000]  要高舉真理不單單是要行善
[00:00:29.000 --> 00:00:32.000]  而且是願意離開罪惡
[00:00:32.000 --> 00:00:34.000]  去恆護罪惡
[00:00:34.000 --> 00:00:40.000]  行公義和恆護罪惡必然是相連的追求
[00:00:40.000 --> 00:00:43.000]  因此你會發覺當主來到世上的時候
[00:00:43.000 --> 00:00:44.000]  很清楚地跟我們說
[00:00:44.000 --> 00:00:47.000]  祂行公義又恆護罪惡
[00:00:47.000 --> 00:00:51.000]  而當我們想到我們要高舉耶穌基督的真理的時候
[00:00:51.000 --> 00:00:55.000]  兩方面我們都同時要關注、要留心
[00:00:55.000 --> 00:00:58.000]  在教會裡面我們常常去鼓勵弟兄姊妹
[00:00:58.000 --> 00:01:01.000]  憑真理去愛人
[00:01:01.000 --> 00:01:03.000]  但同時我們也會互相鼓勵
[00:01:03.000 --> 00:01:06.000]  憑真理去紀律犯罪
[00:01:06.000 --> 00:01:09.000]  讓罪不會蔓延開去
[00:01:09.000 --> 00:01:14.000]  讓罪不會受到姑息而產生更大的影響
[00:01:14.000 --> 00:01:16.000]  所以今天我們思想的
[00:01:16.000 --> 00:01:18.000]  你欽慰他的榜樣就是
[00:01:18.000 --> 00:01:22.000]  他怎樣能夠幫助當時的猶太人離開罪
[00:01:22.000 --> 00:01:26.000]  也幫助他們一起轉向神的路
[00:01:26.000 --> 00:01:27.000]  神的光明的路
