
[00:00:00.000 --> 00:00:02.200]  我們有六個星期的時間
[00:00:02.200 --> 00:00:05.600]  我們去講宣導會的四重福音
[00:00:05.600 --> 00:00:09.400]  安排就是第一次我們會講創世紀
[00:00:09.400 --> 00:00:14.800]  講到亞當如何在犯罪離開上帝
[00:00:14.800 --> 00:00:17.700]  接著在最後那次我們會講啟示錄
[00:00:17.700 --> 00:00:19.700]  講到罪在這個世界裏面
[00:00:19.700 --> 00:00:23.600]  最後會被上帝徹底地解決
[00:00:23.600 --> 00:00:25.500]  讓人在新天新地裏面
[00:00:25.500 --> 00:00:29.700]  能夠有一個永恆和上帝同在的福分
[00:00:29.700 --> 00:00:32.300]  接著在中間的四次裏面
[00:00:32.300 --> 00:00:34.500]  我們就每一次去講宣導會
[00:00:34.500 --> 00:00:37.700]  其中一個如何去看待這個福音
[00:00:37.700 --> 00:00:42.700]  今天我們所讀的經文是在創世紀的第三章
[00:00:42.700 --> 00:00:44.400]  一至二十四節
[00:00:44.400 --> 00:00:48.700]  創世紀第一第二章是講到上帝創造這個世界
[00:00:48.700 --> 00:00:50.800]  創造美好的世界
[00:00:50.800 --> 00:00:52.600]  接著創造人
[00:00:52.600 --> 00:00:55.000]  去在當中居住
[00:00:55.000 --> 00:01:01.000]  去享受上帝賜給人類的一切美好
[00:01:01.000 --> 00:01:05.700]  當然人類最美好的地方就是能夠和上帝相交
[00:01:05.700 --> 00:01:09.500]  在上帝創造了伊甸園
[00:01:09.500 --> 00:01:12.000]  創造了人居住在伊甸園的時候
[00:01:12.000 --> 00:01:14.100]  就吩咐了亞當
[00:01:14.100 --> 00:01:15.100]  就跟他說
[00:01:15.100 --> 00:01:18.200]  你不可以吃樹上的
[00:01:18.200 --> 00:01:19.900]  所有的樹你都可以吃
[00:01:19.900 --> 00:01:21.200]  所有的果子你都可以吃
[00:01:21.200 --> 00:01:24.800]  但是就不可以吃分辨善惡樹的果子
[00:01:24.800 --> 00:01:27.900]  因為你吃的日子你就必定死
[00:01:27.900 --> 00:01:30.300]  接著這個吩咐之後在第三章
[00:01:30.300 --> 00:01:34.700]  就講到亞當如何違背上帝的吩咐
[00:01:34.700 --> 00:01:38.100]  在第三章的一至五節
[00:01:38.100 --> 00:01:40.100]  這一段經文裡面
[00:01:40.100 --> 00:01:43.900]  主要是講到上帝創造了的人
[00:01:43.900 --> 00:01:46.400]  亞當和夏娃
[00:01:46.400 --> 00:01:48.900]  如何去活譯上帝
[00:01:48.900 --> 00:01:52.300]  在這裡也可以看到
[00:01:52.300 --> 00:01:56.100]  蛇是代表著罪惡
[00:01:56.100 --> 00:01:59.700]  以及使人犯罪的魔鬼
[00:01:59.700 --> 00:02:02.700]  在這裡也看到蛇的教學
[00:02:02.700 --> 00:02:07.000]  如何去引誘人遠離上帝
[00:02:07.000 --> 00:02:09.500]  如何違背上帝的吩咐
[00:02:09.500 --> 00:02:14.400]  在蛇這裡講
[00:02:14.400 --> 00:02:16.100]  他如何引誘夏娃
[00:02:16.100 --> 00:02:18.100]  一開始他就去講
[00:02:18.100 --> 00:02:22.200]  園中所有的果子是不是不可以吃
[00:02:22.200 --> 00:02:24.100]  騙人最重要的是什麼呢
[00:02:24.100 --> 00:02:26.100]  最重要的是有對話
[00:02:26.100 --> 00:02:28.700]  第一,如果你連對方
[00:02:28.700 --> 00:02:32.300]  忍不住對方開口跟你說話
[00:02:32.300 --> 00:02:33.600]  你是騙不了他
[00:02:33.600 --> 00:02:36.500]  所以這個蛇很狡猾
[00:02:36.500 --> 00:02:37.600]  他就說
[00:02:37.600 --> 00:02:38.500]  神起不是說
[00:02:38.500 --> 00:02:40.000]  神是不是說過
[00:02:40.000 --> 00:02:42.500]  園中所有的果子都不可以吃
[00:02:42.500 --> 00:02:44.900]  接著夏娃就有個回應
[00:02:44.900 --> 00:02:45.900]  不是
[00:02:45.900 --> 00:02:49.800]  他糾正這個說話
[00:02:49.800 --> 00:02:52.700]  上帝不是說我們所有的果子都不可以吃
[00:02:52.700 --> 00:02:57.100]  但是唯有分辨善惡的果子
[00:02:57.100 --> 00:02:58.600]  我們不可以吃
[00:02:58.600 --> 00:03:00.700]  因為上帝說我們吃的日子
[00:03:00.700 --> 00:03:02.400]  我們就必定死
[00:03:02.400 --> 00:03:06.400]  接著在第五節
