
[00:00:00.000 --> 00:00:02.000]  (字幕:我是波子)
[00:00:02.000 --> 00:00:07.000]  Hello
[00:00:07.000 --> 00:00:09.600]  又來回答大家的問題
[00:00:09.600 --> 00:00:11.880]  先看看這個問題
[00:00:11.880 --> 00:00:14.720]  怎樣看一些只有行為
[00:00:14.720 --> 00:00:17.920]  而沒有內心的基督徒
[00:00:17.920 --> 00:00:21.240]  這個問題也挺複雜的
[00:00:21.240 --> 00:00:24.080]  首先說一點
[00:00:24.080 --> 00:00:25.840]  這個問題是
[00:00:25.840 --> 00:00:27.760]  你是否在想某些人
[00:00:27.760 --> 00:00:29.520]  如果你問這個問題
[00:00:29.520 --> 00:00:30.520]  你是否在想
[00:00:30.520 --> 00:00:33.040]  我就是在說A生
[00:00:33.040 --> 00:00:34.720]  他就是那些人
[00:00:34.720 --> 00:00:36.640]  如果你是這樣的話
[00:00:36.640 --> 00:00:38.320]  首先我第一個回應就是
[00:00:38.320 --> 00:00:40.000]  要謹慎
[00:00:40.000 --> 00:00:43.600]  因為人的內心是沒有人看到的
[00:00:43.600 --> 00:00:46.640]  A生可能你的觀察
[00:00:46.640 --> 00:00:50.600]  你覺得他很虛偽
[00:00:50.600 --> 00:00:55.560]  事實上他可能真的是一個虛偽的人
[00:00:55.560 --> 00:01:00.600]  但也有可能你對他有點誤解
[00:01:00.600 --> 00:01:03.560]  因為有時一些人的做法
[00:01:03.560 --> 00:01:07.200]  其實很受那個時代
[00:01:07.200 --> 00:01:11.240]  或者他成長的過程影響他
[00:01:11.240 --> 00:01:16.200]  譬如舉個很簡單的例子
[00:01:16.200 --> 00:01:20.880]  我小時候吃飯的時候
[00:01:20.880 --> 00:01:22.560]  要叫所有大人吃飯
[00:01:22.560 --> 00:01:23.240]  爸爸吃飯
[00:01:23.240 --> 00:01:24.000]  媽媽吃飯
[00:01:24.000 --> 00:01:24.800]  奶奶吃飯
[00:01:24.800 --> 00:01:26.040]  叫完一大輪大人
[00:01:26.040 --> 00:01:27.680]  然後我才吃飯
[00:01:27.680 --> 00:01:31.640]  我小時候被迫做這個行為
[00:01:31.640 --> 00:01:33.760]  做了之後是不是我孝順他多一點
[00:01:33.760 --> 00:01:35.200]  當然不是
[00:01:35.200 --> 00:01:37.040]  這個只是念口黃
[00:01:37.040 --> 00:01:39.560]  可能我心裏不知道在想什麼
[00:01:39.560 --> 00:01:40.400]  在想爸爸
[00:01:40.400 --> 00:01:41.400]  你很不公平
[00:01:41.400 --> 00:01:42.080]  但算了
[00:01:42.080 --> 00:01:43.800]  爸爸吃飯照叫你
[00:01:43.800 --> 00:01:46.600]  所以可能某些行為
[00:01:46.600 --> 00:01:48.600]  我們今天看
[00:01:48.600 --> 00:01:50.440]  你做了
[00:01:50.440 --> 00:01:53.320]  是否代表你真的有愛心
[00:01:53.320 --> 00:01:55.320]  但在某些文化背景的人
[00:01:55.320 --> 00:01:57.520]  可能那種行為是很重要的
[00:01:57.520 --> 00:01:59.400]  即是你有沒有內心也好
[00:01:59.400 --> 00:02:03.120]  你對那種人來說也是需要做的
[00:02:03.120 --> 00:02:05.400]  所以我們要意識到
[00:02:05.400 --> 00:02:07.360]  有些人的虛偽
[00:02:07.360 --> 00:02:10.600]  不是可以這樣說為虛偽而為虛偽
[00:02:10.600 --> 00:02:14.560]  而是他的文化讓他覺得那種行為
[00:02:14.560 --> 00:02:16.400]  真心假心他也需要做
[00:02:16.400 --> 00:02:18.080]  那就做吧
[00:02:18.080 --> 00:02:21.120]  另一點來說
[00:02:21.120 --> 00:02:26.480]  我們也要很小心去審判
