
[00:00:00.000 --> 00:00:05.520]  今天我們繼續和大家去看提摩太後書
[00:00:05.520 --> 00:00:09.520]  如果你記得提摩太後書
[00:00:09.520 --> 00:00:13.200]  是保羅在最後的階段
[00:00:13.200 --> 00:00:15.680]  他在羅馬被囚的時候
[00:00:15.680 --> 00:00:21.560]  他記得提摩太面對在大領教會時候的挑戰
[00:00:21.560 --> 00:00:24.160]  所以他很掛念他
[00:00:24.160 --> 00:00:30.240]  以致他寫了一封信去將他的掛念
[00:00:30.240 --> 00:00:38.600]  去將他繼續很想指導提醒勸勉這位屬靈裏面的兒子
[00:00:38.600 --> 00:00:40.280]  在第一章他提提摩太
[00:00:40.280 --> 00:00:43.080]  他說你要記得你所經歷過的恩典
[00:00:43.080 --> 00:00:46.200]  你所領受的是無偽的信心
[00:00:46.200 --> 00:00:51.080]  由你的媽媽你的婆婆已經賜給你了
[00:00:51.080 --> 00:00:54.680]  又透過在長老眾人的面前
[00:00:54.680 --> 00:00:58.800]  按照上主將各樣的恩賜能力賜給你
[00:00:58.800 --> 00:01:00.680]  你就忠心去做
[00:01:00.680 --> 00:01:02.160]  這是第一章他的勸勉
[00:01:02.160 --> 00:01:07.600]  然後上一次和大家看的提摩太後書的第二章的上半章
[00:01:07.600 --> 00:01:09.360]  保羅就在那裏勸勉提摩太
[00:01:09.360 --> 00:01:13.440]  你要靠的是耶穌基督的恩典
[00:01:13.440 --> 00:01:16.280]  以致你能夠剛強起來
[00:01:16.280 --> 00:01:20.000]  面對著教會遭遇的挑戰困難
[00:01:20.000 --> 00:01:22.280]  保羅提出勤勞分辨
[00:01:22.280 --> 00:01:24.600]  靠的是甚麼?不是靠自己努力嗎?
[00:01:24.600 --> 00:01:27.320]  是靠上主的恩典
[00:01:27.320 --> 00:01:33.880]  那才可以讓你不去懼怕不去擔心
[00:01:33.880 --> 00:01:36.320]  然後保羅提提摩太
[00:01:36.320 --> 00:01:39.240]  要將福音的使命承傳下去
[00:01:39.240 --> 00:01:43.480]  將福音真理的教導一代一代地傳
[00:01:43.480 --> 00:01:46.840]  我們都是這樣幾千年來直到今天
[00:01:46.840 --> 00:01:51.000]  教會是這樣延續下去直到主的再來
[00:01:51.000 --> 00:01:55.000]  保羅提提摩太要和基督同受苦難
[00:01:55.000 --> 00:01:56.200]  所以用了三個例子
[00:01:56.200 --> 00:01:57.080]  如果你記得
[00:01:57.080 --> 00:01:58.560]  當兵的
[00:01:58.560 --> 00:02:00.040]  賽跑
[00:02:00.040 --> 00:02:01.720]  務農是做農夫的
[00:02:01.720 --> 00:02:03.680]  在那裏勸勉提摩太
[00:02:03.680 --> 00:02:04.920]  其實也勸勉我們
[00:02:04.920 --> 00:02:07.360]  專心去跟隨主
[00:02:07.360 --> 00:02:09.680]  討上帝的喜悅
[00:02:09.680 --> 00:02:12.840]  要願意付上操練生命的代價
[00:02:12.840 --> 00:02:13.600]  不容易的
[00:02:13.600 --> 00:02:14.400]  要練的
[00:02:14.400 --> 00:02:17.480]  不過重要的是可以得著冠冕的
[00:02:17.480 --> 00:02:22.200]  而且要信得過我們所栽種的
[00:02:22.200 --> 00:02:23.720]  是會得著賞賜
