
[00:00:00.000 --> 00:00:03.000]  聖經很清楚地跟我們說
[00:00:03.000 --> 00:00:07.000]  聖經說:神以祂的恩典為年歲的冠冕
[00:00:07.000 --> 00:00:12.000]  最寶貴的冠冕不是金銀珍珠的冠冕
[00:00:12.000 --> 00:00:17.000]  是神的恩典從歲首到年終臨到我們身上
[00:00:17.000 --> 00:00:20.000]  我們可以帶著很感謝、很快樂的心
[00:00:20.000 --> 00:00:22.000]  來進入新一年裏面
[00:00:22.000 --> 00:00:26.000]  在新一年裏面,我自己心裏面對教會有兩個渴望
[00:00:26.000 --> 00:00:31.000]  第一,我很想教會成為一間真正的禱告教會
[00:00:31.000 --> 00:00:36.000]  我很想弟兄姊妹,我們真的祈禱求神將禱告的靈賜給我們
[00:00:36.000 --> 00:00:42.000]  讓我們被感動,可以常常全心地依靠神,禱告神
[00:00:42.000 --> 00:00:45.000]  教會裏面見到有很多不同的祈禱會的新安排
[00:00:45.000 --> 00:00:49.000]  亦都鼓勵我們學習怎樣為教會守望、祈禱
[00:00:49.000 --> 00:00:51.000]  為你的弟兄姊妹守望、祈禱
[00:00:51.000 --> 00:00:54.000]  星期四晚的祈禱會只是一個小時的時間
[00:00:54.000 --> 00:00:56.000]  相信你可以付得出的
[00:00:56.000 --> 00:01:00.000]  甚至你不吃飯,你完了之後再吃飯都可以
[00:01:00.000 --> 00:01:05.000]  一個小時十分鐘唱詩,十分鐘是為自己安靜的祈禱
[00:01:05.000 --> 00:01:08.000]  另外四十分鐘為教會、為弟兄姊妹代求
[00:01:08.000 --> 00:01:12.000]  如果你可以約你的弟兄姊妹、你的小組一齊回來
[00:01:12.000 --> 00:01:16.000]  在九點鐘之後,你可以來到大家的分組
[00:01:16.000 --> 00:01:18.000]  為大家的需要彼此代求
[00:01:18.000 --> 00:01:21.000]  如果不是,你也可以先行離開
[00:01:21.000 --> 00:01:24.000]  星期六有祈禱會,星期三早上有祈禱會
[00:01:24.000 --> 00:01:26.000]  朋友弟兄姊妹都會留心
[00:01:26.000 --> 00:01:30.000]  怎樣來到同心回來,為教會祈禱守望
[00:01:30.000 --> 00:01:33.000]  第二方面,我自己心裏很渴望神賜福給北宣家
[00:01:33.000 --> 00:01:37.000]  成為一間真正彼此相愛的教會
[00:01:37.000 --> 00:01:40.000]  我們人數多,我們感謝神
[00:01:40.000 --> 00:01:43.000]  但多不一定蒙受神的喜悅
[00:01:43.000 --> 00:01:49.000]  真正叫神喜歡的就是在當中有彼此相愛的關係
[00:01:49.000 --> 00:01:54.000]  如果沒有彼此相愛的關係,就不配稱為神的教會
[00:01:54.000 --> 00:01:56.000]  所以我很盼望在這段日子
[00:01:56.000 --> 00:02:02.000]  我們彼此鼓勵,我們學習去愛護我們的弟兄姊妹
[00:02:02.000 --> 00:02:05.000]  新一季一至三月份有一個主題
[00:02:05.000 --> 00:02:08.000]  是崇拜講道上上會提及的
[00:02:08.000 --> 00:02:13.000]  大家知道嗎?愛神愛人
[00:02:13.000 --> 00:02:16.000]  我們三個月裏的講道都會環繞這個主題
[00:02:16.000 --> 00:02:19.000]  因此希望我們大家都同心的努力
[00:02:19.000 --> 00:02:23.000]  求神讓我們學懂怎樣去實踐愛
[00:02:23.000 --> 00:02:29.000]  不單單聽見,不單單說,而是能夠實踐出來
[00:02:29.000 --> 00:02:33.000]  大家一起在這段時間,我們大家努力
[00:02:33.000 --> 00:02:36.000]  我們再一次祈禱,將這段時間予到家庇主
[00:02:37.000 --> 00:02:40.000]  我們的主,我們的神
[00:02:40.000 --> 00:02:44.000]  我們同心敬拜,尊崇祢
[00:02:44.000 --> 00:02:48.000]  因為祢為至上,當受極大的讚美
[00:02:48.000 --> 00:02:54.000]  主祢的慈愛,是我們生命的基石
[00:02:54.000 --> 00:02:58.000]  我們可以永遠依靠祢的慈愛,過每一天
[00:02:58.000 --> 00:03:02.000]  因為我們深知在人生很多事上
[00:03:02.000 --> 00:03:07.000]  我們常有錯失,常有跌倒的可能
[00:03:07.000 --> 00:03:12.000]  但主祢的慈愛托住我們,祢的寬容成為我們的安慰
[00:03:12.000 --> 00:03:16.000]  主我們今天在祢面前再一次感謝祢
[00:03:16.000 --> 00:03:19.000]  讓祢的愛淋到我們生命中
[00:03:19.000 --> 00:03:24.000]  在新一年裏,我們祈禱求主幫助我們盡心明白祢的愛
[00:03:24.000 --> 00:03:29.000]  如果我們有麻木了,求祢再一次軟化我們的心靈
[00:03:29.000 --> 00:03:34.000]  如果我們被自己的事情捆綁住
[00:03:34.000 --> 00:03:39.000]  忘記關心別人的事,求祢再一次幫助我們
