
[00:00:00.000 --> 00:00:04.000]  我近期留意到有很多長篇的見證
[00:00:04.000 --> 00:00:06.800]  以及一些書本的見證
[00:00:06.800 --> 00:00:11.000]  都講及到有關於地獄的情況
[00:00:11.000 --> 00:00:14.500]  很奇妙就是有很多不同國籍的弟兄姊妹
[00:00:14.500 --> 00:00:16.200]  他們有特別的經歷
[00:00:16.200 --> 00:00:19.900]  是神帶領他們去到地獄當中
[00:00:19.900 --> 00:00:23.100]  你說很驚嚇的
[00:00:23.100 --> 00:00:25.100]  他們真的很驚恐
[00:00:25.100 --> 00:00:27.600]  將他們的經歷寫下來
[00:00:27.600 --> 00:00:30.800]  講述他們在地獄中的情景
[00:00:30.800 --> 00:00:32.500]  那種恐怖的情況
[00:00:32.500 --> 00:00:36.000]  令他們久久不能忘記
[00:00:36.000 --> 00:00:37.800]  當我看到這些報導的時候
[00:00:37.800 --> 00:00:41.400]  我就想起過去的二三十年
[00:00:41.400 --> 00:00:44.000]  也有很多類似的報導
[00:00:44.000 --> 00:00:48.800]  我們不能確定當中的確實性有多高
[00:00:48.800 --> 00:00:52.400]  但我們也會感覺神容許這些事情出現
[00:00:52.400 --> 00:00:55.600]  在這個時代不斷提醒我們
[00:00:55.600 --> 00:00:58.600]  要快快地傳福音
[00:00:58.600 --> 00:01:01.200]  去把握機會帶領很多生命
[00:01:01.200 --> 00:01:03.300]  離開地獄的咒咒
[00:01:03.300 --> 00:01:07.900]  因為在地獄裡是沒有機會可以再悔改的
[00:01:07.900 --> 00:01:10.900]  聖經裡的確是很多處講述
[00:01:10.900 --> 00:01:14.600]  有關地獄的聖經的真理
[00:01:14.600 --> 00:01:16.400]  其中大家會記得
[00:01:16.400 --> 00:01:18.200]  《馬可福音》第九章四十八節
[00:01:18.200 --> 00:01:19.600]  很清楚地說
[00:01:19.600 --> 00:01:22.200]  地獄裡有兩種很清楚其中的特徵
[00:01:22.200 --> 00:01:26.800]  第一 蟲是不滅的
[00:01:26.800 --> 00:01:29.600]  第二 火是不熄滅的
[00:01:29.600 --> 00:01:33.400]  蟲是不死的 火是不滅的
[00:01:33.400 --> 00:01:36.600]  當中很多處講述在地獄的情況
[00:01:36.600 --> 00:01:38.400]  我們在看聖經的時候
[00:01:38.400 --> 00:01:41.100]  就會體會到地獄的永火
[00:01:41.100 --> 00:01:46.000]  永遠的審判是聖經確實的記載
[00:01:46.000 --> 00:01:48.900]  而今天當我們面對很多不同的朋友的時候
[00:01:48.900 --> 00:01:50.400]  我們心很盼望
[00:01:50.400 --> 00:01:55.200]  但願他們有一天不至於去到地獄當中
[00:01:55.200 --> 00:01:58.000]  而我們也有一種神給我們的託付
[00:01:58.000 --> 00:02:02.800]  就是將這份福音帶給很多未曾認識的人
[00:02:02.800 --> 00:02:04.400]  在他們再生的日子
[00:02:04.400 --> 00:02:07.300]  能有機會來認識
[00:02:07.300 --> 00:02:09.100]  我們今天會讀一段經文
[00:02:09.100 --> 00:02:13.200]  是講到摩西他如何領受神給他的呼召
[00:02:13.200 --> 00:02:15.800]  相信今天神也是不斷呼召我們
[00:02:15.800 --> 00:02:19.200]  來關心他所關心的事情
[00:02:19.200 --> 00:02:22.400]  大家先看看第七節
[00:02:22.400 --> 00:02:27.200]  首先我們看到神是要我們看到的事情
