
[00:00:00.000 --> 00:00:02.000]  地獄寺妹平安
[00:00:02.000 --> 00:00:08.440]  今天想介紹一個主日學的課程
[00:00:08.440 --> 00:00:11.240]  就是基礎神學的課程
[00:00:11.240 --> 00:00:13.840]  在我信主的時候
[00:00:13.840 --> 00:00:17.240]  我上了波道會窩夫堂
[00:00:17.240 --> 00:00:19.840]  蘇穎睿牧師的基礎神學課程
[00:00:19.840 --> 00:00:22.440]  那個課程非常系統的
[00:00:22.440 --> 00:00:26.840]  從各個方面介紹我們所信的究竟是什麼
[00:00:26.840 --> 00:00:30.840]  它非常有體系 也非常系統
[00:00:30.840 --> 00:00:33.840]  而且也跟聖經緊密的結合
[00:00:33.840 --> 00:00:37.840]  為我的生命和為很多學習的弟兄姊妹的生命
[00:00:37.840 --> 00:00:40.840]  都打下了非常好的基礎
[00:00:40.840 --> 00:00:45.840]  所以經過多年我在融入我的所學總結之後
[00:00:45.840 --> 00:00:49.840]  我覺得也對弟兄姊妹來講
[00:00:49.840 --> 00:00:52.840]  如果把這個整理成一個主日學的話
[00:00:52.840 --> 00:00:53.840]  一起來學習
[00:00:53.840 --> 00:00:58.840]  我想對很多弟兄姊妹也是非常有幫助的
[00:00:58.840 --> 00:01:03.840]  所以在這裡我們想開始這樣一個主日學課程
[00:01:03.840 --> 00:01:05.840]  基礎神學
[00:01:05.840 --> 00:01:08.840]  大家看到第一頁的話
[00:01:08.840 --> 00:01:13.840]  我們是以神的啟示開始我們的基礎神學課程
[00:01:13.840 --> 00:01:15.840]  為什麼是這樣的話呢?
[00:01:15.840 --> 00:01:19.840]  因為我們知道我們認識我們的信仰
[00:01:19.840 --> 00:01:20.840]  認識我們的神
[00:01:20.840 --> 00:01:26.840]  首先都是在教會通過聖經去認識的
[00:01:26.840 --> 00:01:32.840]  而聖經就是最重要的神的啟示之一
[00:01:32.840 --> 00:01:38.840]  所以我們知道如果我們認識神的起頭
[00:01:38.840 --> 00:01:40.840]  就是通過神的啟示的話
[00:01:40.840 --> 00:01:44.840]  那麼神的啟示究竟是什麼呢?
[00:01:44.840 --> 00:01:48.840]  神的啟示跟我們的關係又怎樣呢?
[00:01:48.840 --> 00:01:51.840]  這些問題認識清楚的話
[00:01:51.840 --> 00:01:56.840]  我們就會更加確定我們所信的是什麼
[00:01:56.840 --> 00:01:58.840]  所以第一課的話
[00:01:58.840 --> 00:02:03.840]  我們是從神的啟示開始來學習我們的基礎神學
[00:02:03.840 --> 00:02:09.840]  因為沒有啟示也就沒有我們的信仰的認識
[00:02:09.840 --> 00:02:13.840]  那麼我們剛剛講的神的啟示究竟是什麼呢?
[00:02:13.840 --> 00:02:19.840]  我想請大家首先看的是這一頁的左邊的圖片
[00:02:19.840 --> 00:02:23.840]  大家看左邊圖片寫著四篇二十三篇
