
[00:00:00.000 --> 00:00:05.080]  今天我們來講傳道書第八章一至十七節的經文
[00:00:05.080 --> 00:00:07.160]  在傳道書第五章
[00:00:07.160 --> 00:00:12.520]  是講到敬畏神的生活和態度
[00:00:12.520 --> 00:00:14.840]  第六章至第八章
[00:00:14.840 --> 00:00:19.480]  基本上是對敬畏神或敬畏上帝的主題
[00:00:19.480 --> 00:00:21.480]  作更深入的討論
[00:00:21.480 --> 00:00:25.080]  在當時傳統的觀念裏認為
[00:00:25.080 --> 00:00:27.640]  行義就會得福
[00:00:28.160 --> 00:00:35.200]  現在傳道者對這個觀念作一個根本性的思考和反省
[00:00:35.200 --> 00:00:40.520]  他基本上不同意傳統的觀念
[00:00:40.520 --> 00:00:45.760]  我們得福是因為我們行義的結果
[00:00:45.760 --> 00:00:51.240]  在第六章就講到福氣是甚麼意思
[00:00:51.240 --> 00:00:52.240]  福氣
[00:00:52.240 --> 00:00:56.320]  人得福不是因為自己行義的結果
[00:00:56.600 --> 00:00:59.920]  而是我們所有的福氣都是上帝所持
[00:00:59.920 --> 00:01:04.480]  然後在第七章十五節至八章十七節
[00:01:04.480 --> 00:01:06.480]  就是講行義這個問題
[00:01:06.480 --> 00:01:11.440]  如果大家還記得上一次的講道時也講過
[00:01:11.440 --> 00:01:16.000]  傳道者在第七章十八節說
[00:01:16.000 --> 00:01:20.480]  敬畏上帝的人必然是持守兩樣態度
[00:01:20.480 --> 00:01:22.800]  就是不要行義過分
[00:01:22.800 --> 00:01:24.800]  也不要行惡過分
[00:01:25.200 --> 00:01:32.040]  在第七章十五至二十九節就去處理不要行義過分的問題
[00:01:32.040 --> 00:01:37.360]  意思就是說不要為了好報才去遵守神的吩咐
[00:01:37.360 --> 00:01:39.600]  而且在這個世界裏面
[00:01:39.600 --> 00:01:42.600]  事上行善而不犯罪的義人
[00:01:42.600 --> 00:01:44.480]  世上實在沒有
[00:01:44.480 --> 00:01:47.640]  所以在第七章的二十九節
[00:01:47.640 --> 00:01:49.160]  傳道者是這樣說
[00:01:49.160 --> 00:01:52.520]  他說我所找到的只有一件事
[00:01:52.520 --> 00:01:55.320]  就是神做人原是正直
[00:01:55.320 --> 00:01:58.520]  但他們卻尋出許多巧計
[00:01:58.520 --> 00:02:02.760]  這一節經文有丞相啟下的作用在裏面
[00:02:02.760 --> 00:02:04.280]  丞相就是說
[00:02:04.280 --> 00:02:06.080]  這個世界沒有義人的
[00:02:06.080 --> 00:02:07.360]  傳道者說
[00:02:07.360 --> 00:02:10.080]  一個也沒有
[00:02:10.080 --> 00:02:12.680]  事上行善而不犯罪的義人
[00:02:12.680 --> 00:02:14.440]  世上一個也沒有
[00:02:14.440 --> 00:02:16.480]  所以這一節的經文就是說
[00:02:16.480 --> 00:02:20.200]  為什麼這個世界上有這麼多罪惡呢?
[00:02:20.200 --> 00:02:21.880]  不是因為上帝的緣故
[00:02:21.880 --> 00:02:23.880]  上帝做人是好的
[00:02:23.880 --> 00:02:27.280]  但是人卻是遠離上帝
[00:02:27.280 --> 00:02:30.720]  所以做出種種的一些錯事
[00:02:30.720 --> 00:02:32.720]  然後在這一節經文裏面
[00:02:32.720 --> 00:02:37.320]  又引入下一段八章的一至十七節的經文裏面
[00:02:37.320 --> 00:02:41.160]  就是說我們不要行惡過分的問題了
[00:02:41.160 --> 00:02:45.680]  在八章的第一至十七節
[00:02:45.680 --> 00:02:50.640]  這一段是傳道者對我們第二方面的一個勸勉
[00:02:50.640 --> 00:02:52.640]  在第八章的第一節他這麼說
[00:02:52.640 --> 00:02:54.840]  誰如智慧人呢?
[00:02:54.840 --> 00:02:57.120]  誰知道事情的解釋呢?
[00:02:57.120 --> 00:02:59.720]  在第十七節他又這麼說
[00:02:59.720 --> 00:03:01.880]  就是智慧人雖想知道
[00:03:01.880 --> 00:03:03.240]  也是查不出來
[00:03:03.240 --> 00:03:05.720]  在內容上面和字眼上面
[00:03:05.720 --> 00:03:08.320]  都可以說是有重複的地方
[00:03:08.320 --> 00:03:10.080]  前後一個的呼應
[00:03:10.080 --> 00:03:12.200]  這一段成為一個的
[00:03:12.200 --> 00:03:16.000]  可以說獨自立成一段的一個體系
[00:03:16.000 --> 00:03:18.040]  這裡是說到這一段
[00:03:18.040 --> 00:03:20.160]  是說到智慧人雖然
[00:03:20.160 --> 00:03:23.160]  他不知道世界善惡
[00:03:23.160 --> 00:03:25.160]  報應為什麼會顛倒
[00:03:25.160 --> 00:03:29.280]  公義為什麼不彰的一個原因
