
[00:00:00.000 --> 00:00:04.000]  如果一個人面對痛苦的時候
[00:00:04.000 --> 00:00:07.000]  一方面又要自責
[00:00:07.000 --> 00:00:10.000]  應該是多麼難受的事呢
[00:00:10.000 --> 00:00:14.000]  所以當我們面對痛苦的打擊的時候
[00:00:14.000 --> 00:00:18.000]  我們很值得首先來到神面前反省自己
[00:00:18.000 --> 00:00:23.000]  去神面前澄清我們對這件事的責任
[00:00:23.000 --> 00:00:26.000]  懇求神自己的赦免
[00:00:26.000 --> 00:00:30.000]  這樣的話我們就可以
[00:00:30.000 --> 00:00:34.000]  一方面不再需要有一種內疚
[00:00:34.000 --> 00:00:39.000]  另一方面也可以通過這個自我的反省
[00:00:39.000 --> 00:00:43.000]  對自己的認識更加加深
[00:00:43.000 --> 00:00:46.000]  這個自我認識的加深
[00:00:46.000 --> 00:00:53.000]  是幫助我們以後不會再同樣的出錯
[00:00:53.000 --> 00:00:55.000]  一次的痛苦已經夠了
[00:00:55.000 --> 00:00:58.000]  難道你不想在這次的痛苦裏面
[00:00:58.000 --> 00:01:01.000]  學到多一點謹慎
[00:01:01.000 --> 00:01:06.000]  學到多一點生命裏面的教訓
[00:01:06.000 --> 00:01:14.000]  以致避開下一次重蹈覆轍的痛苦嗎?
[00:01:14.000 --> 00:01:20.000]  當我們能夠一方面嘗試去補救那些可以補救的
[00:01:20.000 --> 00:01:29.000]  一方面又學習到在錯誤裏面將來不會再犯錯的教訓
[00:01:29.000 --> 00:01:33.000]  我相信進到第四方面
[00:01:33.000 --> 00:01:36.000]  我們就要來到神面前
[00:01:36.000 --> 00:01:42.000]  重新把觸我們對神的信心
[00:01:42.000 --> 00:01:46.000]  在以上我和你分享的裏面都講得很清楚
[00:01:46.000 --> 00:01:50.000]  我們可以通過回顧以往
[00:01:50.000 --> 00:01:57.000]  神在你的生命當中所表現出來的真實和愛
[00:01:57.000 --> 00:01:59.000]  在耶穌基督的身上
[00:01:59.000 --> 00:02:03.000]  在他道成肉身這件偉大的事件裏面
[00:02:03.000 --> 00:02:07.000]  體會到神的愛沒有離開你
[00:02:07.000 --> 00:02:09.000]  神沒有忘記你
