
[00:00:00.000 --> 00:00:04.600]  歡迎回來神學四重奏講靈因現象的第四節
[00:00:04.600 --> 00:00:06.400]  是最後一節了
[00:00:06.400 --> 00:00:10.520]  我們這節會做一個破天荒史無前例
[00:00:10.520 --> 00:00:11.960]  我們沒有做過的事
[00:00:11.960 --> 00:00:13.120]  雖然我們只有兩集
[00:00:13.120 --> 00:00:14.760]  但已經史無前例
[00:00:14.760 --> 00:00:17.000]  我們會做一個debate的環節
[00:00:17.000 --> 00:00:18.680]  題目是甚麼呢?
[00:00:18.680 --> 00:00:20.360]  因為我是host所以我決定
[00:00:20.360 --> 00:00:22.800]  先看範本,我怕讀錯
[00:00:22.800 --> 00:00:26.440]  五秦中那麼注重聖靈工作,可不可以?
[00:00:26.440 --> 00:00:27.040]  是
[00:00:27.040 --> 00:00:28.880]  好了,準備好了嗎?
[00:00:28.880 --> 00:00:29.680]  是
[00:00:30.560 --> 00:00:31.840]  我認為可以
[00:00:31.840 --> 00:00:35.200]  雖然我不是五秦節的靈人教會
[00:00:35.200 --> 00:00:36.720]  多謝你
[00:00:36.720 --> 00:00:37.760]  因為我覺得
[00:00:37.760 --> 00:00:41.360]  剛才聽Christian或Daniel所說
[00:00:41.360 --> 00:00:43.840]  其實我覺得很珍貴的東西
[00:00:43.840 --> 00:00:46.280]  即是五秦節教會
[00:00:46.280 --> 00:00:47.720]  其實它告訴我們
[00:00:47.720 --> 00:00:50.360]  信仰的生命力
[00:00:50.360 --> 00:00:51.960]  那種活力在那裡
[00:00:51.960 --> 00:00:53.080]  意思是甚麼呢?
[00:00:53.080 --> 00:00:54.920]  我覺得有些時候
[00:00:54.920 --> 00:00:56.320]  你可能不太同意它也好
[00:00:56.320 --> 00:00:58.280]  但我覺得那種活力和生命力
[00:00:58.280 --> 00:01:00.720]  表現出很有創意
[00:01:00.720 --> 00:01:01.720]  去做一些
[00:01:01.720 --> 00:01:02.880]  我們覺得很奇怪
[00:01:02.880 --> 00:01:04.200]  但剛才聽你所說
[00:01:04.200 --> 00:01:05.120]  其實想深一層
[00:01:05.120 --> 00:01:08.360]  只不過是我們一般的理性理解上
[00:01:08.360 --> 00:01:09.480]  理解不到
[00:01:09.480 --> 00:01:10.720]  如果從另一個角度看
[00:01:10.720 --> 00:01:12.520]  其實它們是很有創意
[00:01:12.520 --> 00:01:14.320]  很有活力令到信仰
[00:01:14.320 --> 00:01:15.600]  可以有很多元
[00:01:15.600 --> 00:01:17.720]  很多不同的聲音
[00:01:17.720 --> 00:01:19.920]  我覺得從這個角度看
[00:01:19.920 --> 00:01:21.280]  其實它令到我們的信仰
[00:01:21.280 --> 00:01:24.120]  好像豐富了很多
