
[00:00:00.000 --> 00:00:05.000]  約翰福音第十二章記載了一件事
[00:00:05.000 --> 00:00:10.000]  其實這件事不只是在約翰福音記載
[00:00:10.000 --> 00:00:13.000]  在馬太福音的二十六章
[00:00:13.000 --> 00:00:16.000]  在馬克福音十四章都有記載
[00:00:16.000 --> 00:00:20.000]  而且記載的內容補充了約翰福音
[00:00:20.000 --> 00:00:22.000]  我們不要揭來揭去
[00:00:22.000 --> 00:00:24.000]  待會我會和大家補充一下
[00:00:24.000 --> 00:00:27.000]  今天這段聖經是我選的
[00:00:27.000 --> 00:00:30.000]  其實不是很多機會自己選聖經
[00:00:30.000 --> 00:00:33.000]  在北宣家我們會排著
[00:00:33.000 --> 00:00:37.000]  派到哪一段我講我就講哪一段
[00:00:37.000 --> 00:00:39.000]  不過是很好的
[00:00:39.000 --> 00:00:43.000]  每一段聖經任何的聖經都是這麼豐富
[00:00:43.000 --> 00:00:45.000]  所以我每次都很享受
[00:00:45.000 --> 00:00:48.000]  一齊來研讀神自己的話語
[00:00:48.000 --> 00:00:51.000]  反而這次因為主一學主一
[00:00:51.000 --> 00:00:54.000]  教會說你自己選一段就慘了
[00:00:54.000 --> 00:00:57.000]  想想也不知道選哪一段好
[00:00:57.000 --> 00:00:59.000]  派給我更好
[00:00:59.000 --> 00:01:01.000]  要我自己選
[00:01:01.000 --> 00:01:03.000]  於是我們最後就選了這段聖經
[00:01:03.000 --> 00:01:04.000]  有四個理由
[00:01:04.000 --> 00:01:06.000]  這麼多理由
[00:01:06.000 --> 00:01:09.000]  簡單的說
[00:01:09.000 --> 00:01:10.000]  第一
[00:01:10.000 --> 00:01:16.000]  大家進來已經看到我們教會已經有一個不同的佈置
[00:01:16.000 --> 00:01:18.000]  我們知道我們這個月尾
[00:01:18.000 --> 00:01:22.000]  就是我們的主耶穌基督釘十字架復活的日子
[00:01:22.000 --> 00:01:27.000]  我一直已經是預備我們的心去紀念我們的主為我們而死
[00:01:27.000 --> 00:01:32.000]  這件事發生就是主耶穌基督最後一個星期
[00:01:32.000 --> 00:01:35.000]  進耶路撒冷的前夕
[00:01:35.000 --> 00:01:36.000]  一個的筵席
[00:01:36.000 --> 00:01:41.000]  所以我覺得也是提醒我們預備一個心情
[00:01:41.000 --> 00:01:43.000]  所以這個是第一個原因
[00:01:43.000 --> 00:01:45.000]  第二個原因就是
[00:01:45.000 --> 00:01:50.000]  我又想起我們前天是三月八號
[00:01:50.000 --> 00:01:52.000]  是婦女節
[00:01:52.000 --> 00:01:54.000]  我又心裏面有個感動
[00:01:54.000 --> 00:01:56.000]  想跟大家說一個
[00:01:56.000 --> 00:01:58.000]  我覺得是人看來很少女子
[00:01:58.000 --> 00:02:00.000]  但是很偉大的一件事
[00:02:00.000 --> 00:02:02.000]  就是今天我們所記載的瑪利亞
[00:02:02.000 --> 00:02:05.000]  是耶穌所稱許的一件事
[00:02:05.000 --> 00:02:07.000]  還有一個理由
[00:02:07.000 --> 00:02:09.000]  就是
[00:02:09.000 --> 00:02:14.000]  耶穌在這段聖經裏面沒有記載他這麼說
[00:02:14.000 --> 00:02:17.000]  但是馬可和馬太裏面記載到
[00:02:17.000 --> 00:02:21.000]  耶穌不單稱讚瑪利亞所做的是一件美事
[00:02:21.000 --> 00:02:23.000]  並且他還很強調
[00:02:23.000 --> 00:02:26.000]  你們以後去到世界哪一個地方
[00:02:26.000 --> 00:02:31.000]  無論去哪裏傳道的時候
[00:02:31.000 --> 00:02:36.000]  都要講這個女人所做的事來紀念她
[00:02:36.000 --> 00:02:38.000]  我最近想起的時候
[00:02:38.000 --> 00:02:41.000]  想想,我這麼多年港獨都沒有講過她
[00:02:41.000 --> 00:02:43.000]  我覺得也不是很對
[00:02:43.000 --> 00:02:45.000]  耶穌教講明的,要講她
[00:02:45.000 --> 00:02:46.000]  為甚麼不講
[00:02:46.000 --> 00:02:48.000]  於是我就決定
[00:02:48.000 --> 00:02:51.000]  今天跟大家分享這段聖經
[00:02:51.000 --> 00:02:54.000]  我們看看這段聖經
[00:02:54.000 --> 00:02:57.000]  這段聖經剛才讀的時候已經非常清楚
[00:02:57.000 --> 00:03:00.000]  是發生在我們的主
[00:03:00.000 --> 00:03:03.000]  進入耶路撒冷的前夕
[00:03:03.000 --> 00:03:05.000]  晚上一個的筵席上
[00:03:05.000 --> 00:03:12.000]  地點應該就是耶路撒冷東面的伯大利
[00:03:12.000 --> 00:03:14.000]  在那裏聖經記載到
[00:03:14.000 --> 00:03:18.000]  瑪大馬利亞有拉撒路
[00:03:18.000 --> 00:03:20.000]  也有門徒
[00:03:20.000 --> 00:03:22.000]  但其實不止這麼多人
[00:03:22.000 --> 00:03:24.000]  為甚麼呢?我們可以相信
[00:03:24.000 --> 00:03:27.000]  其實晚上的筵席是一個很隆重的筵席
[00:03:27.000 --> 00:03:29.000]  大家知道一件事
[00:03:29.000 --> 00:03:31.000]  就是耶穌基督最後的星期
[00:03:31.000 --> 00:03:34.000]  進入耶路撒冷是一件大事
[00:03:34.000 --> 00:03:36.000]  當時在群眾當中
[00:03:36.000 --> 00:03:37.000]  不單止耶路撒冷
[00:03:37.000 --> 00:03:41.000]  甚至整個巴勒斯坦都是大事
[00:03:41.000 --> 00:03:43.000]  如果不是這麼多人知道這麼大件事
[00:03:43.000 --> 00:03:46.000]  當耶穌基督坐牢進入耶路撒冷的時候
[00:03:46.000 --> 00:03:49.000]  就不會有這麼多人站在那裏
[00:03:49.000 --> 00:03:51.000]  在夾道歡迎他
[00:03:51.000 --> 00:03:54.000]  然後有很多宗女子
[00:03:54.000 --> 00:03:57.000]  無論那些人帶著甚麼動機
[00:03:57.000 --> 00:03:59.000]  我相信很多人帶著一個政治的動機
[00:03:59.000 --> 00:04:03.000]  想著這個能夠發動群眾
[00:04:03.000 --> 00:04:07.000]  五個餅兩條魚就可以五千人跟他的人
[00:04:07.000 --> 00:04:09.000]  進入耶路撒冷看看他做甚麼
[00:04:09.000 --> 00:04:13.000]  看他會不會帶領以色列人去做革命
[00:04:13.000 --> 00:04:15.000]  推翻羅馬政府
[00:04:15.000 --> 00:04:18.000]  然後建立一個新的以色列王國
[00:04:18.000 --> 00:04:20.000]  總之有很多不同的期望
[00:04:20.000 --> 00:04:21.000]  但肯定一件事
[00:04:21.000 --> 00:04:23.000]  耶穌進入耶路撒冷這件事
[00:04:23.000 --> 00:04:26.000]  是一早傳遍很多人知道
[00:04:26.000 --> 00:04:29.000]  而耶穌基督第二天就要進入耶路撒冷之前
[00:04:29.000 --> 00:04:32.000]  晚上有人為他預備一個筵席
[00:04:32.000 --> 00:04:35.000]  肯定這個筵席是一個很重要的筵席
[00:04:35.000 --> 00:04:38.000]  大家希望在這個筵席裏面
[00:04:38.000 --> 00:04:40.000]  無論是甚麼動機都好
