
[00:00:00.000 --> 00:00:04.800]  今天我想和大家一起思想十字架道理的主題
[00:00:04.800 --> 00:00:06.800]  是軟弱
[00:00:06.800 --> 00:00:10.800]  軟弱是沒有人喜歡的
[00:00:10.800 --> 00:00:15.200]  軟弱是我們人性裏面所排斥的
[00:00:15.200 --> 00:00:19.400]  但偏偏在我們基督教的信仰裏面
[00:00:19.400 --> 00:00:21.800]  我們就要誇軟弱
[00:00:21.800 --> 00:00:23.800]  剛才我們所讀的聖經裏面
[00:00:23.800 --> 00:00:28.200]  聖經說保羅說我喜歡誇我的軟弱
[00:00:28.200 --> 00:00:31.800]  我何時軟弱我就覺得歡喜
[00:00:31.800 --> 00:00:35.600]  因為我何時軟弱我就何時剛強
[00:00:35.600 --> 00:00:38.800]  如果你深刻地想這幾句話
[00:00:38.800 --> 00:00:40.800]  你會發覺是很荒謬的
[00:00:40.800 --> 00:00:44.200]  這幾句話是將我們的人性剛剛相反
[00:00:44.200 --> 00:00:46.200]  有誰喜歡軟弱
[00:00:46.200 --> 00:00:51.600]  為何我們基督教經常強調十字架的軟弱
[00:00:51.600 --> 00:00:57.400]  甚至我們看見聖經說要誇口這個軟弱
[00:00:57.400 --> 00:00:59.400]  要愛這個軟弱
[00:00:59.400 --> 00:01:01.800]  擁抱這個軟弱
[00:01:01.800 --> 00:01:05.200]  我們今天一起來思想這個不容易的題目
[00:01:05.200 --> 00:01:07.800]  但我很想大家我們一起來作為基督徒
[00:01:07.800 --> 00:01:10.600]  我們真的很深刻地想這個問題
[00:01:10.600 --> 00:01:12.600]  如果你剛剛今天來到
[00:01:12.600 --> 00:01:14.200]  有親友邀請你來
[00:01:14.200 --> 00:01:15.800]  你不是基督教徒的話
[00:01:15.800 --> 00:01:20.400]  我都希望你透過這個軟弱這麼特別的課題
[00:01:20.400 --> 00:01:24.200]  你明白基督教十字架道理的奇妙
[00:01:24.200 --> 00:01:27.000]  希望你的生命敞開
[00:01:27.000 --> 00:01:32.600]  能夠得到這個信仰裏面最精彩的地方
[00:01:32.600 --> 00:01:36.400]  沒有人喜歡軟弱的
[00:01:36.400 --> 00:01:40.800]  我有個佛教的朋友跟我說過
[00:01:40.800 --> 00:01:45.200]  他說你知不知道你基督徒有時很噁心
[00:01:45.200 --> 00:01:47.800]  因為經常抬著十字架
[00:01:47.800 --> 00:01:51.200]  他說你知不知道十字架其實是刑具
[00:01:51.200 --> 00:01:54.200]  我們佛教就好很多
[00:01:54.200 --> 00:01:57.800]  他說我們的標誌是蓮花
[00:01:57.800 --> 00:01:59.800]  多麼祥和
[00:01:59.800 --> 00:02:02.200]  你們那些經常殺氣很大
[00:02:02.200 --> 00:02:05.000]  背著十字架走來走去
[00:02:05.000 --> 00:02:08.600]  我說就是因為我們背著十字架
[00:02:08.600 --> 00:02:11.400]  基督徒時常提醒自己
[00:02:11.400 --> 00:02:16.400]  十字架代表了人生永遠都有痛苦
[00:02:16.400 --> 00:02:21.800]  人生永遠都有挫敗和殘忍的事情
[00:02:21.800 --> 00:02:23.800]  不過我們不會逃避
[00:02:23.800 --> 00:02:26.600]  我們不是要解脫這些痛苦
[00:02:26.600 --> 00:02:29.800]  我們去有勇氣去面對這個痛苦
[00:02:29.800 --> 00:02:32.200]  甚至我們珍惜這個痛苦
[00:02:32.200 --> 00:02:35.200]  我們去擁抱這個痛苦
[00:02:35.200 --> 00:02:37.800]  說這些話不是隨口說的
[00:02:37.800 --> 00:02:41.000]  今天我想和大家在聖經裏面看看
[00:02:41.000 --> 00:02:43.800]  究竟為什麼我們應該這樣說
[00:02:43.800 --> 00:02:46.800]  為什麼基督徒可以有這種
[00:02:46.800 --> 00:02:50.000]  這麼特別的人生觀和生命
[00:02:50.000 --> 00:02:52.600]  那個力量從哪裡來
[00:02:52.600 --> 00:02:56.400]  我不知道今天你自己是否也在痛苦
[00:02:56.400 --> 00:03:00.800]  軟弱、掙扎、挫敗當中
[00:03:00.800 --> 00:03:03.000]  如果是的話我希望今天
[00:03:03.000 --> 00:03:04.400]  聖經的道理
[00:03:04.400 --> 00:03:06.800]  我們的信仰能夠再次
[00:03:06.800 --> 00:03:09.000]  讓你有這種勇氣
[00:03:09.000 --> 00:03:11.200]  有這種不同的角度
[00:03:11.200 --> 00:03:15.800]  去重新來看你自己所面對的
[00:03:15.800 --> 00:03:19.000]  這種困苦的時刻
[00:03:19.000 --> 00:03:22.600]  困苦有時候不是要去逃避它
[00:03:22.600 --> 00:03:25.000]  甚至不是要解脫它
[00:03:25.000 --> 00:03:27.400]  不是要讓它消失
[00:03:27.400 --> 00:03:28.800]  而是有時候
[00:03:28.800 --> 00:03:32.000]  我們的信仰可以讓我們去擁抱它
[00:03:32.000 --> 00:03:33.200]  可以珍惜它
[00:03:33.200 --> 00:03:37.000]  甚至像保羅說的我們要誇它
